报告日期,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),0.49,0.48,0.49,-0.85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),2.92,2.62,2.08,-0.34,0.3,0.33,0.77,1.59,1.51,1.5,1.43,2.11,1.77,1.6,1.98,1.76,1.22,1.05,
每股经营活动产生的现金流量净额(元),0.97,0.41,0.87,0.18,0.18,-0.62,0.35,0.59,0.05,0.03,-0.2,0.08,0.14,--,--,--,--,--,
主营业务收入(万元),589656,554159,492473,57482,91634,107444,113921,137153,99853,77018,69827,17556,15075,14016,13694,13148,10386,11975,
主营业务利润(万元),354836,344756,357673,8537,4967,6734,12255,12117,5236,4334,3372,2394,1878,-1140,645,586,571,470,
营业利润(万元),226500,250939,296590,-16160,-5905,-8809,-1256,1821,687,434,-979,411,-204,-1022,701,615,588,486,
投资收益(万元),481,2539,4318,182,1865,2098,-15122,-322,264,3003,5718,1861,1856,2914,942,700,298,3,
营业外收支净额(万元),53494,38871,33688,-190,2927,-3050,-101,-188,-15,-19,-550,-26,0,0,0,0,16,--,
利润总额(万元),279993,289809,330278,-16350,-476,-9085,-15758,1523,936,3417,4189,2430,1738,1895,1652,1341,902,495,
净利润(万元),149937,145839,150452,-16766,97,-8459,-15949,842,412,2627,3776,2017,1868,1812,1442,1168,792,231,
净利润(扣除非经常性损益后)(万元),151227,145572,146118,-16462,-4556,-8716,-16354,625,346,2810,3776,1967,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),298574,126904,265485,3607,3532,-12363,7027,11753,1068,501,-3868,881,1415,--,--,--,--,--,
现金及现金等价物净增加额(万元),-5430,-73246,363167,148,-3032,-5218,-6125,11040,2137,417,1930,1681,-173,--,--,--,--,--,
总资产(万元),2517567,2099196,1701661,77084,84633,95822,97507,117059,77599,69129,62802,40164,32272,32173,24963,21636,12603,6396,
流动资产(万元),945810,886362,810911,28892,37506,51283,55935,61934,0,0,0,0,10798,11643,14983,14950,8856,4416,
总负债(万元),1284052,1011385,778374,80670,75696,85884,77666,81544,45002,36482,33738,16399,14063,15464,10617,12527,8144,4459,
流动负债(万元),742348,585504,413119,78817,74607,83365,75147,78341,0,0,0,0,11937,13463,9916,11826,6123,3538,
股东权益不含少数股东权益(万元),896442,804049,637900,-6647,5980,6487,15353,31463,29919,29682,28337,23273,17957,16157,14346,9109,4459,1936,
净资产收益率加权(%),17.85,20.2,47.67,--,1.49,-75.81,-67.9,2.75,1.16,9.2,14.1,0,10.95,--,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
