报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2004-12-31,2003-12-31,2002-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),0.36,0.03,0.06,0.04,31.72,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,0.86,-10.47,-9.99,-9.16,-7.91,-7.91,3.37,4.95,4.91,5.63,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,-0.21,0.16,0,0,0.04,0.04,-0.62,--,--,--,--,--,--,
主营业务收入(万元),11886,12617,11745,2999,2613,929,795,1648,7994,8641,34737,56978,139343,90403,92906,64864,27364,
主营业务利润(万元),4178,4499,4648,2596,91,-331,-139,116,1325,-159,-6403,222,8177,6696,22157,8609,4438,
营业利润(万元),15641,1265,2633,1681,-10591,-8626,-11937,-10267,-43504,-17203,-10878,230,8214,7117,9278,8803,4620,
投资收益(万元),15726,66,--,--,--,-4,-964,-38,-286,-2765,-10072,1854,3598,2135,5,0,0,
营业外收支净额(万元),-15,127,393,227,436640,-4415,-323,-16,-246,-1717,--,0,0,0,--,--,--,
利润总额(万元),15626,1392,3026,1908,426049,-13045,-13224,-10321,-44036,-21671,-21276,2249,12160,9489,10185,8629,4609,
净利润(万元),14448,1135,2584,1754,426038,-9332,-11746,-9468,-43632,-22033,-21514,587,7371,5750,6756,6977,4095,
净利润(扣除非经常性损益后)(万元),909,1079,2444,208,29,-8016,-11423,-9452,-43386,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),3097,3561,4570,-2833,-2806,2097,-41,-48,540,-93,-8339,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),6653,659,1336,-3356,6018,-2,-63,-103,-138,-43,-1168,--,--,--,--,--,--,
总资产(万元),59092,47784,36943,33060,13019,30635,40637,43384,57082,90818,185561,151127,189797,153174,95374,73334,59203,
流动资产(万元),34590,15235,14124,26854,9019,29738,29925,31104,35475,66705,149345,97109,144507,114920,67549,51511,44844,
总负债(万元),10022,13298,3411,2329,1410,166187,166010,156134,149731,139694,123520,66667,95723,90662,60728,45010,32111,
流动负债(万元),10022,13298,2833,2329,1410,166187,166010,155929,149522,138221,122084,66459,93148,88016,57004,43239,30210,
股东权益不含少数股东权益(万元),48706,34259,33124,30540,11610,-140693,-134228,-123077,-106242,-62979,45313,66502,65916,38871,30829,27455,26960,
净资产收益率加权(%),34.83,3.37,8.12,6.21,-194.77,--,--,--,--,--,-38.48,--,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
