报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),0.02,0.03,0.07,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),0.21,0.13,0.11,--,--,--,-1.1,-0.42,0.57,1.42,1.4,2.01,2.32,1.72,1.71,1.7,1.77,1.53,1.21,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,-0.04,-0.01,-0.24,0.3,0.23,0.58,0.12,--,--,--,--,--,--,--,--,
主营业务收入(万元),19191,25960,39210,25552,0,0,0,455,13175,54277,63539,69552,43529,13961,17387,18489,19438,15400,16607,16995,16479,
主营业务利润(万元),3882,4295,7100,4834,0,0,0,-1729,2057,15907,19009,27341,12120,-1001,-310,-1043,1781,2968,0,0,0,
营业利润(万元),1234,2111,3334,2438,-10,-13,-3118,-38731,-34869,10433,13517,23550,9618,-700,-287,-944,0,2977,0,0,0,
投资收益(万元),22,53,181,581,--,--,-2677,-4838,-925,304,-259,2698,419,73,41,39,84,68,0,0,0,
营业外收支净额(万元),50,-790,-214,152,-1,--,-24184,-3459,-4306,-5991,-1704,-15,0,0,0,0,-9,0,--,--,--,
利润总额(万元),1284,1321,3120,2591,-11,-13,-29979,-47028,-40070,6385,13371,27316,10463,-638,-254,-914,1945,3010,2813,2613,2341,
净利润(万元),1023,1229,3283,1173,-11,-13,-29979,-43994,-37418,2544,11625,24233,8989,144,174,-914,1470,2559,2391,1751,1568,
净利润(扣除非经常性损益后)(万元),579,909,3842,575,--,--,-5795,-23423,-33142,6684,10978,23165,--,--,--,--,--,0,--,--,--,
经营活动产生的现金流量净额(万元),5192,1378,1583,2546,-0,-0,-1683,-322,-10580,13110,10032,16113,1629,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),307,-2511,-6923,7621,-0,-0,-32,-6338,-5883,5498,1600,5095,265,--,--,--,--,--,--,--,--,
总资产(万元),32329,30799,33432,43830,43,222,2568,57723,111202,115532,120710,90383,57160,39394,38554,39560,37378,29736,24403,--,--,
流动资产(万元),19468,18844,21074,30651,43,222,2568,1901,--,0,0,42932,31955,11996,10113,11475,17517,9658,6968,--,--,
总负债(万元),22616,22501,25199,28343,73568,73736,51019,75648,82341,45989,53313,30437,23213,13668,12710,13931,10575,11897,10001,--,--,
流动负债(万元),19170,15001,12499,13794,25065,25233,50689,75235,--,0,0,28694,22387,12868,11910,13131,6975,8338,6762,--,--,
股东权益不含少数股东权益(万元),9713,6129,4901,7276,-73524,-73513,-48451,-18472,25305,62723,61674,55411,31926,23763,23620,23425,24340,16439,13002,--,--,
净资产收益率加权(%),13.28,22.27,2277.79,18.05,--,--,0,0,-85.01,4.24,18.99,0,32.28,--,0,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
