报告日期,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),6.07,4.95,3.22,2.51,2.24,2.22,2.04,1.95,--,--,--,
每股经营活动产生的现金流量净额(元),1.5,1.54,1.06,0.49,0.44,0.51,0.32,0.63,--,--,--,
主营业务收入(万元),3977644,3177358,2200513,1514922,1281230,1537850,922391,804816,819604,764595,794912,
主营业务利润(万元),439020,660014,256542,141430,53629,142367,132938,99768,91008,110092,58654,
营业利润(万元),365278,559394,181690,73945,5087,75303,56606,50436,92016,110754,59420,
投资收益(万元),-4049,48,0,0,0,0,0,0,0,0,0,
营业外收支净额(万元),-2635,-2904,-15913,-2465,-1583,-1602,-994,0,0,0,0,
利润总额(万元),410298,556538,165777,71480,3504,73701,55612,50691,88742,106718,57006,
净利润(万元),352041,467860,166007,62515,3504,64775,48509,40903,61454,72354,38114,
净利润(扣除非经常性损益后)(万元),309643,465419,165436,64980,-437,65809,51516,--,--,--,--,
经营活动产生的现金流量净额(万元),349652,358601,247691,114087,102943,119573,75100,145798,--,--,--,
现金及现金等价物净增加额(万元),24263,95550,-25352,-2156,7882,-19968,-18892,65084,--,--,--,
总资产(万元),1836280,1644859,1333031,1347351,1179010,1060223,1109323,1150311,783865,728557,723900,
流动资产(万元),823178,683990,432611,--,--,0,0,315095,126340,119240,114201,
总负债(万元),421407,491771,582675,763002,657346,542400,632984,695250,532597,507128,505605,
流动负债(万元),283171,313208,380561,--,--,0,0,599131,315600,273629,251757,
股东权益不含少数股东权益(万元),1414873,1153088,750356,584349,521664,517823,476340,455060,251269,221429,218295,
净资产收益率加权(%),27.45,49.28,24.88,11.31,0.67,12.62,10.46,10.85,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
