报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),0.04,0.04,0.54,0.09,-0.59,-0.53,--,--,-0.59,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,-9.83,-9.24,-8.71,-8.15,-7.6,-6.68,-5.35,-4.2,-4.7,0.31,2.45,2.91,3.49,3.76,3.56,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0,--,0.04,-0.01,0.02,-1.84,-0.17,0.25,0.45,0.49,-0.13,-0.57,--,--,
主营业务收入(万元),13182,14053,18643,17370,1159,1723,1175,1342,810,612,16730,19007,21575,38263,45079,47992,35926,24864,18229,14508,14211,12770,
主营业务利润(万元),6046,5644,6844,5212,228,1,-22,-33,84,-2,-1791,1986,2944,4647,9663,11281,11178,8077,6315,5754,4852,4581,
营业利润(万元),3640,3094,3480,3315,-7026,-6289,-6620,-6437,-6697,-3328,-13872,-9399,-33688,-23383,-7199,1358,3188,2496,2432,2098,1867,1826,
投资收益(万元),--,--,40,4,--,--,--,--,0,3365,117,12,-466,-1507,1401,536,279,523,23,-13,11,-1,
营业外收支净额(万元),-0,453,41005,523,227,209,220,21,-38,154,52,-204,-26370,-2319,-77,-96,-35,226,9,0,0,0,
利润总额(万元),3640,3547,44485,3838,-6799,-6080,-6399,-6416,-6734,-3174,-13703,-9591,-60525,-27208,-5848,1798,3432,3246,2464,2103,2037,1948,
净利润(万元),3086,3024,43819,3262,-6748,-6016,-6348,-6362,-6674,-3038,-13052,-8879,-57112,-25724,-6199,125,2793,2854,2103,1750,1714,1626,
净利润(扣除非经常性损益后)(万元),2906,2571,2839,2739,-6976,-6224,-6368,-6384,-4225,-6557,-13105,-54264,-12598,-22883,-7120,50,2809,2628,2078,--,--,--,
经营活动产生的现金流量净额(万元),326,-542,-4116,1467,2,9,22,-52,34,-6,399,-86,218,-20935,-1945,2869,4303,4687,-1193,-3431,--,--,
现金及现金等价物净增加额(万元),318,-546,-5702,5715,2,8,33,-37,5,-28,165,26,-85,-17702,8535,-540,-6453,3944,12325,-709,--,--,
总资产(万元),27188,22867,19823,19077,42398,42497,43410,43398,43973,87184,96837,100221,70563,106110,133465,109100,91821,73430,61994,35274,29113,25753,
流动资产(万元),26597,22406,19292,18686,6076,6114,6935,6790,6996,36277,42717,0,47382,61553,83690,55717,--,0,0,19085,12743,12648,
总负债(万元),5776,4676,4656,5670,154542,147842,142675,136263,130421,161636,158544,0,125886,101102,101674,71436,53047,35105,25158,19583,14059,13850,
流动负债(万元),5596,4586,4368,5670,138542,131842,126675,120263,114421,142561,154469,0,122811,98008,97824,68671,--,0,0,19414,13943,13736,
股东权益不含少数股东权益(万元),21277,18191,15167,13407,-112061,-105313,-99298,-92950,-86587,-76167,-60952,-47900,-53549,3481,27939,33172,33151,35750,33846,15290,14620,11432,
净资产收益率加权(%),15.64,18.13,-501.23,29.09,0,0,--,--,0,--,--,0,--,-157.4,-19.97,0.01,8.67,8.09,11.19,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
