报告日期,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,
每股净资产(元),-4.27,-2.54,0.57,2.07,1.73,3.09,2.16,1.89,1.76,
每股经营活动产生的现金流量净额(元),0.04,0.14,0.11,-0.19,--,--,--,--,--,
主营业务收入(万元),7097,19129,34918,45580,136532,169381,126073,89776,64059,
主营业务利润(万元),4022,5698,4313,3870,5404,5357,3264,2062,--,
营业利润(万元),-17048,-53291,-45439,-1387,5505,5984,4041,2793,--,
投资收益(万元),-481,1577,289,2202,648,264,777,793,--,
营业外收支净额(万元),-28766,-41377,0,--,0,0,--,--,--,
利润总额(万元),-46295,-93040,-44988,1426,5753,6320,4748,3594,--,
净利润(万元),-46883,-93479,-41569,1041,4814,5202,4101,3096,3246,
净利润(扣除非经常性损益后)(万元),-29834,-52103,-41601,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),1298,4161,3443,-5630,--,--,--,--,--,
现金及现金等价物净增加额(万元),-1025,1720,-847,-8184,--,--,--,--,--,
总资产(万元),17951,64737,136781,119379,117521,74222,53618,46333,--,
流动资产(万元),0,0,0,74492,74370,55420,36436,26693,--,
总负债(万元),144768,140034,123109,57628,72614,34128,28884,40717,--,
流动负债(万元),0,0,0,54702,62658,33302,28084,20358,--,
股东权益不含少数股东权益(万元),-126817,-75298,16926,61351,44907,40094,24415,25634,23864,
净资产收益率加权(%),0,0,0,2.23,--,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
