报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.55,0.57,0.45,0.5,0.62,0.59,0.63,0.66,
每股净资产(元),--,--,--,--,3.83,3.79,3.51,2.86,
每股经营活动产生的现金流量净额(元),--,--,--,--,0.85,0.4,0.96,0.28,
主营业务收入(万元),70628,66336,48618,47810,47099,42411,40538,38901,
主营业务利润(万元),17197,17161,12370,11315,11338,10318,9936,9821,
营业利润(万元),8047,8569,6329,5726,5644,5396,5342,5033,
投资收益(万元),814,806,--,--,0,1,0,--,
营业外收支净额(万元),232,-19,515,622,673,628,1143,641,
利润总额(万元),8279,8550,6844,6348,6317,6024,6485,5674,
净利润(万元),7306,7397,5814,5416,5238,4977,5265,4647,
净利润(扣除非经常性损益后)(万元),5947,6353,5376,4887,4667,4450,4295,4114,
经营活动产生的现金流量净额(万元),5089,4756,3343,-655,7107,3329,8049,2361,
现金及现金等价物净增加额(万元),-4885,3688,7319,2163,109,-450,-7421,9167,
总资产(万元),149888,151711,127030,69587,64377,55306,47178,48698,
流动资产(万元),82523,85825,86242,36575,31410,30542,24906,32002,
总负债(万元),36423,34608,11932,11598,32212,23449,17686,24707,
流动负债(万元),33726,31565,9228,8957,30433,22370,16518,23451,
股东权益不含少数股东权益(万元),113466,117103,115098,57989,32164,30264,27807,22542,
净资产收益率加权(%),6.23,6.37,8.03,10.36,15.53,16.66,20.91,28.26,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
