报告日期,2018-12-31,2017-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),0,-0.83,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),0.46,0.46,0.88,1.06,1.57,1.49,1.95,1.73,1.62,1.42,1.68,1.59,1.66,1.73,1.51,
每股经营活动产生的现金流量净额(元),--,--,-0.05,0.02,-0.34,0.56,-0.88,-0.9,-0.73,--,--,--,--,--,--,
主营业务收入(万元),7420,4144,13529,13896,25006,39387,34632,21422,10881,16182,15741,33364,66592,47132,--,
主营业务利润(万元),3846,2210,1079,227,2633,4454,3087,1191,370,-633,550,180,174,-238,--,
营业利润(万元),155,-2157,-963,-4683,1754,2562,4016,-389,-1756,-169,854,277,0,367,--,
投资收益(万元),--,--,1435,-3344,434,1506,495,3144,4863,441,285,862,626,745,--,
营业外收支净额(万元),-130,-16053,572,-3,69,210,185,10,0,0,0,0,94,238,--,
利润总额(万元),25,-18211,1050,-8028,2262,4279,4763,2847,3065,313,1205,1137,1510,1350,--,
净利润(万元),29,-19313,475,-7721,1393,2493,2501,2432,2508,166,1012,744,1334,1350,--,
净利润(扣除非经常性损益后)(万元),-924,94,-969,-4388,678,2142,2484,282,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),3511,-1181,-866,330,-5819,9710,-11022,-11195,-9017,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-1430,1932,-338,-148,-5747,4765,-96,648,-808,--,--,--,--,--,--,
总资产(万元),69152,73280,57330,64602,82251,94256,128536,63408,43459,35544,33994,35675,33598,33261,20765,
流动资产(万元),33543,37365,34894,43665,41456,0,0,0,31927,23117,21559,23517,21210,22620,11585,
总负债(万元),27706,31862,35181,39740,47361,57406,85675,36748,19592,16926,15563,18325,16492,17019,11109,
流动负债(万元),27031,31187,35163,39722,47343,0,0,0,19467,16796,15322,18171,16492,17012,11092,
股东权益不含少数股东权益(万元),41447,41418,15240,18356,27203,25811,24205,21464,20063,17555,17389,16377,17106,16242,9656,
净资产收益率加权(%),0.07,247.2,3.17,-34.75,5.25,10.15,10.82,0,--,--,0,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
