报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.63,1.04,0.96,3.02,1.55,1.24,
每股净资产(元),--,3.19,2.21,5.62,3.2,1.65,
每股经营活动产生的现金流量净额(元),--,1.9,2.11,7.51,3.25,1.93,
主营业务收入(万元),426004,344845,255118,179186,128712,86672,
主营业务利润(万元),59876,73802,64972,49388,31365,19106,
营业利润(万元),23018,41352,27170,19834,10803,7840,
投资收益(万元),27,-1528,481,--,--,--,
营业外收支净额(万元),6504,3257,13424,8677,3896,3708,
利润总额(万元),29522,44609,40594,28511,14699,11549,
净利润(万元),24746,37423,34577,24174,12365,9949,
净利润(扣除非经常性损益后)(万元),18602,35954,31123,22445,12637,8897,
经营活动产生的现金流量净额(万元),52134,68535,75812,60082,26027,15423,
现金及现金等价物净增加额(万元),6278,16693,14611,16621,5423,-1786,
总资产(万元),778503,548565,361797,245661,180621,157341,
流动资产(万元),245460,172784,124233,82148,60577,39742,
总负债(万元),566108,433549,282404,200699,155058,144106,
流动负债(万元),232852,128556,101708,61434,65673,49294,
股东权益不含少数股东权益(万元),212395,115016,79393,44944,25704,13339,
净资产收益率加权(%),13.07,38.5,55.56,68.56,63.34,103.57,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
