报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,
基本每股收益(元),-0.03,-0.02,-0.08,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,-10.15,-9.83,-9.52,-9.2,-8.88,-8.56,0,-5.18,0,-5.54,0.07,1.16,2.55,2.44,2.69,2.28,2.92,2.15,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,-0,-0,-0,-0,-0,-0,-0.01,-0.01,0,-0.01,0.29,0.07,0.26,--,--,--,--,--,--,--,
主营业务收入(万元),0,0,58,184,0,0,0,0,0,0,0,0,0,--,7585,13241,21829,20680,33787,12454,24059,21782,6608,1831,
主营业务利润(万元),0,0,49,140,0,0,0,0,0,0,0,0,0,--,-345,-1186,5576,5713,6147,5737,10195,8012,0,0,
营业利润(万元),-520,-437,-1493,157,-3839,-3774,-3841,-3766,-3862,-4454,-5481,-12649,-5454,-2903,-10832,-12591,1033,5853,6202,5807,10312,8139,0,0,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,9500,-18894,-1437,-1384,-139,212,48,410,-506,228,3382,1021,
营业外收支净额(万元),-0,0,--,-0,--,-0,--,--,--,6455,0,-0,0,-5433,-1408,-2189,--,0,0,0,0,--,--,--,
利润总额(万元),-520,-437,-1493,157,-3839,-3774,-3841,-3766,-3862,2001,-5481,-12649,4045,-27231,-13677,-16163,843,5777,5948,5507,9899,7035,2529,1044,
净利润(万元),-520,-437,-1493,157,-3839,-3774,-3841,-3766,-3862,2001,-5481,-12649,4045,-27231,-12071,-14432,724,3425,2735,2283,4334,3039,1780,799,
净利润(扣除非经常性损益后)(万元),-520,-437,-1503,157,-3839,-3774,-3841,-3766,-3862,2001,-5481,-12649,0,-21797,-10663,-12243,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),168,-132,-3782,-75,-26,-41,-36,-42,-37,-41,-62,-83,0,-125,3507,803,3178,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),168,-133,1163,135,-2,3,-0,1,-0,0,0,-1,0,3197,-117,-1418,-484,--,--,--,--,--,--,--,
总资产(万元),3978,3820,2193,1032,14762,15186,15867,16370,17126,17828,23137,23650,30863,13055,137165,151353,166142,116715,113695,77742,72201,42259,18591,12106,
流动资产(万元),3957,3797,2169,1024,-1638,-1665,-1435,-1383,-1078,-827,279,292,6725,10095,0,0,134446,92236,97525,59536,55407,32659,13100,7514,
总负债(万元),79958,79280,76686,75948,136957,133542,130448,127110,124101,120940,108318,86078,80812,79756,125772,125361,121577,85751,84538,55571,50064,35758,0,0,
流动负债(万元),79958,79280,76686,23639,134715,131299,128206,124867,121858,118698,106075,83835,78569,79756,0,0,111954,84290,83077,55571,48578,35758,14446,11041,
股东权益不含少数股东权益(万元),-75980,-75460,-74493,-74916,-122195,-118355,-114581,-110740,-106974,-103112,-85181,-62428,-49949,-66702,842,13919,30752,29425,27004,21526,20415,6415,2788,1065,
净资产收益率加权(%),--,--,--,--,--,--,--,--,--,--,0,--,0,--,-163.54,0,--,--,0,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
