报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.32,0.38,0.34,0.45,0.31,0.19,0.2,
每股净资产(元),3.45,--,--,--,2.18,1.69,1.54,
每股经营活动产生的现金流量净额(元),--,--,0.56,0.48,--,--,--,
主营业务收入(万元),50379900,48377500,44467200,40273600,35149600,30473800,25734900,
主营业务利润(万元),2746500,1895500,2572200,3311100,1757500,1269900,1274900,
营业利润(万元),2746500,1895500,2572200,3311100,1757500,1269900,1274900,
投资收益(万元),4426300,3647600,4414900,5074800,3342600,2782900,2004300,
营业外收支净额(万元),40300,0,-26000,14200,584500,297100,57100,
利润总额(万元),2786800,3083100,2546200,3325300,2342000,1567000,1332000,
净利润(万元),1345000,1609900,1433400,1917600,1310900,812100,683200,
净利润(扣除非经常性损益后)(万元),1303500,--,1190600,1931100,--,--,--,
经营活动产生的现金流量净额(万元),-1680300,-202500,2383100,2044100,-39900,5385100,5252200,
现金及现金等价物净增加额(万元),-1121800,2628600,-315500,1057700,-730800,-2685200,1839400,
总资产(万元),103169000,98790600,93218200,84346400,78222100,75531900,68865000,
流动资产(万元),--,--,--,--,--,--,--,
总负债(万元),82626400,80102500,76203000,68723600,65664400,66051800,60530800,
流动负债(万元),--,--,--,--,--,--,--,
股东权益不含少数股东权益(万元),15246800,13753300,12553600,11544400,9258100,7157500,6537400,
净资产收益率加权(%),9.44,--,11.89,18.46,--,11.9,18.2,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
