报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2009-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,-0.21,-0.14,-0.24,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-4.86,-4.65,-4.46,-4.25,-4.05,-3.84,-3.63,-3.42,-3.06,-1.57,-0.91,1.03,1.27,2.76,1.53,2.14,1.56,1.82,1.66,
每股经营活动产生的现金流量净额(元),0,-0,-0,-0,-0,0,-0,-0.03,0.01,-0.06,0.05,-0.11,0.08,-0.34,0.04,-0.93,--,--,--,
主营业务收入(万元),331,399,358,391,351,383,357,430,2923,43396,46039,54351,51794,58698,60269,56994,56933,43208,47023,
主营业务利润(万元),149,226,179,204,159,189,174,152,457,2776,2735,4607,6030,11645,9894,6518,440,610,724,
营业利润(万元),-5912,-5855,-5978,-5969,-5981,-6032,-6159,-6280,-6988,-13264,-54415,-6370,1661,6075,5890,2477,441,583,750,
投资收益(万元),--,--,--,--,23,--,10,200,125,1,-205,-75,-716,2,0,202,885,712,629,
营业外收支净额(万元),--,8,-0,0,2,-0,-0,2116,24,-6630,-2681,-460,-44,-33,-37,0,0,0,--,
利润总额(万元),-5912,-5847,-5978,-5969,-5979,-6032,-6159,-4164,-6964,-19890,-57301,-6904,901,6044,5853,2670,1322,1448,1377,
净利润(万元),-5906,-5844,-5973,-5968,-5982,-6030,-6153,-4132,-6864,-18207,-56469,-7019,534,5619,4633,2273,1152,1243,1170,
净利润(扣除非经常性损益后)(万元),-5906,-5907,-5973,-5968,-5981,-6030,-6153,-5719,-6982,-11314,-13427,-5975,578,5651,4633,--,--,--,--,
经营活动产生的现金流量净额(万元),109,-27,-85,-82,-25,2,-26,-841,344,-1719,1341,-3147,2435,-4904,502,-8200,--,--,--,
现金及现金等价物净增加额(万元),108,--,-86,-83,-4,1,-18,198,534,-3280,-2022,-7017,1859,8350,-2375,1886,--,--,--,
总资产(万元),27702,27908,28123,28331,28767,28489,28826,29304,34116,43571,56963,105119,110096,105753,74895,64359,42494,35120,29010,
流动资产(万元),22037,21966,21906,21830,21957,21310,21255,21267,21730,24290,35214,--,--,0,0,46687,31127,26692,22174,
总负债(万元),169115,163409,157776,152007,146473,140216,134521,128840,0,89203,82492,73263,70927,65247,54586,45461,31088,24879,20544,
流动负债(万元),155298,149592,143959,138190,132656,126400,120704,115023,0,88706,80632,--,--,0,0,43199,29108,24879,20544,
股东权益不含少数股东权益(万元),-141404,-135497,-129654,-123681,-117712,-111730,-105700,-99548,-89140,-45752,-26544,29926,37033,40214,20244,18898,11371,10220,8466,
净资产收益率加权(%),--,--,--,0,0,--,0,0,0,0,0,-21.15,1.45,24.37,25.22,13.82,--,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
