报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),1.17,3.21,1.29,0.81,0.57,0.48,0.46,0.18,
每股净资产(元),--,--,--,2.93,2.91,2.33,1.78,1.6,
每股经营活动产生的现金流量净额(元),--,--,--,1.53,0.79,0.84,1,0.25,
主营业务收入(万元),208896,203441,102917,71629,71768,70842,62831,59665,
主营业务利润(万元),25280,45072,18386,13824,11960,10481,9161,6399,
营业利润(万元),23150,45403,7701,5859,3998,3268,3007,859,
投资收益(万元),882,1008,--,--,--,3,311,39,
营业外收支净额(万元),47,162,5651,2427,1809,1624,1750,959,
利润总额(万元),23198,45565,13352,8287,5807,4892,4757,1818,
净利润(万元),20797,39868,12275,7719,5433,4531,4403,1742,
净利润(扣除非经常性损益后)(万元),20389,38545,12022,7800,5143,4416,4581,1773,
经营活动产生的现金流量净额(万元),33199,5477,6436,14565,7515,8001,9466,2338,
现金及现金等价物净增加额(万元),17028,6374,2191,-2202,2136,27,-980,712,
总资产(万元),143351,136424,85165,55090,57697,53811,53412,50514,
流动资产(万元),84765,77527,33748,19395,25271,20955,21531,21722,
总负债(万元),19967,30558,45009,27210,30035,29645,34929,34978,
流动负债(万元),17948,21996,43490,25792,28614,28352,33794,34218,
股东权益不含少数股东权益(万元),123383,105866,40155,27881,27661,22196,16939,15535,
净资产收益率加权(%),18.24,43.74,36.08,24.49,21.8,22.83,25.55,11.88,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
