报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,
基本每股收益(元),-1,0.22,0.28,1.5,0.03,0.05,-0,-0.1,0.02,0.07,-0.15,-0.69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,0.7,0.85,0.85,0.77,1,1.73,1.59,1.85,1.84,1.83,1.82,1.82,1.79,1.73,1.78,1.86,2,2.1,2.16,1.94,1.31,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,0.03,0,-0.01,0.08,0.05,0,0.02,0.24,-0.09,0.09,0.04,0.12,0.11,0.07,--,--,--,--,--,--,--,
主营业务收入(万元),242699,649712,466500,401036,1102,2700,1110,985,935,2752,4688,10357,24061,27206,26434,20826,16174,14176,16376,27602,27357,37130,38034,43067,41845,42756,44724,38081,
主营业务利润(万元),-2730,160624,119597,76585,660,1694,520,513,503,489,554,-1582,665,746,4213,2940,2021,1537,1773,1437,1654,738,201,-694,1208,3436,3799,1196,
营业利润(万元),-144956,50786,55650,43144,343,845,26,-1747,233,1191,-2609,-11250,-4992,-3991,58,136,296,34,291,630,78,903,483,559,2170,3462,1426,1196,
投资收益(万元),3022,-39,223,--,880,85,258,-1060,1152,2163,-1035,853,7752,-515,62,71,-101,103,293,-64,131,0,253,921,1915,197,0,0,
营业外收支净额(万元),-26692,319,484,-64,131,179,-55,0,-0,-24,-8,-1191,-471,-18,-15,31,0,-12,-43,1404,0,0,0,0,0,0,--,--,
利润总额(万元),-171648,51105,56134,43079,474,1023,-29,-1747,233,1167,-2617,-12441,2289,-4525,105,239,193,125,541,1092,343,-982,321,1410,3993,3611,3719,1098,
净利润(万元),-170474,38009,47366,34665,429,821,-25,-1736,410,1209,-2596,-11636,3006,-3744,89,157,135,84,506,1092,276,-1206,171,1276,3774,3214,3287,968,
净利润(扣除非经常性损益后)(万元),-141144,37709,47027,34720,298,-571,30,-1738,386,1181,-2698,-11066,-4876,-3881,88,0,137,-19,257,-248,--,--,--,--,--,0,--,--,
经营活动产生的现金流量净额(万元),82788,-178187,-168788,-29205,138,171,-38,420,24,-87,1362,813,27,323,3981,-1487,1599,684,2131,-1848,1193,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-52145,-29648,36096,33899,-489,1128,-117,161,-432,-526,871,-3902,6128,-797,966,-316,1,-3312,2751,-3233,1338,--,--,--,--,--,--,--,
总资产(万元),960346,1166785,798618,401746,18442,17050,17200,17224,19573,20132,19292,22945,44558,49535,52907,39034,37645,38886,43773,37191,38129,39075,40936,44888,43217,39833,32604,20344,
流动资产(万元),809772,1007370,749241,378539,7387,6542,5505,5490,5309,6171,7103,7900,23990,22342,22735,18252,0,0,0,0,18989,19645,20077,22133,23424,21219,16962,11174,
总负债(万元),933789,940768,615570,273692,5489,4592,5452,5457,5411,5775,6197,5898,14485,20580,18663,7884,6779,8195,13065,6977,8202,8817,9278,9889,9721,8418,6454,9351,
流动负债(万元),893544,810814,532814,270676,4413,3505,4340,4327,4209,4512,4913,4508,13114,19153,17196,6769,0,0,0,0,5995,6371,6719,6855,6850,7349,4995,7048,
股东权益不含少数股东权益(万元),23520,215148,177795,128226,13127,12632,11885,11905,14293,14306,13007,16960,29277,26870,31244,31114,30826,30692,30708,30214,29193,30165,31522,33790,32327,30217,24692,10974,
净资产收益率加权(%),-131.22,19.35,31.18,34.52,3.35,6.7,-0.21,-12.93,2.8,8.9,-16.34,-49,10.74,-12.75,0.28,0.51,0.44,0.27,1.66,0,0.95,0,0,0,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
