报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),1.06,1.29,0.71,1.74,1.28,0.73,0.85,0.77,
每股净资产(元),--,--,--,--,5.63,4.78,4.05,3.2,
每股经营活动产生的现金流量净额(元),--,--,--,--,1.83,0.85,-0.65,0.25,
主营业务收入(万元),389003,217690,107898,53611,30654,17476,15376,14302,
主营业务利润(万元),149005,87541,44778,22477,13138,7639,7932,7195,
营业利润(万元),96942,60422,26950,13055,7487,4229,4845,4616,
投资收益(万元),633,905,518,343,83,9,--,--,
营业外收支净额(万元),-13065,1847,6461,3971,242,152,198,90,
利润总额(万元),83878,62268,33411,17026,7728,4381,5043,4706,
净利润(万元),74244,53750,29065,14556,6551,3746,4338,3928,
净利润(扣除非经常性损益后)(万元),82081,51358,28621,13788,6275,3610,4170,4030,
经营活动产生的现金流量净额(万元),-4797,3094,10520,21694,9355,4358,-3294,1294,
现金及现金等价物净增加额(万元),71032,33133,-10401,12706,6552,-448,-3848,4372,
总资产(万元),842561,665110,241575,171658,73571,38191,26689,24655,
流动资产(万元),655637,504593,208579,150820,56043,25724,15853,15995,
总负债(万元),498328,386870,147167,98836,44865,13792,6037,8341,
流动负债(万元),450858,370839,146649,98286,42032,13792,6037,8341,
股东权益不含少数股东权益(万元),344233,278241,94407,72822,28706,24399,20652,16314,
净资产收益率加权(%),23.95,34.16,35.56,27.34,25.03,16.63,23.47,32,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
