报告日期,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-0.77,-0.38,0.35,1.92,2.67,2.62,5.3,3.89,3.53,--,--,--,
每股经营活动产生的现金流量净额(元),0.07,0.08,-0.08,-0.35,-0.36,-0.87,0,0.21,0.16,-0.22,--,--,
主营业务收入(万元),9672,12065,25139,41940,60432,38805,24516,14414,9102,6609,3673,1586,
主营业务利润(万元),5491,3143,73,9465,19452,21832,18581,11676,7553,5944,3022,1141,
营业利润(万元),-13855,-21628,-51209,-24030,3088,6957,5659,5786,4508,3301,1630,819,
投资收益(万元),-127,-5446,-3144,-3201,-815,992,1606,--,0,--,0,0,
营业外收支净额(万元),-278,-198,-2129,-977,881,53,0,371,0,14,0,0,
利润总额(万元),-14149,-27118,-55899,-27288,4165,8894,8518,6749,5358,3624,1849,916,
净利润(万元),-9199,-20104,-55082,-26232,2990,7426,6754,5271,4518,3594,1829,608,
净利润(扣除非经常性损益后)(万元),-11486,-20582,-58398,-26149,2044,7337,6420,4913,--,--,--,--,
经营活动产生的现金流量净额(万元),2296,2802,-2655,-12030,-12627,-30321,-64,2928,2283,774,--,--,
现金及现金等价物净增加额(万元),628,-7252,-14271,-489,-3139,-14692,23504,-5964,29214,409,--,--,
总资产(万元),95030,110104,137899,201964,237205,192157,134800,83488,56361,16248,10666,5746,
流动资产(万元),55343,55999,77107,122382,0,0,--,41091,47027,9976,8103,4561,
总负债(万元),120616,120092,120487,126877,132249,90868,39777,26182,6609,8074,7535,4464,
流动负债(万元),108701,100073,74309,80211,0,0,--,22889,6309,3974,2735,1059,
股东权益不含少数股东权益(万元),-26896,-13334,12197,66738,93068,91365,92338,54976,49738,8117,3103,1274,
净资产收益率加权(%),0,0,-140.53,-32.81,3.19,8.3,0,--,19.86,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
