报告日期,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,
每股净资产(元),5.85,5.32,5.11,5.62,4.49,4.07,3.86,0.38,0,0,
每股经营活动产生的现金流量净额(元),0.86,-0.13,0.21,0.21,0.04,0.35,0.24,0,--,--,
主营业务收入(万元),347654,275460,258731,256186,182931,128976,124620,102554,97101,104254,
主营业务利润(万元),59400,36378,33561,46271,33773,17789,18892,18059,6949,11115,
营业利润(万元),36068,15250,13319,19274,18430,8318,10284,8659,559,3574,
投资收益(万元),0,0,-310,0,203,1616,1317,0,0,0,
营业外收支净额(万元),-4172,-2257,-377,-402,-557,-319,62,0,--,--,
利润总额(万元),31896,12998,12633,18840,18080,9832,11662,8343,456,2903,
净利润(万元),27827,11232,10759,16836,16676,8926,9810,7108,428,2830,
净利润(扣除非经常性损益后)(万元),28812,13147,11341,17204,16885,7590,8287,0,--,--,
经营活动产生的现金流量净额(万元),46795,-6755,11440,6137,1081,10352,7052,0,--,--,
现金及现金等价物净增加额(万元),13225,-5099,24410,-7290,-11348,-32857,56521,0,--,--,
总资产(万元),694418,444337,356643,330282,322428,250353,202598,83200,69427,67052,
流动资产(万元),183860,171232,133662,113151,--,0,0,0,23989,22061,
总负债(万元),337019,116087,79627,164515,190054,130404,88627,55280,50321,48519,
流动负债(万元),124734,67812,35811,68634,--,0,0,0,44247,45686,
股东权益不含少数股东权益(万元),317384,288237,277005,165767,132374,119949,113970,27920,19106,18533,
净资产收益率加权(%),9.21,3.97,4.09,11.83,13,7.57,13.23,25.46,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
