报告日期,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.43,0.3,0.24,0.21,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),4.94,4.54,4.27,4.03,3.83,3.73,3.58,3.52,3.38,3.34,3.39,0.22,0,0,
每股经营活动产生的现金流量净额(元),2.22,1.6,1.24,0.28,0.51,0.14,-0.26,0.5,0.35,0.32,-0.05,0.06,--,--,
主营业务收入(万元),1034345,957599,676227,508684,421504,351366,332166,234219,211222,163611,168564,157021,147765,125866,
主营业务利润(万元),49062,53175,34829,31209,28358,24015,21358,18576,13561,14010,17829,19624,15297,15245,
营业利润(万元),20144,16724,12523,9814,6103,3767,2583,3447,-220,3121,8668,8757,7192,6191,
投资收益(万元),4492,-7964,396,4186,3439,3493,4128,3064,3359,1973,-11,--,15,-1,
营业外收支净额(万元),1111,918,205,--,-806,-100,159,-193,21,-309,305,118,--,--,
利润总额(万元),21255,17642,12728,9957,8801,7173,6870,6319,3160,4785,8962,8876,7383,6139,
净利润(万元),17441,12139,9886,8689,7239,6068,6233,6111,2778,4333,8103,6317,5254,4640,
净利润(扣除非经常性损益后)(万元),16530,11315,9691,7566,7261,5465,5819,6178,2726,4642,7438,--,--,--,
经营活动产生的现金流量净额(万元),90726,65193,50739,11512,20830,5515,-10516,20583,14381,13042,-2220,3755,--,--,
现金及现金等价物净增加额(万元),13297,63094,35026,22253,38130,12923,-1394,8033,-1558,-68635,86290,1700,--,--,
总资产(万元),1845254,1217884,784192,535483,529763,433698,360572,302834,301093,266476,274879,165274,137831,120859,
流动资产(万元),908034,750974,588429,397476,401374,301052,232193,174494,0,0,235804,123502,103887,98997,
总负债(万元),1521224,971261,580794,341939,368257,274440,211686,156258,161067,129760,135252,112846,97142,84127,
流动负债(万元),683976,621723,508408,315919,361035,260187,200197,147243,0,0,122232,108687,94416,81438,
股东权益不含少数股东权益(万元),201768,185378,174475,164374,156256,152282,145919,143676,137877,134863,138536,51415,40689,36733,
净资产收益率加权(%),8.99,6.71,5.83,5.38,4.69,4.07,4.35,4.35,2.03,3.17,8.94,--,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
