报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),0.4,0.19,0.05,0.03,-0.59,0.1,0.26,0.46,0.36,0.03,0.04,1.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,3.27,2.81,2.45,2.41,2.39,0.62,1.68,1.64,1.59,1.56,1.53,1.61,1.82,1.77,1.44,1.4,1.83,2,1.21,1.26,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,-0.15,-0.52,-0.31,0.13,0.26,0.26,0.34,0.35,0.11,0.44,0.16,0.31,0.42,-0.09,--,--,--,--,--,--,--,--,
主营业务收入(万元),1250558,1019559,1182332,602539,704860,884629,930249,791211,502305,352296,358104,339813,269431,238670,269177,201273,183528,159694,157065,138991,113401,96506,70114,80348,115344,111005,67713,72086,49297,
主营业务利润(万元),168179,156967,149234,76713,81379,79213,83944,54680,41819,30687,36123,35382,32202,30935,29998,25832,23161,20887,20087,13130,8902,-571,-1679,782,1596,686,577,392,863,
营业利润(万元),33945,25386,11359,3561,-31558,-12158,-2729,5522,1821,-1942,3133,3717,-29492,2399,2248,4199,4428,4730,7976,5094,2068,1176,-559,2132,0,1629,760,455,950,
投资收益(万元),-1188,-496,-17,28854,122,-492,325,263,229,386,1910,-815,-3957,14,-686,71,-1532,-310,2056,1329,373,1546,3965,1727,949,601,143,335,274,
营业外收支净额(万元),7483,3417,10201,7497,7359,27034,23798,15104,13495,5129,361,--,-729,34,227,-530,0,-224,1976,2037,0,0,0,0,309,0,--,--,--,
利润总额(万元),41428,28803,21560,11059,-24199,14876,21069,20625,15316,3187,3494,74092,-33153,3027,2656,4785,3432,4562,12767,8469,5529,2838,3698,4022,4131,2314,830,759,1209,
净利润(万元),20983,10027,2542,1082,-24659,3424,8398,15062,11595,1006,1171,57991,-35101,1179,1027,868,654,2995,9208,6446,4267,2282,2920,2910,3797,1868,472,414,775,
净利润(扣除非经常性损益后)(万元),3548,3830,-3970,-31321,-30221,-14091,-8053,1249,448,-2595,157,1372,-33702,638,938,422,871,1830,6878,4922,--,--,--,--,--,0,--,--,--,
经营活动产生的现金流量净额(万元),4034,-68464,-160883,12297,-23037,40633,9181,-4965,-16860,-10227,4335,8351,8323,10947,11535,3646,14373,5112,9954,10482,-2206,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-24621,-18868,-34097,-10034,-19562,80172,6402,-12205,33667,-2202,-5742,13399,-4926,-6296,-11816,15904,15738,10394,2636,5003,828,--,--,--,--,--,--,--,--,
总资产(万元),1676671,1541402,1354026,846803,785105,801577,700946,481772,367677,275373,268674,263006,252363,216765,217532,222438,199836,187428,156883,148042,153998,104247,78767,65924,60048,56774,48367,--,--,
流动资产(万元),1285691,1153386,975918,458564,554674,598214,520275,362522,253867,173991,175662,168625,152091,138891,146508,143904,0,0,0,0,98043,68231,50188,45439,44801,46229,38613,--,--,
总负债(万元),1194460,1094393,929179,492593,581240,567677,542085,353849,263648,185263,180382,173310,221028,146566,148441,155104,134921,124742,97539,95586,103536,70456,46011,41632,36600,36619,37624,--,--,
流动负债(万元),1062155,956066,842769,426802,539172,509368,482950,290220,191883,156714,159064,156675,211610,138356,136143,146016,0,0,0,0,94188,64054,40705,39441,34805,34397,35450,--,--,
股东权益不含少数股东权益(万元),343318,326064,312059,310541,153801,179306,104492,106592,91493,79954,78684,78062,20256,54774,53545,51911,50853,49746,52620,45561,44496,29416,28774,19896,21727,19009,9996,--,--,
净资产收益率加权(%),6.23,3.11,0.81,0.65,-14.84,3.07,6.91,15.21,13.52,1.27,1.51,115.14,-94.3,1.96,1.96,1.69,1.3,6.02,18.64,0,11.25,--,0,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
