报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.13,0.18,0.16,2.61,0.07,-0.06,-0.06,-0.06,-0.06,-0.03,-0.07,-0.07,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,-1.79,-1.73,-1.8,-1.77,-1.7,-1.5,-1.12,-0.96,0.65,1.06,1.35,1.85,2.25,2.58,2.31,1.97,1.59,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,-0,0.01,-0,0,0,-0.01,0,-0.01,0,-0.5,0.05,0.5,0.04,--,--,--,--,
主营业务收入(万元),74144,92675,85856,723,1109,546,533,522,505,491,456,378,0,9,831,1345,14465,26335,27239,32865,43665,42221,50228,--,
主营业务利润(万元),14609,22175,23163,275,302,-40,-51,-46,-61,-85,-122,-66,0,-0,6,-481,3613,6212,7026,5759,1106,974,1175,--,
营业利润(万元),12463,16960,13969,1150,3,-1493,-1389,-1559,-1503,-1567,-1788,-1448,-4767,-6858,-9758,-9487,-1599,3758,4833,3367,1753,1837,1972,--,
投资收益(万元),--,-264,-191,1268,--,--,0,--,--,--,--,--,--,0,-2282,-9,0,-6,96,-5,48,234,34,--,
营业外收支净额(万元),-22,-35,434,63879,1776,0,-65,-0,-1,880,2,-383,2,-3392,-9227,-644,0,-81,542,--,0,--,--,--,
利润总额(万元),12441,16925,14403,65029,1779,-1493,-1454,-1559,-1504,-686,-1786,-1831,-4765,-8250,-21267,-10140,-1438,3671,5471,3929,1700,2020,1971,--,
净利润(万元),8992,12345,10640,65029,1778,-1493,-1442,-1465,-1408,-682,-1759,-1830,-2217,-5069,-18730,-8364,-2102,1687,4322,2819,1478,1719,1839,--,
净利润(扣除非经常性损益后)(万元),8095,11626,10213,51,2,-1493,-1389,-1465,-1407,-1562,-1761,-1619,-2215,-3678,-10802,-7719,-2263,1412,4016,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-2179,930,-2602,-643,226,-11,42,-104,126,-6,6,18,135,83,-144,102,-12533,728,4878,248,--,--,--,--,
现金及现金等价物净增加额(万元),-2271,5235,4699,7638,235,-11,40,-104,126,-6,6,-23,-6,56,-163,-460,-1124,1226,-39,-1870,--,--,--,--,
总资产(万元),189937,190465,169566,38552,11202,17701,18233,18737,19427,19873,20507,21198,23125,33099,38910,69614,76905,58209,50574,44505,42978,33346,27860,23349,
流动资产(万元),130530,122235,114179,10270,1188,1484,1486,1454,1579,1454,1514,1624,2465,11328,16511,25663,0,30603,0,18621,15501,6919,6061,5985,
总负债(万元),92500,99920,88280,739,79927,68513,67551,66601,65732,64674,64622,63528,62992,60927,61340,50560,46577,34790,32291,28712,29979,21718,18427,15394,
流动负债(万元),92491,99881,88270,739,66124,53894,52933,52071,51202,50144,50092,48998,62812,60747,61160,50380,0,34790,0,25674,15193,8493,6811,10506,
股东权益不含少数股东权益(万元),97437,90546,81286,37813,-68644,-47570,-46077,-44635,-43171,-44833,-44151,-42392,-37240,-27951,-23784,16148,26460,19822,18158,15735,12916,11557,9832,7954,
净资产收益率加权(%),9.57,14.38,14.3,-179.99,0,--,--,--,--,--,--,--,--,0,0,-39.55,-8.12,8.88,0,19.68,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
