报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),-0.05,0.04,-0.32,0.05,-0.84,-0.34,0.02,-0.26,0.04,0.1,0.08,0.43,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,2.21,2.47,3.65,3.03,3,1.92,1.57,1.27,1.15,1.06,1.02,1.73,1.73,3.46,2.78,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,-0.56,-0.28,0.2,0.49,0.49,0.68,0.43,0.36,0.14,0.31,-0.34,0.08,0.08,0.18,--,--,--,--,
主营业务收入(万元),283517,293737,234288,282024,300524,351496,339259,362861,329331,234195,209287,192019,149709,107267,79448,49515,37986,18310,15425,14028,11200,24617,24980,19560,20008,
主营业务利润(万元),11220,22566,14792,13678,15486,26730,18240,12150,36602,27608,27111,29539,25842,18171,12353,7685,5467,119,2134,2899,2836,5954,5762,4391,3227,
营业利润(万元),-10565,680,-37305,-30815,-92904,-28864,-33780,-31476,813,1355,1333,16185,13388,11788,4723,3031,988,-8735,142,1363,2121,6036,5811,4483,3305,
投资收益(万元),1134,--,572,--,1660,-9,-732,638,65,-545,-1078,2237,-24,-12,-1,12,560,-11603,778,389,83,572,1,3,7,
营业外收支净额(万元),849,470,4098,39985,2138,1234,36316,2361,5130,5404,2259,6025,202,-122,-65,56,76,-2516,157,297,0,0,0,0,0,
利润总额(万元),-9716,1150,-33207,9170,-90767,-27630,2536,-29115,5943,6759,3592,22210,15194,11806,4669,3098,1625,-22854,1077,2450,9320,6935,6144,4523,3322,
净利润(万元),-8868,5559,-39938,4678,-69649,-27865,1650,-21581,3395,4881,3275,16955,13025,11255,4530,3061,1625,-22781,1044,1716,6737,5895,5223,3845,2824,
净利润(扣除非经常性损益后)(万元),-11261,824,-39247,-29363,-72013,-31179,-26877,-23421,4475,3301,5142,11435,10996,9020,4984,3006,1179,-9425,884,1111,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-35720,24466,34297,8465,-263,-11964,10812,-45809,-22991,10760,20888,20902,25439,16061,13396,5147,11405,-12670,2874,2871,3348,--,--,--,--,
现金及现金等价物净增加额(万元),-16790,-14726,-2200,21847,-9549,10051,-1325,-108554,78341,2745,5279,4952,10074,2628,9654,5504,-3438,-8674,802,-17480,11183,--,--,--,--,
总资产(万元),460329,400522,465838,507553,556379,609129,642354,562612,579540,440157,365028,273039,222095,183403,146518,113842,87001,96070,91335,82987,84148,74198,45185,35747,30309,
流动资产(万元),268189,200330,151016,167444,175184,232295,237575,254911,300449,183848,116357,95185,84797,62414,55791,41766,24498,0,34644,29778,48725,40815,17716,11581,10815,
总负债(万元),268526,198600,269051,267421,467646,446000,459048,380313,374678,238205,219981,134659,149242,124494,99327,71225,47493,58267,26904,18861,19853,29672,24346,17881,17038,
流动负债(万元),241439,168802,149903,160156,327279,325829,314428,272318,242513,179567,173418,96575,108797,77979,63496,46687,37028,0,18420,17065,16470,24459,21572,13982,14974,
股东权益不含少数股东权益(万元),202088,210956,202108,242046,87964,157614,184182,182563,204162,200768,129146,127734,71417,58375,47160,42586,39508,37803,64431,64126,64215,44527,20839,17867,13272,
净资产收益率加权(%),-4.29,2.71,-17.98,3.07,-56.72,-16.3,0.9,-11.16,1.68,2.89,2.57,17.57,20.07,21.32,10.1,7.46,4.2,-46.5,1.63,0.09,14.35,--,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
