报告日期,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),-0.54,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),1.42,1.95,1.92,1.86,1.84,1.68,1.36,1.14,1.68,-3.64,-2.46,0.93,1.18,1.28,1.26,1.24,--,
每股经营活动产生的现金流量净额(元),0.06,0.05,0.45,0.26,0.07,0.35,0.34,0.3,0.51,0.36,-0.05,--,--,--,--,--,--,
主营业务收入(万元),65366,77993,61664,42889,29088,25981,23625,21547,21479,16407,7190,1417,2501,3099,2821,3594,3616,
主营业务利润(万元),-735,9798,8177,6317,5999,6130,4994,5507,5050,-1956,-3482,-2956,-1360,385,1106,1153,0,
营业利润(万元),-10974,681,1796,1201,2235,2130,1255,1125,-109,-15798,-20141,-2956,-1359,386,1110,1155,1238,
投资收益(万元),--,44,-60,0,0,61,0,0,0,-435,105,-190,28,-75,19,18,0,
营业外收支净额(万元),--,--,-590,-66,31,-320,-177,-357,-75,792,--,0,0,0,0,7,--,
利润总额(万元),-9981,1543,2238,2256,2846,2682,2536,1128,351,-15440,-34887,-3136,-1318,322,1139,1179,1238,
净利润(万元),-10036,1164,2071,2030,3105,2278,2156,959,351,-15440,-34887,-3136,-1318,285,1146,1179,1160,
净利润(扣除非经常性损益后)(万元),-11023,442,1288,858,2546,1573,2306,971,-256,-16223,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),1034,871,8342,4894,1372,6504,5369,4616,6607,4665,-690,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-582,-1712,949,-1025,1843,-6371,2022,-2106,3215,2812,989,--,--,--,--,--,--,
总资产(万元),62903,68453,66214,71462,71758,61193,64154,66364,71461,73816,79224,105618,99149,89554,74185,49464,--,
流动资产(万元),16764,25426,19372,18640,17931,10368,--,--,--,0,8782,8294,8066,7351,10901,11811,--,
总负债(万元),35512,31005,29485,36684,37230,29771,43014,48514,49678,121125,111232,93520,83871,72896,57711,33537,--,
流动负债(万元),35293,29751,27411,31086,33933,25921,--,--,--,0,110932,91520,14699,6930,5939,21545,--,
股东权益不含少数股东权益(万元),26590,36427,35858,34777,34528,31422,21140,17850,21784,-47309,-32007,12098,15278,16658,16372,15786,--,
净资产收益率加权(%),-31.75,3.19,5.92,5.81,9.42,8.13,11.15,5.5,-2.77,0,--,--,0,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
