报告日期,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,
基本每股收益(元),--,--,--,--,--,
每股净资产(元),3.92,3.12,2.73,2.57,2.23,
每股经营活动产生的现金流量净额(元),0.66,0.56,0.51,0,0,
主营业务收入(万元),482184,369660,352900,242588,159663,
主营业务利润(万元),86005,45168,34211,39848,23865,
营业利润(万元),44865,15328,10110,16883,8831,
投资收益(万元),1,-167,-75,0,-2,
营业外收支净额(万元),449,-129,38,-2478,0,
利润总额(万元),45446,15072,10087,14476,8688,
净利润(万元),40307,13214,8958,12798,7754,
净利润(扣除非经常性损益后)(万元),39836,11895,0,0,0,
经营活动产生的现金流量净额(万元),28348,24101,14826,0,0,
现金及现金等价物净增加额(万元),-3709,-15675,-1452,0,0,
总资产(万元),410650,369799,315244,284339,191597,
流动资产(万元),160575,128006,135480,132543,80439,
总负债(万元),241824,235331,235576,209319,126446,
流动负债(万元),209214,154287,163394,141938,72678,
股东权益不含少数股东权益(万元),168736,134305,79493,74900,65004,
净资产收益率加权(%),26.6,12.7,11.6,18.3,13.01,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
