 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-6,460,1733,93,203,189,62,13,-233,-54,--, 
 固定资产报废损失(万元),373,--,--,--,--,--,--,-20,2,-2,--, 
 公允价值变动损失(万元),-1655,-38,-114,51,-71,105,-24,48,-239,-409,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),13610,10542,10206,8079,3767,1793,280,2620,2574,1284,--, 
 投资损失(万元),-1326,-2369,-17884,-2965,-3617,-3588,-1167,-1053,463,-365,--, 
 递延所得税资产减少(万元),-758,534,-370,60,-428,-115,-30,93,-74,85,--, 
 递延所得税负债增加(万元),1097,39,78,23,21,-15,-72,119,35,75,--, 
 存货的减少(万元),1266,-4534,-2862,3577,-2618,-3488,-1544,5733,-14336,-10578,--, 
 经营性应收项目的减少(万元),-13901,-24142,-33829,-42165,-18083,1185,-9735,-6995,876,-10420,--, 
 经营性应付项目的增加(万元),2325,4241,24770,-4642,-8929,3843,6699,8390,8012,10925,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),6072,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),89766,67140,68984,22778,16554,34399,31179,40073,18360,9231,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,193,105,187,591,--,--,--,--, 
 现金的期末余额(万元),102899,122193,113966,81596,102430,93488,101689,24781,17424,19761,20337, 
 现金的期初余额(万元),122193,113966,81596,102430,93488,101689,24781,17424,19761,20337,22623, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-19294,8227,32370,-20834,8942,-8201,76908,7358,-2337,-575,-2287, 

