报告日期,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),3.29,3.07,2.72,2.36,2.3,1.96,1.77,1.49,2.33,2.33,2.38,2.28,3.08,3.38,3.01,2.86,2.72,2.54,2.52,2.26,2.26,2.42,2.11,3.67,--,
每股经营活动产生的现金流量净额(元),0,0,0,2.44,0,1.14,--,2.17,0.14,-0.05,0.22,-0.4,--,-0.13,0.06,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),739212,525775,291190,872259,608958,347746,173574,276902,72638,93223,39111,33440,18769,40282,23966,54188,28884,60134,30058,68720,37417,56933,31615,61013,27207,
主营业务利润(万元),151743,111392,56001,240914,166564,93816,49881,86538,20312,21661,10918,3584,2089,10522,7069,5142,3144,3978,2464,7759,4481,10169,4276,5234,-22075,
营业利润(万元),58642,47449,27033,115489,82616,43137,--,20613,3519,2307,2354,-18655,-4945,1223,3685,5345,0,4242,0,7959,0,10169,0,5234,0,
投资收益(万元),114,65,30,-2032,-1496,-1455,1,653,-22,630,54,-321,-979,-1175,-155,171,343,1158,336,385,77,229,232,428,0,
营业外收支净额(万元),-2624,0,-1523,-11675,-4802,-463,-136,-5701,0,68,0,-162,0,--,0,0,-29,0,-41,0,-23,0,-26,0,--,
利润总额(万元),56385,44973,25541,104260,76655,41221,18460,15565,3507,3005,2560,-18183,-5833,919,3511,6734,3531,9646,4585,9224,4535,10240,4482,5653,2775,
净利润(万元),18898,14518,7180,27639,18242,11334,6497,2154,678,2632,1938,-17984,-5826,304,2494,4843,2759,7440,3455,8075,4000,9021,3972,4981,2109,
净利润(扣除非经常性损益后)(万元),0,16533,0,36116,24519,13609,--,7855,667,2632,1938,-17984,--,--,--,--,--,--,--,--,--,--,0,0,--,
经营活动产生的现金流量净额(万元),23784,29128,18055,45961,0,21389,--,40829,2692,-1003,4170,-7476,--,-2461,876,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-16011,-6755,16628,40874,0,20027,--,29208,-2638,4729,7739,-13374,--,16681,-345,--,--,--,--,--,--,--,--,--,--,
总资产(万元),533473,555908,586471,491497,500925,373873,284923,186391,130819,109089,92158,68079,81817,86945,73241,67952,79313,69619,65710,66535,59845,53959,47959,49803,25782,
流动资产(万元),497171,519483,555652,--,470226,0,256743,0,0,0,0,0,63236,70041,54739,48712,59937,51334,48302,49400,42190,38655,36860,41535,19950,
总负债(万元),346996,381052,404158,334120,366918,274192,--,132534,75278,58954,41129,23685,23201,22373,25234,22147,36661,29779,26217,31582,24424,19456,17980,23669,-12298,
流动负债(万元),339132,380687,403844,--,365422,0,212384,0,0,0,0,0,22162,21095,23848,20709,35535,28925,25673,30823,24424,19456,17980,23669,13212,
股东权益不含少数股东权益(万元),61965,57666,51117,44299,43266,36917,33277,28098,43883,43753,44738,42800,57890,63644,47188,44736,42653,39839,39493,35454,35421,34503,29979,26134,12298,
净资产收益率加权(%),0,28,0,76.35,0,35,--,7.71,1.56,6.08,0,0,--,0.68,--,--,--,0,0,0,0,0,0,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
