报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
基本每股收益(元),-0.04,0.02,0.01,0.12,0.1,0.04,0.01,0.05,0.01,0.01,-0.07,-0.77,0.01,0.01,0,-0.33,0.02,0.01,0.01,0.03,0.01,0.01,0.01,-0.22,0.05,0.06,0.02,0.17,0.15,0.19,0.06,0.42,0.33,0.19,0.06,0.81,0.61,0.37,0.82,0.59,0.93,0.62,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.6,7.19,7.08,7.01,6.92,6.77,6.78,6.73,4.3,4.23,3.99,0,3.37,2.55,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.02,0.18,-0.13,0.22,-0.06,0.04,0.05,0.98,-0.19,-0.5,0.29,0.19,1.39,0.29,
主营业务收入(万元),340113,237745,111652,445201,329829,200008,84258,296522,206000,122283,47178,153112,116572,87103,42517,161392,135336,109765,56764,252210,194617,133691,66099,227203,167709,113935,56863,295206,231824,158390,72534,273869,208400,151950,67286,270391,200581,133365,207555,140809,280963,181311,
主营业务利润(万元),28086,20836,9421,65209,47344,26927,8532,20507,2764,-5350,-5710,-12863,13467,9646,4202,10728,27640,18036,10781,37180,26077,14323,5687,19083,17915,12258,7481,32625,26073,16409,6677,32909,24899,14367,5840,46159,33500,19646,39321,29697,53074,32261,
营业利润(万元),-2624,2328,500,6912,7352,2043,649,4559,-18913,-19807,-11386,-60581,-1288,-1322,-1447,-32378,-2164,-1716,233,1559,912,779,340,-21750,3650,4094,2240,11672,12743,8676,2739,16627,13787,7372,2604,27672,20043,11718,27075,19392,34550,21291,
投资收益(万元),342,117,25,137,--,--,--,45,--,--,--,5,--,--,--,-113,165,133,54,347,263,174,--,240,185,103,--,120,--,--,--,25,--,--,--,19,0,0,583,20,33,420,
营业外收支净额(万元),-1009,-125,49,-796,-192,213,24,-1110,20621,20401,6080,632,1086,1030,988,2531,2650,2367,269,590,382,365,271,1378,1133,1138,-11,4914,2556,1552,72,--,1664,1486,58,4777,4034,2944,5353,4056,--,--,
利润总额(万元),-3633,2203,549,6116,7160,2256,673,3449,1708,594,-5306,-59949,-202,-292,-459,-29847,487,651,502,2149,1294,1144,612,-20372,4783,5232,2229,16585,15298,10228,2811,20006,15451,8859,2662,32448,24077,14662,32428,23448,35326,23824,
净利润(万元),-3318,1801,743,9248,7955,3258,1067,3804,1017,702,-5479,-61248,834,604,311,-25957,1272,1031,459,2023,1007,924,445,-17572,4054,4560,1774,13426,12051,7570,2292,16833,13305,7545,2212,27615,20166,12090,26832,19437,30581,20033,
净利润(扣除非经常性损益后)(万元),-4175,1499,-429,7687,6975,2398,865,-17821,-16543,-16640,-10645,-62154,-10,-197,-453,-28147,-777,-983,231,1505,683,611,208,-19651,3088,3594,1779,8850,--,6186,--,13972,--,6333,--,25186,18646,10762,22419,15325,30791,19342,
经营活动产生的现金流量净额(万元),38652,27371,16107,36959,15305,-14534,-16141,3250,-8589,4139,3875,10442,-26522,-10927,4179,2063,11067,12676,-2807,40059,34721,31793,2353,-15548,-42434,-25609,-12162,44593,1797,7041,-5224,8763,-2555,1690,2091,38901,-6337,-16400,9477,6176,45827,9495,
现金及现金等价物净增加额(万元),-4617,-6224,2257,-8247,-12666,-28638,-29255,15290,-29035,-7086,-24771,29019,-9629,16828,17569,-27853,-32803,-9266,-338,16630,4829,40671,13824,-3855,-11095,11305,20043,1846,13636,238,-12197,-40359,-55787,-34533,-32538,52810,-8684,-15522,-18950,-21617,22194,5399,
总资产(万元),627272,651721,657531,660754,634369,632049,601535,622280,577694,576943,550911,577204,630416,646148,644643,585118,592276,592698,626459,604450,593121,617157,619416,579347,580386,604359,580417,528575,545411,528806,523985,468893,465689,451383,441738,458641,385965,382543,325661,0,333541,226881,
流动资产(万元),291818,312327,312674,311636,285477,277731,243987,262523,220301,221325,184496,214331,252476,272914,271309,211702,231605,232345,264695,247451,238530,278759,295134,258320,263943,298790,290171,245102,289043,279523,274310,226879,229968,225185,221908,238592,189624,193652,158789,--,203460,117328,
总负债(万元),429937,448446,455567,459338,434094,436686,407419,429147,387336,387769,367694,388638,377997,393449,391586,331310,310895,317769,351075,329425,318538,342761,345296,305734,284952,304569,283206,233246,251529,235487,235996,183595,183568,175349,165328,184321,238715,243426,194297,--,222539,142903,
流动负债(万元),383572,399822,414102,414130,406184,373946,337051,353193,361939,371826,351743,372679,362040,377488,390126,329852,259391,266800,300134,278342,267536,291764,294346,254616,233617,253279,281331,231363,249897,233676,234000,181540,181697,173468,163166,183018,178277,181440,135250,--,165602,106575,
股东权益不含少数股东权益(万元),191043,196208,195183,194409,195033,190380,188224,186960,183049,182677,176443,181907,244055,243862,243639,243316,270049,270462,269879,269429,268407,268324,267845,267410,289027,293518,290720,288942,287495,287006,282293,279501,276106,270044,270558,268599,141424,133375,125232,0,104972,79311,
净资产收益率加权(%),-1.72,0.92,0.35,4.82,4.17,1.73,0.57,2.07,0.56,0.39,-3.06,-28.8,0.34,0.25,0.13,-10.12,0.47,0.38,0.17,0.75,0.38,0.34,0.17,-6.31,--,1.57,0.61,4.73,4.25,2.67,0.81,6.14,4.9,2.78,0.82,17.7,0,9.35,23.42,0,33.34,31.27,
		
		
		
		
		
		
		
		
		
		
		
		
