报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.75,0.41,0.23,1.53,1.13,0.56,0.29,2.55,2,1.03,0.35,1.97,1.16,1.04,0.68,0.56,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,2.09,--,1.93,--,1.26,1,0.77,
主营业务收入(万元),267607,160427,60391,320840,227866,140990,53767,288988,206201,123993,50960,232439,156950,158060,144050,124593,
主营业务利润(万元),97046,57167,20702,115327,80046,47743,17457,101144,71971,43046,16582,78581,51988,52399,42625,36406,
营业利润(万元),36659,19821,6758,41778,31484,16165,5098,36016,28707,13995,4929,25019,16329,13326,9986,7295,
投资收益(万元),483,230,142,--,--,--,--,105,--,--,--,80,80,157,32,7,
营业外收支净额(万元),-8,33,26,175,139,36,322,-623,-378,701,157,2088,78,1002,802,379,
利润总额(万元),36651,19854,6784,41953,31624,16201,5420,35392,28329,14695,5086,27106,16407,14327,10787,7674,
净利润(万元),30362,16485,5324,36238,26763,13331,4639,30172,23600,12185,4144,23300,13689,11574,7695,6393,
净利润(扣除非经常性损益后)(万元),27210,15171,5138,32591,23676,12651,4256,28528,21497,11593,4014,21463,12545,12640,7159,6067,
经营活动产生的现金流量净额(万元),85772,32213,8146,27535,9127,-2257,-3990,37022,45508,24755,2544,22882,15260,14930,10224,8785,
现金及现金等价物净增加额(万元),53145,4780,12248,-1802,6301,-5351,-13025,120710,36458,20156,230,9322,11948,1832,5795,-2543,
总资产(万元),504675,469167,439944,436308,415063,387401,335463,353829,251588,230933,--,214822,--,197347,180218,162691,
流动资产(万元),393504,370033,359046,361133,345748,317194,267733,291374,194265,174409,--,161622,--,143050,126039,98995,
总负债(万元),227154,205692,179507,181367,169590,155366,109059,132064,148802,139560,--,135615,--,141530,142217,132732,
流动负债(万元),216646,195151,168924,170737,158738,147659,99577,126306,142015,132644,--,127703,--,135057,133471,130291,
股东权益不含少数股东权益(万元),277521,263475,260437,254941,245472,232035,226404,221765,102787,91372,--,79207,--,55817,38001,29959,
净资产收益率加权(%),11.35,6.26,2.07,15.2,11.43,5.84,2.07,32,25.93,14.29,5.1,34.51,21.83,27.64,23.35,23.79,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
