报告日期,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1992-12-31,
基本每股收益(元),0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),2.17,1.99,1.91,1.86,1.71,1.7,1.8,1.81,1.68,1.6,1.58,1.46,1.45,1.39,1.41,1.26,1.79,1.68,1.67,1.63,2.37,2.27,2.26,3.62,1.78,1.6,1.55,2.64,2.26,2.17,2.02,1.93,1.87,1.92,2.05,2.03,2,1.96,--,
每股经营活动产生的现金流量净额(元),-0.14,0.59,0,0,0,0.55,0,0,0,0.82,0,0,--,0.19,0,0,0,0.37,0,0,--,0.09,-0,0.06,0.01,0.35,--,0,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),481151,1122196,822269,552267,234779,748739,577215,448126,203922,1154042,898464,625344,250777,1031399,711902,473769,197938,392684,250372,177117,75011,221345,95124,154338,79511,55563,12713,26595,6604,12493,5876,7264,3481,11026,5234,11730,5167,10333,--,
主营业务利润(万元),--,204358,145128,94983,37068,140370,113420,90645,44060,245580,187730,119207,44109,198845,145144,95429,42543,98959,67542,47125,21805,48748,21531,36468,18716,12240,4560,10071,2476,2191,796,-39,-706,471,272,840,404,1124,--,
营业利润(万元),38161,63974,43375,26639,6433,23828,33438,33075,18447,95713,71153,34094,8771,66326,56932,39003,18486,39767,26843,20000,10316,13118,7734,11748,7290,7321,2996,7136,801,2257,0,3,0,502,0,850,0,1375,--,
投资收益(万元),11,9564,10935,10736,1567,13694,11911,10343,456,-17505,-4487,-1193,3405,5348,-125,425,-358,-812,-538,-347,-189,-79,-261,3386,8,378,203,306,147,416,199,93,5,60,0,23,0,2,--,
营业外收支净额(万元),--,-659,0,0,0,-825,0,0,155,-1276,0,0,-499,-1284,-1501,-862,-236,0,-107,-94,0,168,0,-26,0,-26,0,--,0,0,9,0,12,0,0,0,0,-71,--,
利润总额(万元),38577,77777,57555,40093,8454,40308,46251,44028,19424,81235,66188,32267,11914,73324,56671,38713,17892,37359,26264,19560,10079,13507,7657,15199,7299,7702,4258,7852,1056,2736,1031,201,-687,1001,303,1381,418,1296,--,
净利润(万元),13082,28246,21789,15858,1176,10403,19481,20501,6335,18169,18839,7076,4730,22021,17947,12514,6589,12084,9691,7350,4459,6517,3948,8596,3742,5711,3622,6736,897,2326,877,165,-685,808,257,1092,355,1023,--,
净利润(扣除非经常性损益后)(万元),--,15725,0,5662,0,-2660,0,12359,0,22207,0,10538,--,22593,0,13229,0,13680,9731,7441,--,5049,0,8530,3741,5708,--,--,--,--,--,--,--,--,--,--,0,--,--,
经营活动产生的现金流量净额(万元),-12654,55140,15383,16849,9907,51704,33229,29167,11933,76902,50775,30782,6383,17726,-7144,-19824,-13697,23164,0,136,--,3897,-86,1428,308,7704,--,-47,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-22084,35028,-955,16602,2168,8520,-1524,-5199,-743,-46935,-40535,-15514,-14592,24023,37119,-19256,50093,20557,0,25576,--,-40985,-27421,96883,6708,9629,--,1139,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),1245958,1053699,1023619,976109,911836,823731,867526,892302,969330,897361,861157,1019312,1086723,1015148,1001433,880102,751916,547110,383778,357151,298168,302822,228386,230809,125832,116315,61751,52748,39247,36569,35486,33600,34286,33418,31669,29601,24159,22859,14051,
流动资产(万元),874176,676703,664180,626247,561451,479524,545995,584338,658399,602606,564328,729449,773065,715447,710179,657311,537990,376088,--,0,203397,0,0,--,0,0,41319,31989,20821,18261,17760,15066,16118,15859,17481,15668,9594,9106,6135,
总负债(万元),827838,671370,657380,623055,584343,501123,535410,573983,652593,597243,576608,1468730,761506,702182,691967,642036,530165,372882,238174,221264,171596,184760,121190,124583,76306,76322,26846,21572,17244,15487,15852,14843,16183,14803,13467,11697,10416,9525,10202,
流动负债(万元),729331,584489,617756,589008,551101,480000,492937,533115,610024,555188,535809,693242,722313,666798,669351,617490,490749,350780,--,0,171389,0,0,--,0,0,23574,20511,15866,11953,13040,12556,13652,12292,13073,11602,6268,5346,3926,
股东权益不含少数股东权益(万元),203061,186645,179291,173866,159979,159072,168415,169468,156910,149984,147782,136261,135809,129927,132282,118196,111946,105136,103959,101618,98693,94267,94206,94120,39419,35441,34467,30845,22002,21082,19634,18757,18232,18615,18201,17905,13633,13240,3849,
净资产收益率加权(%),--,16.36,0,9.5,0,6.73,0,12.79,0,12.95,0,5.28,--,19.14,0,0,0,12.04,0,7.5,--,7.27,4.28,0,0,0,--,25.94,--,--,--,0,0,0,0,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
