报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,
基本每股收益(元),0.41,0.28,0.15,0.56,--,--,--,0.44,--,--,--,0.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,2.23,2.07,--,--,--,1.74,--,--,--,1.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,0.13,0.49,--,--,--,0.46,--,--,--,0.27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),974656,651958,319415,1305229,928996,594192,312575,1230074,907598,571816,282809,802737,526120,301256,162595,708064,583159,371814,170621,344920,266231,174602,84209,404290,179845,73337,321403,227675,133322,60036,
主营业务利润(万元),421753,273666,139496,586280,398429,244020,139706,510682,361529,217495,109580,313881,203616,95649,55576,243408,215150,125285,52808,61361,82839,53492,28129,108742,65627,35634,114629,78852,47977,23844,
营业利润(万元),332553,218314,118534,450411,303029,175535,106208,373983,266739,155243,78899,212056,133446,48955,26788,183157,142051,66383,25549,13992,46140,30890,15975,81625,37985,19430,69759,22559,11155,6614,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20820,--,--,8504,--,--,--,
营业外收支净额(万元),-4129,771,445,-22080,-24959,-16952,-9496,-40601,-24590,-12347,-11613,-20849,-586,-460,32,-14234,-549,-12155,-10760,-61,-9067,-2099,-482,-7578,-1778,-740,-3006,-6314,-2605,68,
利润总额(万元),328424,219084,118979,428331,278070,158582,96711,333382,242150,142896,67286,191207,132861,48495,26820,168923,141502,54228,14789,13931,37073,28791,15492,74047,36207,18690,66753,16245,8550,6682,
净利润(万元),283255,188895,102042,369552,238766,136744,83590,292344,214400,126808,60476,171848,120710,44793,24251,151463,127858,52862,13452,12628,33000,26181,13458,66192,28893,14989,57863,17088,8093,6101,
净利润(扣除非经常性损益后)(万元),277299,178874,93213,390202,--,--,--,314073,--,--,--,183639,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),235068,158118,87977,326519,220056,112953,70010,301563,315392,118397,76385,177219,192162,127277,70454,248962,252366,178587,50531,269937,159204,87730,33460,111902,73836,18076,94297,91400,60077,8068,
现金及现金等价物净增加额(万元),322210,571937,25215,-59138,-27368,-81910,102846,3262,162577,146341,-44993,77086,92164,73,29345,-46952,-31238,-34056,-43801,36006,20611,-11277,10378,-68706,-83934,-26304,65716,-18298,-27769,-22924,
总资产(万元),3521587,3620148,2834894,2682915,2645372,2474052,2584171,2502973,2682034,2670155,2705122,2765839,2668107,2620527,2622468,2620658,2534664,2440237,2386779,2499916,2248320,2169985,2150047,2045047,1690418,1483839,1590773,1404068,1393138,1322766,
流动资产(万元),614766,832445,279401,227573,269887,200911,370842,299433,556311,548461,591318,637894,549616,488138,507543,497350,673685,634082,610628,760628,585744,570914,689209,647080,542533,467081,603305,204261,275937,313602,
总负债(万元),1276114,1263165,1363395,1314657,1408913,1338700,1503506,1356616,1614046,1690491,1750513,1677038,1629060,1659226,1683322,1707928,1644429,1626335,1614122,1741866,1544831,1473342,1467369,1377300,1174801,995908,1107966,983047,991814,931342,
流动负债(万元),842284,615905,797261,748033,809063,745899,907621,811445,938231,1039821,1036211,983622,1049428,1044860,1128262,1233800,1196974,1232247,1197101,1237440,889209,708251,722792,719054,693347,486541,596542,572120,547838,536825,
股东权益不含少数股东权益(万元),2245473,2356983,1471499,1368258,1236459,1135352,1080666,1146357,1067988,979664,954609,1088802,1039048,961301,939146,912730,890235,813902,772657,758050,703489,696644,682678,667748,505631,477931,472821,402455,385217,377994,
净资产收益率加权(%),15.38,11.84,7.19,30.31,--,--,--,27.37,--,--,--,17.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
