报告日期,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),6.13,6.07,5.79,5.55,5.51,4.95,4.2,3.66,3.59,3.22,3,2.82,2.64,2.51,2.39,2.35,2.24,2.24,2.29,2.22,2.18,2.04,2.03,1.95,2.01,--,--,--,
每股经营活动产生的现金流量净额(元),0,1.5,0,0,0,1.54,0,0,0,1.06,0,0.5,0,0.49,0,0.17,--,0.44,0.16,0.51,0.16,0.32,--,0.63,--,--,--,--,
主营业务收入(万元),1040707,3977644,2913170,1917055,968733,3177358,2223237,1448132,713854,2200513,1627024,1085007,546235,1514922,1000106,661196,290172,1281230,723080,1537850,716339,922391,447894,804816,405290,819604,764595,794912,
主营业务利润(万元),29676,439020,395556,317857,185038,660014,429146,265284,122560,256542,176527,107560,63735,141430,96554,65798,15568,53629,46359,142367,70378,132938,51819,99768,56356,91008,110092,58654,
营业利润(万元),9590,365278,337655,278918,161849,559394,351163,202448,100081,181690,108976,65130,36395,73945,43946,31826,566,5087,19398,75303,31941,56606,22307,50436,38421,92016,110754,59420,
投资收益(万元),4133,-4049,-3759,-9192,-7223,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
营业外收支净额(万元),0,-2635,0,0,0,-2904,0,0,0,-15913,-3380,0,0,-2465,-1456,-1080,0,-1583,0,-1602,0,-994,0,0,0,0,0,0,
利润总额(万元),13722,410298,334678,269673,154567,556538,349836,200810,99998,165777,105596,64190,36010,71480,42490,30746,237,3504,18566,73701,30803,55612,21249,50691,38919,88742,106718,57006,
净利润(万元),12252,352041,288456,233202,131177,467860,298251,171578,84999,166007,114081,72887,30609,62515,35848,25866,237,3504,15781,64775,26183,48509,18062,40903,30271,61454,72354,38114,
净利润(扣除非经常性损益后)(万元),0,309643,0,233025,0,465419,0,171067,0,165436,0,54389,0,64980,35915,25886,--,-437,15783,65809,26183,51516,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-21784,349652,225037,180406,46326,358601,222342,98251,43033,247691,213286,116083,46556,114087,0,40518,--,102943,36613,119573,38264,75100,--,145798,--,--,--,--,
现金及现金等价物净增加额(万元),-84261,24263,42112,19086,12513,95550,43199,20560,45453,-25352,-11350,11035,21858,-2156,0,-3070,--,7882,-16253,-19968,-33276,-18892,--,65084,--,--,--,--,
总资产(万元),1827876,1836280,1881738,1746980,1785032,1644859,1615131,1498095,1487450,1333031,1323559,1386237,1411475,1347351,1285609,1252583,1209742,1179010,1125830,1060223,1067902,1109323,1081390,1150311,1164627,783865,728557,723900,
流动资产(万元),776408,823178,929758,802955,832165,683990,693530,614537,612118,432611,446954,463963,--,--,--,--,358088,--,0,0,0,0,301688,315095,290411,126340,119240,114201,
总负债(万元),400477,421407,533063,453558,500767,491771,636424,646061,652095,582675,625129,729001,796517,763002,727923,704879,687667,657346,592514,542400,560722,632984,608268,695250,696763,532597,507128,505605,
流动负债(万元),306601,283171,435441,303991,321119,313208,470641,460566,438738,380561,390890,420479,--,--,--,--,460242,--,0,0,0,0,540645,599131,469001,315600,273629,251757,
股东权益不含少数股东权益(万元),1427398,1414873,1348676,1293422,1284265,1153088,978707,852034,835354,750356,698430,657236,614958,584349,557686,547704,522075,521664,533316,517823,507179,476340,473122,455060,467864,251269,221429,218295,
净资产收益率加权(%),0,27.45,0,18.37,0,49.28,0,21.42,10.72,24.88,17.79,11.74,5.1,11.31,0,0,--,0.67,3,12.62,0,10.46,--,10.85,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
