报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2005-09-30,2005-03-31,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),0.09,0.06,0.01,0.1,0.11,0.06,0,0.19,0.14,0.14,0.2,0.09,0.01,4.51,--,--,--,--,--,--,--,--,--,--,--,--,-0.01,--,-0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,1.47,--,1.27,1.34,1.35,--,--,--,1.07,0.9,--,0.71,0.7,-10.32,-10.32,-10.32,--,--,-9.79,-9.27,-9.26,-9.38,-9.24,-8.64,-8.62,-8.63,-8.62,-8.33,-8.2,-8.16,-8.1,-7.63,-7.59,-7.49,-7.02,-6.75,-5.32,-4.96,-4.86,-1.04,-0.9,-0.82,-0.73,2,2.08,2.08,2.36,2.81,2.8,2.74,2.66,2.67,2.57,3.74,3.42,3.11,4.09,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,-0.02,--,--,--,--,--,--,--,--,-0.02,0,0,-0.01,--,--,-0.02,-0.01,0.01,0,0.01,0.01,--,-0,-0.03,-0.02,-0.02,-0.01,0.02,0,0,0,--,--,0,0,0.04,0,0,0,0.06,0,0,0,-0,-0.01,0.2,0.03,0.3,--,0.41,0.18,--,--,--,--,--,--,
主营业务收入(万元),60897,36650,6064,68005,39970,25732,3121,71809,37480,34028,41131,19104,786,986,428,133,1002,481,180,1738,1127,635,246,1541,1125,707,193,1867,1243,748,286,2055,1229,791,334,3524,1070,2626,1229,7292,5581,3489,1798,8348,6364,3956,1813,13308,7272,23972,11060,23290,11076,28881,13783,27427,12739,21458,21051,18141,23999,
主营业务利润(万元),7083,4671,1159,8431,6701,3204,1040,8929,3957,2772,4577,2719,221,383,176,55,333,116,-13,680,417,263,105,639,466,302,81,692,413,219,76,706,458,293,121,871,204,423,203,1677,1319,837,395,1799,1396,882,346,4167,2491,7723,4563,7773,3880,10203,4653,3241,3023,2569,1806,837,476,
营业利润(万元),3662,2355,189,3592,4184,1773,141,4555,1125,783,6498,2607,412,4465,3,-4,1,-45,-91,-351,-406,-260,-131,-536,1074,1217,-175,-1459,-1394,-957,-563,-2082,-1567,-1042,-535,-4748,-1472,-2941,-1337,-10941,-4128,-2340,-1172,-39236,-4786,-3676,0,-5795,194,2112,1339,3033,1425,5191,2503,3248,0,2685,1909,866,653,
投资收益(万元),29,--,--,49,--,--,--,-1116,-949,-947,3887,1500,1119,4451,0,--,--,0,--,--,--,0,--,--,-1420,-1420,0,--,0,0,--,0,--,0,--,--,--,-1500,0,7,7,0,0,-1741,4,4,0,39,-6,92,0,-5,1,876,-1,812,385,12,11,0,116,
营业外收支净额(万元),96,33,7,-12,415,416,-71,2373,2897,2983,-1,-0,-0,103401,-0,0,-6980,0,0,-6870,107,107,0,-7762,-1,-1,0,-5749,-2,-2,0,-5990,1,1,1,-296,-5,0,0,-43981,0,0,-2,-194,-2,-1,0,-23,0,3,0,-14,0,--,0,0,32,0,--,--,--,
利润总额(万元),3758,2388,197,3580,4598,2189,70,6928,4022,3765,6497,2607,412,107866,3,-4,-6979,-45,-91,-7221,-299,-153,-131,-8298,-347,-204,-175,-7208,-1396,-959,-563,-8072,-1566,-1041,-534,-5037,-1476,-6163,-1337,-54915,-4123,-2341,-1173,-41160,-4772,-3671,-1182,-5774,236,2292,1334,3249,1568,6198,2585,4121,1567,2684,1919,996,777,
净利润(万元),2148,1441,119,2413,2655,1506,22,4542,3378,3293,4715,1668,196,107960,-3,-5,-6985,-34,-69,-7333,-386,-248,-124,-7354,-282,-165,-156,-7125,-1208,-853,-514,-7777,-1451,-955,-479,-1612,-520,-4303,-562,-47268,-4148,-2356,-1179,-41014,-4763,-3671,-1175,-5809,156,1901,1059,2753,1348,5282,2198,3510,1334,2236,1586,727,728,
