报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
基本每股收益(元),0.24,0.2,0.39,0.26,0.2,0.48,0.34,0.23,0.18,--,--,
每股净资产(元),--,--,2.81,--,2.62,2.47,--,2.23,1.96,2.54,2.4,
每股经营活动产生的现金流量净额(元),--,--,0.5,--,0.23,0.34,--,0.2,0.47,0.26,0.55,
主营业务收入(万元),92010,60960,128538,93347,60138,120995,86352,55370,108408,101245,88067,
主营业务利润(万元),17424,12508,25360,17792,12715,28265,19313,13372,19532,15449,13022,
营业利润(万元),9600,8042,15582,10449,8105,18411,12135,9092,5600,4166,3022,
投资收益(万元),1301,845,2589,1745,1077,2033,1448,1190,-459,5,--,
营业外收支净额(万元),-49,-0,30,-66,-73,79,4,-26,1313,599,-154,
利润总额(万元),9551,8042,15612,10383,8032,18490,12139,9065,6912,4765,2868,
净利润(万元),8812,7238,14134,9377,7073,16418,11196,7414,4884,3572,1542,
净利润(扣除非经常性损益后)(万元),7235,5793,13347,--,6688,15159,--,6381,4653,3099,1121,
经营活动产生的现金流量净额(万元),11281,4654,18090,12654,8375,12426,15324,7219,13002,6986,14687,
现金及现金等价物净增加额(万元),14622,-5519,-643,-4440,369,1894,11533,9595,4331,1483,2596,
总资产(万元),209641,194981,196963,181021,171241,151590,--,126544,118457,112385,106230,
流动资产(万元),84560,70915,77690,75238,75767,76758,--,71187,60013,66899,62491,
总负债(万元),64166,83510,92576,81234,73624,59332,--,44558,59034,39330,38290,
流动负债(万元),44951,64155,75305,72721,65784,53060,--,38768,53550,38238,34598,
股东权益不含少数股东权益(万元),142839,108670,101433,96676,94366,88953,--,80409,54490,68280,64462,
净资产收益率加权(%),7.79,6.89,14.85,--,7.72,21.48,--,10.99,8.41,5.38,2.43,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
