报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.05,0.02,0.08,-0.02,0.01,0.03,0.01,-0.18,-0.1,-0.07,-0.1,-2.37,-0.55,-0.39,-0.29,-1.28,-0.14,0.02,0.01,-0.46,-0.05,-0.04,-0,0.11,-0.1,-0.07,-0.06,0.03,-0.23,-0.07,0.15,0.01,0.03,0.03,0.12,0.05,0.02,0.06,-0.27,-0.12,-0.08,-0.04,0.06,0.13,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-0.67,-0.7,-0.65,-0.73,-0.7,-0.68,-0.7,-0.71,-0.65,-0.68,-3.47,-3.37,--,-1.35,-1.24,-0.96,0.17,0.35,0.34,0.33,0.73,0.75,0.8,0.8,0.57,0.63,0.64,0.7,0.39,0.52,0.6,0.24,0.23,0.23,0.2,0.19,0.16,0.21,0.15,0.29,0.33,0.38,0.61,0.69,0.57,0.58,0.44,0.51,0.64,0.73,1.4,1.47,1.57,1.58,2.32,2.43,2.5,2.58,3.64,3.73,3.78,3.8,3.73,3.72,3.76,3.77,4.11,4.95,4.9,4.83,4.89,4.81,5.15,4.99,4.76,2.11,1.68,1.44,
每股经营活动产生的现金流量净额(元),--,0.1,-0.04,0,--,-0.11,-0.2,0.21,--,-0.61,-1.62,-0.46,--,--,-0.17,--,0.23,0.16,0.14,-0.35,0.48,0.26,0.07,-0.15,-0.25,-0.17,-0.37,-0.05,-0.11,-0.23,-0.74,-0.57,-0.17,0.01,0.03,0.06,0.01,0.01,-0.01,0,0,0,-0.12,-0.03,-0.12,0.26,0,--,0,0.07,0,0,0,-0.01,0,0,0,0.07,0,0,0,0.02,0,0.14,0,-0.19,0.13,0.14,-0.23,0.06,--,-0.11,--,--,--,--,--,--,
主营业务收入(万元),235827,152009,80755,280871,215528,175279,72640,201984,130672,52649,17491,54753,31848,21150,7624,110371,71013,52182,24114,183142,142447,115099,59249,333314,224722,168139,87938,261027,147314,93832,156836,105233,69011,38637,136738,104211,66595,25153,8875,977,493,151,25654,25430,12642,12984,12466,12180,9968,32255,26369,15941,8527,39634,27677,17162,13041,61443,44251,29939,15405,69324,38315,20595,10871,54996,25753,48484,18645,32641,16846,52269,37094,71875,45440,58732,55859,34984,
主营业务利润(万元),2376,1592,800,10036,7925,6357,2708,9619,6932,3373,1368,4921,3155,2344,834,-16816,268,3335,2063,626,2270,1660,1089,6321,70,-1085,-104,2815,-1286,1036,3665,921,2101,1199,8744,5937,3984,2289,1232,223,158,-93887,92,37,--,-1336,-1467,-1514,-1152,31,508,442,589,-1032,83,304,121,753,933,1057,990,4322,2219,740,380,1861,2081,5578,2446,2709,2017,2056,3508,9531,5220,11277,8803,4934,
营业利润(万元),-8072,-5063,-2885,-2002,-41,1421,164,-12027,-3630,-4574,-2507,-48022,-14377,-10478,-7915,-31184,-4361,444,230,-12603,-2494,-1989,-815,654,-2398,-1571,-1312,-76,-5613,-1777,930,-2384,390,328,2319,899,461,1506,-6348,-2894,-1998,-875,452,2173,240,1415,-5614,-4198,-1730,-12493,-3364,-2145,-139,-13891,-4798,-2845,-1493,-21290,-2962,-1273,-375,566,-922,-1135,-833,-5941,911,2975,1581,1715,1511,1753,2940,9580,0,9700,8803,4991,
投资收益(万元),-8,-8,--,5,--,--,--,9,--,--,--,132,--,--,--,-98,75,--,--,70,--,--,--,55,--,--,--,1685,--,--,14,--,--,--,--,--,--,--,105,--,--,--,103,109,111,-216,90,-62,-84,-86,1,1,-0,-0,-1,-0,-0,-0,-1,-0,-0,-1,-1,-1,-1,74,110,132,0,0,0,0,0,0,0,0,0,0,
营业外收支净额(万元),13414,8119,8101,286,671,673,200,414,-2763,-0,-4,-9297,1156,1150,11683,274,806,22,-3,1292,1222,737,745,1786,-4,-0,--,828,-5,-4,2660,2630,272,276,280,256,-23,-0,-3,-2,0,0,--,--,--,-120,0,-121,0,-3798,0,0,0,-5249,0,0,0,-2140,0,0,0,-102,0,-49,0,-288,0,-2,0,-965,0,--,0,0,834,--,--,--,
利润总额(万元),5342,3056,5216,-1716,630,2095,364,-11613,-6393,-4574,-2511,-57318,-13221,-9328,-6762,-30909,-3554,466,227,-11311,-1271,-1252,-70,2440,-2402,-1572,-1312,753,-5618,-1781,3590,245,662,604,2598,1155,438,1506,-6351,-2896,-1997,-875,1247,2969,240,1079,-5645,-4380,-1817,-16377,-3423,-2196,-143,-19141,-4860,-2851,-1493,-23430,-2972,-1274,-376,463,-1024,-1185,-845,-6155,935,3104,1590,750,1508,1734,2936,10424,6054,9689,8756,4996,
净利润(万元),3392,1415,5216,-1097,628,2093,364,-8781,-6269,-4462,-2443,-56505,-13186,-9395,-6930,-30408,-3389,499,234,-10999,-1074,-1016,-1,2660,-2394,-1565,-1310,791,-5559,-1724,3659,246,678,616,2737,1155,438,1506,-6350,-2895,-1997,-875,1320,3040,268,1441,-5545,-4315,-1770,-16361,-3435,-2175,-126,-19161,-4872,-2849,-1478,-23454,-2936,-1251,-330,492,-770,-961,-809,-5733,708,2579,1066,609,1276,1394,2493,8861,5146,9689,8756,4996,
