报告日期,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),-0,--,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,-1.42,--,-1.42,-1.42,-1.42,-1.2,-1.25,-1.33,-1.31,0.43,0.47,0.51,0.49,1.28,1.31,1.38,1.4,1.71,1.71,1.71,1.7,1.94,1.83,1.7,2.64,2.55,2.24,2.08,3.08,3.14,0,0,0,
每股经营活动产生的现金流量净额(元),--,0,--,--,--,--,0,0,0,-0,0,0,0,-0.14,0,0,0,-0.19,0,-0.07,--,-0.22,0.03,0.16,-0.01,0.41,-0.04,-0.79,--,--,--,--,--,--,
主营业务收入(万元),0,--,0,0,--,--,434,0,0,0,97,69,26,0,469,234,1492,7709,9148,6814,2828,18892,16906,34383,14622,31177,15663,16746,6655,24461,14529,22764,22964,24650,
主营业务利润(万元),0,--,0,0,--,--,316,0,0,0,86,63,21,0,330,144,1354,7240,7766,5756,2313,12675,8646,19469,10808,15689,8340,434,1129,2798,1820,2889,2515,3243,
营业利润(万元),-3,--,-33,-27,--,--,651,-1648,-623,-30946,-4852,-3426,-1760,-6137,-4869,-3882,-1006,-5295,276,161,-295,2052,6108,11054,5477,13806,8700,-2743,326,2972,0,3084,2794,3402,
投资收益(万元),--,--,--,--,--,--,0,0,0,-28980,0,0,0,-22069,21,21,11,-2098,219,45,6,32,-4,-47,-24,-71,-24,300,300,1503,3,0,1,0,
营业外收支净额(万元),--,--,--,--,--,--,0,0,0,-10348,0,0,0,-1969,0,-121,0,-4391,-95,-95,0,-530,0,-23,0,-34,0,0,0,0,0,0,0,0,
利润总额(万元),-3,--,-33,-27,--,--,2502,339,-623,-70274,-4863,-3437,-1760,-30175,-5123,-3982,-1112,-10849,1336,1047,608,2784,6414,13290,6339,13701,8677,5141,616,4786,2241,3079,4330,3405,
净利润(万元),-3,--,-33,-27,--,--,2439,339,-623,-70274,-4618,-3192,-1613,-30175,-4701,-3561,-1103,-11502,589,456,386,2241,6176,11964,5529,11781,6944,4341,524,4786,1905,3079,4330,3405,
净利润(扣除非经常性损益后)(万元),-3,--,--,--,--,--,0,-1677,0,-69487,0,-3180,0,-15112,0,-3440,0,-7274,-253,-386,--,2770,6332,11987,5553,11886,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),--,--,0,--,--,--,609,51,1,-15,686,686,36,-3278,-809,-762,1049,-7263,0,-2740,--,-9717,1169,6245,-466,-9280,-937,-18159,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),--,--,0,--,--,--,609,51,1,-15,-5,-5,0,-1008,-962,-915,-203,-4478,0,-6070,--,-2155,8219,3177,-993,4672,-205,-1651,--,--,--,--,--,--,
总资产(万元),0,0,0,0,--,0,9346,6700,4106,4362,94917,95756,97341,62958,117728,118239,120522,125195,147150,146741,142304,146992,153024,133986,128633,122508,113976,102072,129079,127735,93381,69180,55846,48431,
流动资产(万元),0,0,0,0,--,0,2922,154,257,311,67150,67215,67985,26715,56759,56734,58529,--,--,--,88670,0,0,92505,0,0,84150,78488,54061,51967,37056,26763,29629,26999,
总负债(万元),55453,55450,55450,55444,55417,55417,55931,55417,55859,55492,74497,73775,74063,43815,60278,59648,59059,62622,73960,73841,69842,75138,72459,61944,61985,61562,53226,50605,81429,80609,45314,46095,35839,32355,
流动负债(万元),48068,48065,48065,48059,--,48031,55784,55271,55713,55346,74363,73775,73928,43668,60143,59513,58925,--,--,--,69672,0,0,60361,0,0,51000,49329,50724,44335,28273,26554,29254,30927,
股东权益不含少数股东权益(万元),-55453,-55450,-55450,-55444,--,-55417,-46617,-48717,-51753,-51130,16758,18185,19764,19144,50043,51184,53641,54744,66835,66702,66633,66246,75462,71403,66137,60608,58412,51467,47650,47126,48067,23085,20006,16076,
净资产收益率加权(%),--,--,--,--,--,--,0,0,0,0,0,-17.52,0,-83.77,0,0,0,-18.98,0,0,--,3.79,8.54,17.97,0,0,--,8.81,--,--,--,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
