报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.62,0.35,0.12,1.01,0.84,0.5,0.2,1.06,0.85,0.51,0.12,1.08,0.82,0.45,0.1,1.03,0.39,0.64,0.4,0.25,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,5.02,4.9,--,--,--,--,3.18,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.43,1.59,--,--,-0.63,1.88,0.69,1.21,1.6,1,
主营业务收入(万元),57094,33429,13943,83489,62610,39921,16972,79640,59374,36483,13336,69521,49262,29376,10239,70971,28439,65495,61417,54092,
主营业务利润(万元),15572,9090,3311,24912,19249,12082,4921,25140,18875,11263,3829,21459,15584,9092,2954,21356,8390,18946,14857,10681,
营业利润(万元),9435,4970,1523,11186,8764,5005,2039,9349,7120,3869,851,7849,6212,3264,744,7744,2920,5009,3544,2377,
投资收益(万元),1256,824,519,1520,1105,538,318,571,348,39,17,70,16,16,3,48,21,-888,77,6,
营业外收支净额(万元),79,2,1,424,408,62,-3,74,91,31,33,399,38,149,-8,124,2,102,-20,14,
利润总额(万元),9514,4971,1524,11609,9171,5067,2035,9423,7211,3900,884,8248,6251,3413,737,7868,2923,5111,3524,2391,
净利润(万元),8003,4132,1309,9882,7796,4307,1730,8007,6138,3324,751,7018,5319,2900,626,6723,2523,4171,2590,1601,
净利润(扣除非经常性损益后)(万元),6403,3195,826,8115,6437,3749,1439,7352,5693,3216,708,--,5161,2759,630,--,--,--,--,--,
经营活动产生的现金流量净额(万元),5725,-1317,-8386,12860,9709,1898,-1027,7981,7163,2737,-2773,10324,5866,891,-4083,12199,4459,7874,10412,6514,
现金及现金等价物净增加额(万元),-1251,4972,-8913,3316,7577,2122,-802,7766,12357,35201,-3968,3051,5268,491,-1440,1310,2365,-4292,-626,1116,
总资产(万元),109741,103665,101754,106523,105301,101065,95733,98125,96923,92240,54770,57471,--,--,--,54192,57614,57126,61070,52209,
流动资产(万元),75865,69488,56117,46370,52590,50901,49832,47187,61072,55753,17739,19512,--,--,--,14565,16830,15010,19042,19821,
总负债(万元),22269,20215,16681,23899,26377,25905,20738,25133,26129,22702,22149,25601,--,--,--,29341,36962,37997,39060,31866,
流动负债(万元),21724,19642,16079,23268,25726,25225,20030,24397,25365,21909,19008,22431,--,--,--,19241,26812,27847,28860,22966,
股东权益不含少数股东权益(万元),87472,83450,85073,82624,78924,75160,74996,72992,70793,69539,32620,31870,--,--,--,24851,20652,19129,21958,19367,
净资产收益率加权(%),9.24,4.88,1.57,12.46,10.14,5.73,2.34,15.21,11.96,9.91,2.3,22.02,19.33,10.45,2.46,27.05,12,21.81,12,8,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
