报告日期,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),6.03,5.81,5.44,5.3,4.86,4.55,4.18,4.3,3.99,3.87,3.56,3.13,3.41,3.17,2.9,2.65,2.43,2.52,2.47,2.35,2.31,2.42,2.22,2.42,1.97,1.97,0,0,0,
每股经营活动产生的现金流量净额(元),0.57,0,--,0,1.34,0,0,0,1.14,0,0,0,1.07,0,0,0,0.45,0,0.23,--,-0.07,-0.19,0.4,0.27,-0.45,--,--,--,--,
主营业务收入(万元),608161,463739,307719,139748,478103,347423,226096,107835,388168,282768,182378,88327,265665,194985,124749,57499,204823,150745,98014,49141,225343,110558,258527,141211,168801,75489,146895,139108,147679,
主营业务利润(万元),184260,157779,112507,51282,154608,113615,75192,35990,144874,109527,75883,36849,85429,61370,37038,14828,34107,24304,14918,6287,41728,24092,78959,50407,38594,14159,30266,22196,20531,
营业利润(万元),150775,133923,96747,44251,122383,90712,60692,30689,115222,88099,63327,30097,60567,46767,28775,11286,15871,12115,8337,2699,25620,17434,52376,29337,23742,8464,19387,14648,12923,
投资收益(万元),0,0,--,0,419,419,419,162,-51,-42,-185,13,-298,-27,-9,21,-75,14,14,0,243,326,0,0,0,0,0,0,0,
营业外收支净额(万元),-966,0,--,0,-321,0,0,0,-570,0,0,0,-2399,0,0,0,101,22,26,0,-194,-304,-1632,0,209,0,--,--,--,
利润总额(万元),149809,133022,96558,44099,122481,91055,61060,30819,114803,87841,62975,29718,57870,45046,27243,11196,15896,12150,8377,2706,25669,17457,50744,29278,23951,8848,19387,14648,12923,
净利润(万元),103997,89156,64737,29542,86956,65849,41084,20643,82784,74894,53734,25272,52271,38631,23481,9529,14527,11372,8165,2300,22480,14614,42163,24886,15533,5928,12990,9814,8659,
净利润(扣除非经常性损益后)(万元),104331,0,64703,0,85969,0,40121,0,82922,0,53841,0,54312,0,24776,0,14441,11354,8143,--,22703,14872,43550,24936,15393,--,--,--,--,
经营活动产生的现金流量净额(万元),38628,36475,30585,23311,89963,71772,32585,20891,76702,57860,50564,28567,60167,61665,42180,14287,24974,0,12810,--,-3961,-10411,22535,15088,-25232,--,--,--,--,
现金及现金等价物净增加额(万元),-51679,-41751,-23610,14852,45510,34889,1789,16299,12794,20745,18160,5780,13200,29181,23778,11218,-1629,0,-5304,--,-5502,-7616,5649,-389,9096,--,--,--,--,
总资产(万元),489657,467032,462062,450312,420012,398301,366558,382947,365702,358443,328696,313221,293857,296704,275476,270854,259216,247125,244102,259558,250272,236848,246159,202282,167644,171053,118751,109044,102528,
流动资产(万元),169060,209021,215997,210087,177484,160228,133272,149435,128211,132159,105090,94659,92163,108542,91061,--,0,--,--,114099,--,0,0,0,0,109300,56315,64619,59893,
总负债(万元),84346,76663,96136,93734,92988,92419,85460,93996,97395,97995,89383,102427,102706,119016,112900,122393,122813,106241,106038,127747,120761,101371,121638,67038,57286,60689,68312,74800,68821,
流动负债(万元),84346,76663,96136,93734,92988,92419,85445,93874,97132,97535,84923,90738,91016,105735,96619,--,0,--,--,105862,--,0,0,0,0,58192,64430,70268,63648,
股东权益不含少数股东权益(万元),405021,390180,365760,356437,326896,305779,281014,288797,268154,260283,239123,210570,190898,177406,162257,148122,136035,140883,138064,131811,129511,135477,124522,135245,110358,110364,50439,34243,33707,
净资产收益率加权(%),28.59,0,18.24,0,29.46,0,14.47,0,36.29,0,25,0,31.73,0,0,0,0,8.41,0,--,0,11.44,32.08,0,0,--,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
