报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),-0.01,-0,-0,--,-0.01,-0,0,-0.31,-0.23,-0.15,-0.07,-0.29,-0.22,-0.15,-0.07,-0.27,-0.2,-0.13,-0.06,-0.24,-0.18,-0.12,-0.06,-0.23,-0.17,-0.11,-0.06,-0.22,-0.16,-0.11,-0.05,--,-0.16,-0.1,-0.05,-0.19,-0.13,-0.08,-0.05,-0.35,-0.14,-0.09,-0.04,-0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-8.27,-8.2,-8.12,-8.06,-8.01,-7.94,-7.88,-7.82,-7.76,-7.7,-7.65,-7.59,-7.53,-7.48,-7.42,--,-7.33,-7.27,-7.22,-7.17,-7.12,-7.07,-7.03,-6.98,-6.77,-6.72,-6.68,-6.08,-6.04,-5.47,-5.37,-5.21,-5.14,-4.13,-4.07,-1.84,-1.72,1.15,1.44,4.15,4.31,6.03,6.02,6,5.99,5.9,5.87,10.96,10.85,10.54,9.97,10.07,2.67,2.78,2.43,2.26,2.1,2.08,2.07,2.03,2.39,0,--,1.57,1.21,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,-0,-0,-0,-0,0,0,0,0,0,0,0,0,--,0,0,0,0,--,-0,-0,-0,0,0,-0,0,-0.01,0,--,0,-0.04,--,0,0,-0.06,--,0,0,0.29,0,0,0,0.59,--,-0.31,--,0.39,1.58,1.08,0.47,1.83,--,-0.1,0.05,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,503,285,5636,3656,2238,850,7742,6354,3950,2621,21284,18511,14203,6939,67746,50013,34945,14422,71100,38023,50826,22386,27422,9162,22076,8451,6643,3095,7245,4364,6474,3046,9728,13526,6320,
主营业务利润(万元),0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,-331,-130,-43,653,474,288,104,-1487,-106,312,173,3536,4419,3110,1551,9253,5821,3439,1448,11412,9929,15199,6282,12322,4716,7828,3604,-476,-289,3,62,618,246,4112,4417,2161,
营业利润(万元),0,0,0,--,-44,32,-41,-7117,-5328,-3541,-1701,-6708,-5036,-3362,-1658,-6210,-4552,-2936,-1477,-5546,-4265,-2813,-1390,-5396,-3955,-2592,-1302,-5104,-3725,-2445,-1233,-4654,-3639,-2427,-1151,-4321,-3084,-1948,-1084,-8104,-3166,-2084,-1029,-939,-17448,-7613,-6069,-1590,-46705,-37786,-36343,-1832,-51657,-11200,-9045,-3021,-5872,539,650,263,4983,4084,3155,1131,5375,6859,11468,4952,8672,3208,4417,2035,-428,0,25,0,694,12,1891,3119,1198,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,0,-1415,378,383,-65,-12014,-9382,-9250,-1056,-15715,-7307,-6260,-1124,-3316,-264,-40,-78,559,134,346,-11,2011,3,110,-109,-418,703,501,52,536,383,528,222,343,161,132,9,5,
营业外收支净额(万元),-124,-82,-45,--,-147,-88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0,-0,-0,--,--,0,0,0,0,--,--,--,--,--,--,--,--,0,0,--,0,-24241,-11906,0,0,-81560,-59598,0,0,-31345,516,0,0,-92,-59,-38,0,471,0,-176,0,-64,0,--,0,0,4,0,7,0,--,--,--,--,
利润总额(万元),-124,-82,-45,--,-191,-56,-41,-7117,-5328,-3541,-1701,-6708,-5036,-3362,-1658,-6210,-4552,-2936,-1477,-5546,-4265,-2813,-1390,-5396,-3955,-2592,-1302,-5104,-3725,-2445,-1233,--,-3639,-2427,-1151,-4321,-3084,-1948,-1084,-8104,-3166,-2084,-1029,-939,-23893,-8184,-5923,-1655,-82951,-59074,-57498,-2892,-148606,-77981,-71093,-4003,-40114,1234,1006,414,6056,4766,3901,1421,10898,8310,13367,5187,9449,4008,6493,2082,109,106,578,344,1013,410,1994,3013,1193,
净利润(万元),-124,-82,-45,--,-191,-56,-41,-7117,-5328,-3541,-1701,-6708,-5036,-3362,-1658,-6210,-4552,-2936,-1477,-5546,-4265,-2813,-1390,-5396,-3955,-2592,-1302,-5104,-3725,-2445,-1233,-4654,-3639,-2427,-1151,-4321,-3084,-1948,-1084,-8104,-3166,-2084,-1029,-939,-23893,-4233,-2296,-1106,-68124,-50346,-48897,-2636,-136671,-70153,-63369,-3769,-38891,834,583,305,5098,4213,3502,1275,8852,5458,8729,3711,5751,2983,4443,1426,101,71,710,293,652,349,1686,2561,799,
