报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2004-09-30,2003-12-31,2002-12-31,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),-0.31,-0.21,-0.1,0.15,0.27,0.41,-0.11,-0.49,-0.36,-0.22,-0.1,-0.45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,-11.16,--,-11.08,--,-10.86,-11.09,-11.24,-10.98,-12.32,-12.32,-10.75,-10.02,-9.95,-9.89,-9.82,-9.61,-9.56,-9.49,-9.44,-9.08,-9.02,-8.96,-8.89,-7.49,-7.46,-7.38,-7.31,-7.33,-7.27,-7.21,-7.15,-7.02,-6.97,-6.91,-6.88,-6.65,-6.59,-6.53,-3.25,-3.13,-2.17,-1.54,-1.37,-1.21,0.6,0.58,0.68,1.11,1.21,1.72,1.57,1.54,2.44,3.07,2.47,2.59,2.43,1.15,1.42,
每股经营活动产生的现金流量净额(元),--,--,--,-0.07,0.03,--,0.02,-0.06,-0.03,--,-0,-0,-0.02,--,0.01,0.01,--,--,-0,-0.01,-0.01,--,0,0,0.01,--,0,-0.01,-0.01,0,-0,-0.01,-0,--,-0,-0.01,-0.01,--,0,--,-0.01,-0.62,-0.11,--,0.07,--,0.06,0.22,0.05,-0.01,--,0.18,0.12,--,--,--,--,--,--,--,
主营业务收入(万元),67,52,18,93,67,61,30,83,45,40,40,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,7848,7052,2358,21513,18636,12599,20992,11133,28176,15081,33174,16141,17152,8468,17963,8404,13268,10187,--,
主营业务利润(万元),67,52,18,-97,67,61,30,-198,45,40,40,-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,-107,63,-132,1157,3118,1929,-2037,-38,1974,1964,5706,2869,1292,1185,1396,812,1918,1599,--,
营业利润(万元),-3547,-2366,-1160,2034,-4111,-2505,-1255,-5554,-4095,-2481,-1192,-5158,-2262,-1429,-788,-4963,-2095,-1429,-731,-5307,-2123,-1418,-676,-5183,-2008,-1548,-773,-1868,-2122,-1473,-721,-3126,-1913,-1132,-446,-4567,-2052,-1346,-636,-4104,-6678,-7979,-3780,-1842,-13798,0,-1119,-6175,-1141,-5112,-276,1896,1133,1516,0,1790,1010,2016,1746,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,--,--,0,--,0,0,0,-1002,0,0,1,0,7,2,249,246,1014,550,321,4,20,46,--,
营业外收支净额(万元),-0,0,--,-285,7228,7228,-0,-3,0,0,--,2,0,0,--,609,97,97,108,-984,33,-49,-2,-268,-97,-137,15,-98,27,28,-2,-789,331,15,-1,54,146,97,95,-1285,19,0,-4,0,-272,-129,0,-28,0,-4,0,--,0,0,-15,0,--,-9,--,--,
利润总额(万元),-3547,-2366,-1160,1749,3117,4724,-1255,-5557,-4095,-2481,-1192,-5157,-2262,-1429,-788,-4354,-1998,-1332,-624,-6291,-2091,-1467,-678,-5451,-2105,-1685,-757,-1944,-2073,-1424,-716,-3501,-1582,-1117,-447,-4513,-1905,-1249,-541,-5388,-6658,-11028,-3785,-1877,-15071,0,-1172,-5997,-1110,-4709,-305,2612,1467,2441,1827,2072,989,2027,1776,--,
净利润(万元),-3547,-2363,-1160,1755,3117,4724,-1255,-5550,-3506,-2481,-410,-5150,-2262,-1429,-788,-4250,-1998,-1332,-624,-6247,-2091,-1467,-678,-5341,-2105,-1685,-757,-1915,-2073,-1424,-716,-3467,-1582,-1117,-447,-4479,-1905,-1249,-541,-5388,-6651,-11000,-3781,-1874,-14972,-1036,-1184,-5964,-1110,-4709,-305,1878,1247,2075,1553,1760,840,1722,1509,--,
净利润(扣除非经常性损益后)(万元),-3547,-2365,-1160,-5465,--,-2505,--,-5554,--,-2481,--,-5305,--,-1429,--,-4859,--,-1429,--,-5263,--,-1418,--,-5073,--,-1548,--,-1839,--,-1473,--,-3091,--,-1132,--,-4534,--,-1153,--,--,-6670,0,-3777,--,-13698,--,-1131,-6143,-1141,-4712,--,--,--,--,--,--,--,--,--,--,
