报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-03-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.27,0.22,0.03,0.13,0.04,0.3,0.14,0.11,-0.19,-0.65,-0.63,0.29,0.95,0.71,0.3,1.24,0.88,0.55,0.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),6.7,6.64,6.51,6.48,6.39,6.64,6.54,6.4,6.1,5.64,5.82,6.44,7.1,6.86,7.06,6.76,6.4,6.12,6.21,5.93,5.75,5.43,5.15,5.11,5.13,5.01,5.28,5.05,4.88,4.7,5.01,4.75,4.55,4.39,4.23,4.12,4.22,3.91,3.81,3.71,3.55,3.25,3.17,2.9,2.36,2.12,2.13,2.86,1.54,--,0,--,
每股经营活动产生的现金流量净额(元),1.38,0.25,-0.1,2.4,0.76,0,0.03,2.49,1.43,1.51,0.25,0.72,0.5,0.33,0.13,1.83,1,0.81,0.07,0.81,0,--,0,1.28,0,0,0,1.02,0,0,0,0.79,0,0,0,0.78,0,0.49,--,0.56,0.37,1.27,0.2,0.03,--,0.59,--,--,--,--,--,--,
主营业务收入(万元),3460762,2281928,1087267,4029084,2863535,1883745,839842,2827610,2007997,1226693,602167,3976553,3366393,2205462,1048824,3292616,2302932,1475791,693839,2432472,1748037,1130629,521360,1981565,1407845,927025,453869,1776183,1257851,835532,448423,1089685,753704,466118,208652,601464,426089,276629,134836,498820,238724,452541,215596,399080,199321,408762,195502,355367,77084,243711,233467,211362,
主营业务利润(万元),129225,92788,39628,171415,119569,106310,55119,199386,124858,46291,-1451,266463,318069,231514,117217,376745,279477,177754,--,252376,186308,116047,33211,159581,124576,92177,50643,163673,123715,85708,49215,153365,123571,78600,31196,98265,69345,45225,20282,82944,45835,84218,37179,59037,29064,57428,26092,32132,7414,26297,22649,19530,
营业利润(万元),25490,20766,3573,4466,-394,23506,18540,23988,-11703,-54833,-55101,11234,107237,89118,41903,159688,121742,76587,36601,115710,84017,42372,2631,65969,58761,44846,29887,103879,78432,55947,35218,87667,61092,39769,16297,60890,45168,30066,12964,53972,31086,63266,27376,44739,21925,43449,20005,32744,7414,26297,22649,19530,
投资收益(万元),--,--,--,--,--,--,--,100,100,100,0,300,300,0,0,800,675,400,400,-535,379,-98,-188,-5685,-1725,0,0,44,44,44,0,56,77,77,0,8,0,0,0,716,0,6,0,0,0,0,0,0,0,--,0,0,
营业外收支净额(万元),355,159,-116,8069,3953,3127,-31,-1183,-3341,-3076,-2533,-3461,--,--,--,--,--,--,--,-3374,0,--,0,-576,0,0,0,52,0,0,0,-4281,0,0,-1149,-2960,-2550,-2350,0,-754,0,-983,0,-236,0,0,0,0,--,-57,1250,0,
利润总额(万元),25845,20925,3457,12535,3559,26633,18508,22805,-15044,-57909,-57634,7773,103644,85260,38150,157666,120041,75972,33085,114807,85302,43192,5224,59708,56638,44458,29588,103974,77925,55504,34925,83442,57038,36060,15148,57938,42618,27716,12818,53934,31082,62289,27381,44503,22015,43553,20266,33596,7413,26240,22598,19481,
净利润(万元),24927,19810,2494,12358,3868,27170,13193,9690,-17119,-59753,-58364,26373,87875,65346,28034,113954,80832,50272,22087,74604,58293,28717,3402,41548,42761,32019,20659,74139,58089,41255,24388,57282,39197,24591,10153,38504,28187,17711,8587,45579,26175,52715,23274,37648,18713,36780,17226,30334,7063,24920,21498,18481,
净利润(扣除非经常性损益后)(万元),--,19691,--,9196,0,24946,--,13822,0,-54444,0,28780,0,68559,--,117243,0,50684,--,75258,0,27394,0,41977,0,32279,0,74119,0,39340,0,60113,0,27127,0,38504,29895,19286,--,45306,26179,53698,23274,37648,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),127664,22938,-9114,221239,70441,34,2322,229606,132324,139702,22666,66671,46403,30814,12145,168954,91858,74654,6243,74373,58447,58724,18441,118162,62675,59300,102145,94155,58885,16926,-43160,72510,31939,25777,10896,72138,0,42714,--,49095,32598,111008,17266,50072,--,47072,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-90744,-73571,-30785,64080,-9979,-6133,14842,6994,1158,76173,36753,-50767,41261,18570,180729,33464,-21338,3205,-6883,-2727,6510,20409,-6347,29946,-25277,-23750,40071,-1305,-16858,-32488,-13354,-14967,-35845,-12609,18125,64154,0,1644,--,8527,6408,-10531,-867,2681,--,-5168,--,--,--,--,--,--,
总资产(万元),1654948,1678231,1653734,1679784,1697963,1718031,1651905,1616528,1624116,1574335,1669131,1747484,2030954,1910361,2004570,1739833,1619222,1550378,1599596,1497577,1430464,1432792,1375970,1354501,1192776,1075897,1066448,982795,930575,895867,888986,826531,770699,740078,753625,705637,660126,591958,579931,559298,566303,513686,501792,436056,353944,350726,326542,301443,178303,183530,133751,124352,
流动资产(万元),566069,604079,563012,572735,581221,593175,511692,457704,457143,446204,532276,603339,902817,826145,937923,672316,570305,518592,573077,467433,448226,479428,436071,436240,330582,309521,385325,425298,417019,405754,445405,372018,332012,315860,--,--,0,0,180408,0,0,0,0,0,92188,97867,97854,95894,39025,41219,36679,37692,
总负债(万元),1035735,1064216,1051650,1080346,1107227,1104156,1046165,1024129,1059091,1051927,1129554,1150998,1373789,1275476,1350516,1114152,1026868,983515,1019499,943596,893519,926716,890501,872640,709875,604563,570810,509588,477447,460072,424383,386746,349802,334042,361201,324371,269182,249606,246773,234732,255948,229133,225486,183024,166644,182139,157642,149769,109138,114364,93051,84591,
流动负债(万元),616119,620600,591456,649528,705074,690003,640306,627170,560853,488340,523362,526092,708383,640379,646234,630494,627335,626457,665902,663938,642472,674139,656362,638230,474204,335453,309830,274109,334379,337484,299140,262109,231310,216323,--,--,0,0,129794,0,0,0,0,0,63085,81020,46525,52211,27672,33411,33358,30203,
股东权益不含少数股东权益(万元),617487,612212,600259,597606,588884,612046,603485,590170,562798,520101,536824,593688,654891,632361,651492,623458,589941,564418,572864,547017,530653,501097,475121,471720,472890,461921,486742,466084,450035,433203,462449,438060,419499,404878,390401,380231,389577,340975,331771,323182,308976,283097,276306,253032,187300,168587,168900,151674,69165,69165,40701,39760,
净资产收益率加权(%),4.1,3.28,0.42,2.08,0.66,4.52,--,1.64,0,-10.6,0,4.37,0,10.49,--,19.52,0,8.73,--,14.65,0,5.9,0,8.86,0,6.64,0,16.4,0,0,0,13.26,0,6.26,0,10.75,8.15,0,--,14.9,8.85,18.9,0,0,--,21.82,--,--,--,--,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
