报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),-0.01,-0.01,-0,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,-0.02,-0.01,-0.03,-0.02,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0,-0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,0.26,--,0.28,--,0.29,--,0.3,--,0.31,--,0.32,--,0.34,--,0.35,--,0.34,--,0.35,--,--,0.34,--,-0.08,-0.15,-0.13,0,-0.1,4.93,4.88,4.33,3.93,3.32,2.81,2.24,4.02,2.64,4.46,4.72,2.86,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.01,--,-0.12,0,-0.05,0,-0.33,0.3,1.76,0.68,1.15,0.67,0.67,--,--,--,--,--,--,--,--,
主营业务收入(万元),984,402,79,1153,986,460,111,1837,1296,650,297,2361,485,227,51,4007,1022,185,22,4384,1546,743,554,3012,1266,900,630,1437,5568,82188,184091,78872,185143,78279,164034,71187,125125,46612,46824,20487,30828,18404,13373,
主营业务利润(万元),35,-132,-102,-135,-9,-155,-101,230,158,-119,-67,-97,-300,-217,-128,1083,251,-139,-44,882,280,-121,-2,49,-944,-798,-793,-234,-3060,30139,59830,34073,72660,30707,52711,15108,16811,3624,6314,2805,3169,2550,0,
营业利润(万元),-552,-534,-237,-922,-626,-547,-329,-870,-637,-676,-277,-1275,-1001,-661,-368,149,-372,-536,-238,113,-280,-449,-203,-881,-8716,-3863,-3287,-28,-18570,20677,50335,28927,62278,27496,43704,12228,17047,0,6246,0,3130,0,0,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1414,-130,-120,0,-11,0,0,0,-544,0,0,0,273,0,1,1,1,0,0,
营业外收支净额(万元),64,-1,20,-108,-33,1,1,-127,-10,-11,-15,-25,-1,-1,-5,1,-5,0,--,26,23,-2,--,0,260,-200,338,0,-690,-1671,-179,0,-253,0,0,0,0,8,0,1,--,--,--,
利润总额(万元),-487,-535,-217,-1030,-660,-546,-329,-997,-648,-686,-292,-1300,-1002,-662,-373,150,-377,-536,-238,140,-257,-451,-203,-881,-5531,-4192,-3069,-1634,-19271,19006,50155,28773,61480,27256,43465,12220,17098,3631,6380,2806,3228,2787,1660,
净利润(万元),-487,-535,-217,-1030,-660,-546,-329,-997,-648,-686,-292,-1300,-1002,-662,-373,150,-377,-536,-238,140,-257,-451,-203,-881,1249,-366,288,-888,-8035,16861,43163,18616,51303,23030,36259,10206,14262,3016,5927,2385,2744,2369,1410,
净利润(扣除非经常性损益后)(万元),-552,-534,-237,-922,-626,-547,-329,-870,-637,-676,-277,-1275,-1001,-661,-368,90,-372,-536,-238,113,-280,-443,--,-881,-1936,3210,-50,0,-8035,18532,43163,18616,51303,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-69,-317,-61,-313,-307,-370,-305,97,-431,-658,-192,-42,-1111,-525,-807,743,-495,-322,-593,498,44,-472,-367,789,19798,0,111,0,-14656,13435,78583,30378,69128,30027,30023,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),83,6,-65,-570,-475,-465,-336,-359,-544,-641,-237,-69,-1070,-534,-791,432,-596,-414,-647,198,-397,-449,-399,467,-5424,0,-2141,0,6726,23397,-2561,-9051,4442,-5579,-12904,--,--,--,--,--,--,--,--,
