报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2007-12-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),0.01,0.01,0,0.04,0.02,0.01,0,0.04,0.01,0.01,0,0.54,0.1,0.02,0.04,0.09,-0.59,-0.53,--,--,-0.59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-9.83,-9.24,-8.71,-8.15,-7.6,-6.68,-5.35,-4.2,-5.2,-5.06,-4.83,-4.7,-0.22,-0.07,0.14,0.31,2.39,2.81,3.26,2.45,3.32,3.2,3.16,2.91,3.14,3.06,2.95,3.49,3.37,3.76,3.65,3.56,--,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0.04,-0.01,0,--,0,0.02,0,0,0,-1.84,0,0,0,-0.17,0,0,0,0.25,0,0.23,0,0.45,0.21,0.49,-0.11,-0.13,--,-0.57,--,--,
主营业务收入(万元),8846,6584,3944,13182,9110,6341,3887,14053,8267,6359,2628,18643,14606,9433,4290,17370,1159,1723,1175,1342,810,612,16730,19007,13075,8216,4176,21575,15024,9728,4603,38263,30861,21451,10477,45079,37446,23755,14092,47992,38556,25832,12218,35926,13921,24864,10851,18229,7283,14508,14211,12770,
主营业务利润(万元),4118,2778,1253,6046,3149,2361,992,5644,3204,2448,662,6844,5375,3549,1188,5212,228,1,-22,-33,84,-2,-1791,1986,1363,693,446,2944,2068,1222,643,4647,3860,3050,2704,9663,9351,6481,3481,11281,10501,7135,3371,11178,5266,8077,4038,6315,2718,5754,4852,4581,
营业利润(万元),1418,1095,393,3640,1568,1144,380,3094,1328,1130,106,3480,2190,1980,594,3315,-7026,-6289,-6620,-6437,-6697,-3328,-13872,-9399,-5644,-3820,-1634,-33688,-6364,-4567,-2031,-23383,-9274,-4810,270,-7199,2313,1833,1092,1358,2876,2079,841,3188,1897,2496,1162,2432,1106,2098,1867,1826,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,40,40,40,21,4,--,--,--,--,0,3365,117,12,28,--,0,-466,53,17,5,-1507,-395,16,10,1401,4,-53,-2,536,338,352,5,279,200,523,26,23,0,-13,11,-1,
营业外收支净额(万元),--,--,--,-0,4,59,--,453,81,80,0,41005,6075,86,-0,523,227,209,220,21,-38,154,52,-204,0,--,0,-26370,0,0,0,-2319,0,0,0,-77,0,0,0,-96,0,19,0,-35,0,226,0,9,0,0,0,0,
利润总额(万元),1418,1095,393,3640,1572,1203,380,3547,1409,1210,107,44485,8265,2066,594,3838,-6799,-6080,-6399,-6416,-6734,-3174,-13703,-9591,-6186,-4456,-1822,-60525,-6327,-4550,-2033,-27208,-9679,-4849,282,-5848,2389,1825,1082,1798,3237,2449,850,3432,2001,3246,1238,2464,1140,2103,2037,1948,
净利润(万元),1180,911,315,3086,1309,1001,310,3024,1176,1007,81,43819,7740,1744,505,3262,-6748,-6016,-6348,-6362,-6674,-3038,-13052,-8879,-5785,-4131,-1640,-57112,-6041,-4335,-1930,-25724,-9830,-5073,93,-6199,1459,1045,633,125,2225,1672,492,2793,1204,2854,809,2103,966,1750,1714,1626,
净利润(扣除非经常性损益后)(万元),1123,868,315,2906,1122,942,310,2571,1095,927,81,2839,1645,1636,505,2739,-6976,-6224,-6368,-6384,-4225,-6557,-13105,-54264,0,-4043,0,-12598,0,-4335,0,-22883,0,-5022,0,-7120,0,1067,0,50,2207,1658,0,2809,1253,2628,724,2078,--,--,--,--,
经营活动产生的现金流量净额(万元),-2875,-1311,452,326,89,-2930,1140,-542,-769,-808,-1156,-4116,-385,364,90,1467,2,9,22,-52,34,-6,399,-86,-192,-312,-119,218,-16,-13,-6,-20935,-7077,-6527,-1430,-1945,990,729,965,2869,0,2659,0,4303,1949,4687,-1014,-1193,--,-3431,--,--,
现金及现金等价物净增加额(万元),-3036,-1471,294,318,227,-2823,1140,-546,-772,-811,-1158,-5702,-2591,292,-3402,5715,2,8,33,-37,5,-28,165,26,-38,-156,-150,-85,-315,-116,-154,-17702,-16363,-14314,-8110,8535,4603,791,1296,-540,0,2885,0,-6453,-5027,3944,-2806,12325,--,-709,--,--,
总资产(万元),27340,25530,27351,27188,23803,23509,24892,22867,21567,21676,21109,19823,25246,19410,19763,19077,42398,42497,43410,43398,43973,87184,96837,100221,66431,68047,68743,70563,104867,104732,107194,106110,138753,139666,131933,133465,127173,124307,116893,109100,106075,99804,92409,91821,83177,73430,61915,61994,36324,35274,29113,25753,
流动资产(万元),26814,25011,26614,26597,23283,22996,24448,22406,21101,21183,20569,19292,24658,18800,15743,18686,6076,6114,6935,6790,6996,36277,42717,0,45933,45935,46297,47382,61496,60954,62980,61553,80865,79952,77672,83690,66351,64581,--,55717,58310,--,45673,--,0,0,0,0,20129,19085,12743,12648,
