报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.31,0.2,0.08,0.38,0.3,0.18,--,0.35,--,0.17,--,0.38,--,0.22,--,0.35,--,--,0.36,0.27,0.22,
每股净资产(元),--,--,--,--,--,3.14,--,--,--,--,--,--,--,--,--,--,--,--,2.31,2.08,1.93,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,1.03,--,2.63,--,--,--,-0.25,--,--,--,8.04,--,--,--,--,--,
主营业务收入(万元),358316,240488,120922,422956,293176,196400,89281,362206,259065,176782,84058,344167,247481,165563,81507,294259,--,130718,248636,212240,192280,
主营业务利润(万元),135206,84880,37349,147822,117839,71807,54089,139821,165143,70849,56551,124621,164006,64085,32098,103629,--,53685,89244,74018,68378,
营业利润(万元),135206,84880,37349,147822,117839,71807,54089,139821,165143,70849,56551,124621,164006,64085,32098,103629,--,53685,89244,74018,68378,
投资收益(万元),25377,17533,-420,4103,3006,836,-42,1710,4830,2816,20960,3839,1099,1051,26155,5139,--,-245,5931,1412,1268,
营业外收支净额(万元),-285,209,205,1319,139,11,8,-365,-24,-263,-437,404,184,-71,-118,57,--,733,9308,1588,-427,
利润总额(万元),134921,85089,37554,149142,117978,71818,33719,139455,113640,70586,31443,125026,109784,64014,31980,103687,85936,54418,98552,75607,67951,
净利润(万元),113780,71502,29155,125377,98747,60387,25278,113767,87927,56840,23551,103302,86242,51973,24142,83959,68046,46139,86162,58298,47824,
净利润(扣除非经常性损益后)(万元),111541,69544,28630,119135,--,56969,--,105973,--,--,--,99014,--,--,--,80322,--,--,--,57106,48144,
经营活动产生的现金流量净额(万元),1487196,810885,878885,290292,--,338539,--,867270,--,--,--,-82605,--,103625,524225,1910295,--,522939,190866,388628,-901308,
现金及现金等价物净增加额(万元),363901,740764,671146,-147406,--,97394,--,1472842,--,--,--,-285850,--,-10924,-872617,566984,--,110020,10426,-82408,-1140123,
总资产(万元),20000446,20425425,20942738,19316549,19037713,18947899,18953991,17094928,16708056,16058833,16083283,13380277,13416603,11950931,11646236,10179144,9365700,9092959,7079506,6036703,5106591,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
总负债(万元),18662797,19130764,19665906,18087162,17963328,17914726,17917203,16099445,15729299,15117488,15124653,12448868,12494971,11309600,11014770,9576610,8794000,8521867,6530713,5580070,4682267,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股东权益不含少数股东权益(万元),1337650,1294662,1276833,1229387,1074385,1033173,1036788,995483,978756,941345,958630,931409,921632,641331,631466,602534,571700,571092,548794,456634,424323,
净资产收益率加权(%),8.76,5.56,2.3,11.93,--,5.92,--,11.88,--,--,--,14.22,--,--,--,14.77,--,--,--,13.24,11.84,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
