报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
基本每股收益(元),0.92,0.8,1.66,1.21,0.86,1.13,0.54,0.84,0.61,0.34,
每股净资产(元),--,--,7.52,--,6.7,6.03,5.46,5.03,4.25,3.67,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.9,1.27,
主营业务收入(万元),132231,94573,223222,165974,113499,202671,94281,159132,132822,154078,
主营业务利润(万元),29651,21310,47060,35841,23506,37275,16244,28542,24049,19771,
营业利润(万元),12591,10528,22044,15620,10373,13957,6796,8151,5072,1444,
投资收益(万元),-2,-2,-1,-3,-2,6,3,-67,-5,52,
营业外收支净额(万元),73,70,-259,-147,-101,-86,161,2419,2312,1875,
利润总额(万元),12663,10597,21785,15473,10272,13872,6957,10570,7384,3319,
净利润(万元),10734,8370,17454,12680,8986,11882,5621,8822,6356,3621,
净利润(扣除非经常性损益后)(万元),9873,7844,16079,11690,8044,9934,4432,6719,4081,1661,
经营活动产生的现金流量净额(万元),21285,17025,20576,12049,8076,20244,-6390,11840,9464,13387,
现金及现金等价物净增加额(万元),-3747,52885,10722,7231,7090,8965,3060,2997,-376,-15,
总资产(万元),208707,216313,172462,--,168080,155553,149103,135979,122688,125129,
流动资产(万元),124917,134367,90281,--,94260,85479,79836,68481,59166,62175,
总负债(万元),66572,71798,85711,--,91520,85883,84721,76220,71459,81304,
流动负债(万元),58055,63291,77409,--,78292,73876,77302,68956,61075,70362,
股东权益不含少数股东权益(万元),134118,136094,79009,--,70324,63277,57320,52805,44588,38576,
净资产收益率加权(%),10.72,10.08,24.59,18.47,13.37,20.58,10.11,17.99,15.28,9.81,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
