报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,
基本每股收益(元),0.76,0.5,0.29,1.45,0.98,0.65,0.43,1.32,0.97,1.26,1.2,
每股净资产(元),--,--,--,--,--,8.9,--,8.69,--,7.74,6.8,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.43,--,1.11,--,0.91,1.38,
主营业务收入(万元),27372,19554,10287,37843,24761,16221,8850,30661,22995,25407,25022,
主营业务利润(万元),20724,14667,7226,26620,17546,11536,7101,20767,15468,18885,18588,
营业利润(万元),10609,7242,4054,16615,10733,6759,4420,13499,10020,13007,12471,
投资收益(万元),1286,497,22,457,--,--,--,83,70,159,261,
营业外收支净额(万元),190,0,0,-1,-1,1,--,100,50,-0,-0,
利润总额(万元),10799,7243,4054,16613,10732,6759,4420,13599,10070,13007,12471,
净利润(万元),8974,5891,3432,14133,8945,5682,3748,11656,8559,11088,10579,
净利润(扣除非经常性损益后)(万元),7719,5468,3414,13568,8769,5682,3748,11457,--,10948,10356,
经营活动产生的现金流量净额(万元),1446,3618,-1150,9462,1911,3814,416,9774,6833,8011,12106,
现金及现金等价物净增加额(万元),-67979,-46242,-67149,63206,-603,-201,-3580,5553,2691,847,6248,
总资产(万元),158372,155186,158267,155360,149113,87114,--,85802,--,74870,66133,
流动资产(万元),149344,146219,149622,146910,140618,78663,--,77285,--,66572,61697,
总负债(万元),10368,10301,10248,10839,9842,8802,--,9339,--,6775,6276,
流动负债(万元),10368,10301,10248,10839,9842,8802,--,9339,--,6775,6276,
股东权益不含少数股东权益(万元),148082,144926,148027,144522,139271,78312,--,76463,--,68095,59857,
净资产收益率加权(%),6.1,3.99,2.35,14.15,10.55,7.34,4.78,16.32,--,17.54,18.99,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
