报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.23,0.18,0.07,0.4,0.35,0.39,0.21,0.88,0.66,0.4,0.13,0.53,0.36,0.27,0.11,0.43,0.35,0.25,0.11,0.55,0.47,0.32,0.17,0.68,0.43,0.8,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.29,--,2.05,--,2.3,1.78,1.83,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.64,--,0.26,--,0.65,0.71,0.3,
主营业务收入(万元),74096,54422,25435,107471,87061,65107,29610,105706,77414,48727,19730,68954,49786,35230,17536,62173,48936,35080,16648,66352,52810,37999,19417,81474,54698,66087,
主营业务利润(万元),33592,24827,11037,50957,42125,32006,14547,53525,39480,24972,9961,34741,25150,17707,8769,30886,24595,17770,8678,34877,28142,20666,11105,40638,28122,36874,
营业利润(万元),23631,18419,6960,41099,36794,28600,11339,45142,34082,20422,6176,24699,17181,12697,5615,18648,14702,10569,4672,22180,18580,13895,7155,28016,17918,27446,
投资收益(万元),1861,1794,832,4366,3592,2953,1205,4734,3307,976,320,3403,1967,1875,648,1339,373,62,--,18,18,--,--,39,162,600,
营业外收支净额(万元),920,917,814,1461,968,28,5,658,232,158,418,2917,1568,1365,233,2808,2088,1026,179,3258,2561,987,541,3914,2287,4019,
利润总额(万元),24550,19337,7774,42559,37762,28629,11344,45801,34314,20580,6594,27616,18748,14061,5847,21456,16790,11595,4851,25438,21141,14883,7696,31930,20205,31465,
净利润(万元),20858,16446,6668,36957,32575,24687,9746,39651,29712,17752,5639,23876,16172,12156,4983,18532,14785,10157,4255,21890,18414,12737,6655,26872,16899,28925,
净利润(扣除非经常性损益后)(万元),18126,13803,5267,31963,28657,21755,8675,35043,26687,16772,5309,20739,14314,10548,4427,17395,14493,10157,4262,21724,18261,12607,6581,26763,16778,28853,
经营活动产生的现金流量净额(万元),23507,12414,7023,30310,23675,13517,3552,21319,14988,10651,4614,24342,14570,9294,6325,21456,10855,6785,2394,25512,19027,10252,1459,23358,25563,10926,
现金及现金等价物净增加额(万元),-5361,-5347,13910,-3998,-3069,-8121,-1606,6043,-4860,-4756,-9189,-13862,-12203,-17069,-18163,2101,-18713,-7656,1253,10677,4273,-4378,-13068,13751,-8123,-6837,
总资产(万元),191600,189076,208384,197935,195081,191593,222714,212166,193014,168063,154340,165764,156624,153682,166122,158228,153517,149613,107541,101102,--,92899,--,95010,74784,74818,
流动资产(万元),139261,137544,101724,149756,147142,143310,176326,165382,146255,136274,122020,132951,126657,123359,135530,127136,122676,118234,76166,69648,--,61829,--,63689,44465,60524,
总负债(万元),14851,16771,17950,14286,15758,20204,20564,19725,20437,16590,14928,11882,10539,11706,13473,10499,9796,10185,10920,8717,--,10156,--,10542,8740,7455,
流动负债(万元),14651,16564,17748,14100,15552,19997,20326,19471,20039,16250,14524,11422,10261,11440,13213,10280,9620,9944,10733,8530,--,10006,--,10401,8612,7353,
股东权益不含少数股东权益(万元),175084,170673,188660,181883,177594,169692,200322,190625,170744,149683,137637,152137,144331,140244,150914,145989,141994,137687,94899,90646,--,81040,--,82654,64243,65940,
净资产收益率加权(%),11.79,9.09,3.6,20.24,17.44,12.63,4.99,24.94,19.37,12.03,3.8,16.19,11.07,8.15,3.36,14.75,12.31,9.19,4.59,26.44,22.38,15.57,7.67,37.61,29.6,44.22,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
