报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.31,0.18,0.06,0.43,0.35,0.23,0.07,0.58,0.37,0.24,0.1,0.65,0.43,0.26,0.07,0.41,0.39,0.31,0.24,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,3.14,3.23,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.02,0.55,--,--,-0.07,0.56,0.44,0.69,0.29,
主营业务收入(万元),151494,97606,43691,189405,140413,89322,37767,162839,120696,79334,37640,147455,106140,67800,29735,117306,112219,93335,89945,
主营业务利润(万元),57126,36564,16286,65681,48818,31101,12890,61632,45679,30186,13709,57391,40768,26782,11279,42791,38183,32107,29078,
营业利润(万元),14329,8110,2741,19161,14695,9103,2642,18694,13078,8262,2405,18566,11991,7525,2063,10313,10889,8182,7257,
投资收益(万元),536,442,375,1606,1387,1333,1251,548,298,7,--,-68,-29,-29,--,-58,--,--,--,
营业外收支净额(万元),6,3,7,10,4,4,4,287,577,372,469,71,-227,-447,64,1070,384,664,649,
利润总额(万元),14335,8114,2749,19171,14699,9106,2646,18981,13655,8634,2874,18636,11765,7079,2127,11383,11274,8846,7906,
净利润(万元),12853,7549,2348,16686,12753,7883,2264,16599,11793,7598,2348,15681,10253,6167,1788,9803,9291,7393,5810,
净利润(扣除非经常性损益后)(万元),11723,6723,1810,13732,10761,6396,1047,15483,11302,7279,2213,15640,10465,6550,1742,9257,9262,7167,5516,
经营活动产生的现金流量净额(万元),13811,4960,-860,11382,4624,-5324,-6121,14671,6517,4621,-465,13164,8079,3692,-1691,13542,10667,16506,7023,
现金及现金等价物净增加额(万元),20321,14952,14315,-5344,-420,4906,10916,34400,56487,80020,926,2239,1767,-1200,1385,-1004,942,6194,146,
总资产(万元),258596,258022,250002,246482,237027,230012,227576,216898,207779,209405,125301,121486,--,--,--,105692,88069,74172,66493,
流动资产(万元),162972,163805,158174,173705,165831,159777,159325,175176,167417,169147,85899,81790,--,--,--,66992,64005,59096,51812,
总负债(万元),61883,67195,63253,61704,55998,54473,56539,47889,43399,49041,49968,43979,--,--,--,41935,33117,26453,25314,
流动负债(万元),51659,56953,53155,51598,46149,44611,55550,47888,42759,48396,49319,43327,--,--,--,41319,32357,26285,25314,
股东权益不含少数股东权益(万元),196613,190741,186659,184672,180936,175384,170862,168967,164338,160327,75300,77478,--,--,--,63735,54934,47285,40907,
净资产收益率加权(%),6.74,4.01,1.26,9.45,7.29,4.56,1.33,12.93,10.24,8.3,3.04,22.46,15.28,9.5,2.8,16.52,18.16,16.67,16.37,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
