报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.25,0.15,0.08,0.28,0.24,0.16,0.09,0.41,0.3,0.2,0.13,0.51,0.41,0.28,0.14,0.5,0.49,0.56,0.54,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.14,--,--,2.58,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,0.29,--,1.02,0.37,0.65,0.56,
主营业务收入(万元),58092,37231,20094,76256,55832,36735,18978,72013,52739,33100,17727,67062,48936,32689,16702,68002,62224,61289,56072,
主营业务利润(万元),16889,10557,5521,18658,14353,9845,5262,20553,15472,10170,5813,21476,16724,11666,6140,20757,19013,19452,16942,
营业利润(万元),7804,4669,2709,9119,7528,5092,2944,12451,9108,5919,3511,12169,9947,6810,3261,11854,11356,13365,12685,
投资收益(万元),481,167,170,1915,1350,925,--,521,212,67,40,310,228,124,31,111,33,--,--,
营业外收支净额(万元),-18,6,5,52,171,92,69,97,103,74,44,61,13,18,36,237,528,189,151,
利润总额(万元),7786,4676,2714,9171,7700,5185,3013,12548,9211,5993,3555,12230,9960,6828,3296,12091,11884,13554,12835,
净利润(万元),5936,3545,2019,6838,5759,3877,2224,9362,6886,4477,2624,9144,7456,5116,2538,9014,8844,10106,9614,
净利润(扣除非经常性损益后)(万元),5665,3298,1849,6434,5440,3688,2172,8840,6650,4371,2561,8866,7355,--,2488,8743,--,--,9502,
经营活动产生的现金流量净额(万元),7663,2515,2788,9778,8876,5012,2435,7750,7335,1941,647,14612,9184,5285,388,18358,6603,11617,10015,
现金及现金等价物净增加额(万元),-20264,-26087,2101,-19867,-58353,-57059,-14171,50232,36219,29476,42003,7909,-1878,-33,-7690,7843,-2445,3944,76,
总资产(万元),147881,145828,146249,146352,141944,141502,143564,142973,139123,135270,139189,92315,--,87226,--,82819,75012,67135,53059,
流动资产(万元),89772,90010,92942,94650,95608,96956,102201,103186,99314,95266,98724,50841,--,39882,--,38434,35553,32872,25838,
总负债(万元),11611,12209,9554,11676,8346,9787,7502,9135,7761,6317,7289,8732,--,7671,--,8380,9587,10554,6584,
流动负债(万元),10948,11640,8996,11152,7889,9377,7126,8785,7359,5984,7021,8521,--,7555,--,8348,9586,10554,6584,
股东权益不含少数股东权益(万元),136269,133619,136696,134676,133597,131715,136062,133838,131361,128952,131900,83583,--,79555,--,74439,65425,56581,46475,
净资产收益率加权(%),4.4,2.63,1.49,5.13,4.32,2.9,1.65,7.58,5.74,3.9,3.09,11.57,9.54,6.64,3.35,12.89,14.5,19.61,24.16,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
