报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,
基本每股收益(元),1.17,0.86,0.4,1.38,1.21,0.73,0.43,0.84,0.65,0.47,0.43,0.33,0.42,0.58,2.45,2.41,0.72,0.64,
每股净资产(元),--,--,--,--,3.85,--,3.07,3.31,--,2.93,2.92,2.83,4.02,3.97,3.9,3.86,2.03,2.06,
每股经营活动产生的现金流量净额(元),--,--,--,--,1.03,--,0.43,1.06,0.11,--,1.11,--,0.4,--,--,-0.27,1.11,0.79,
主营业务收入(万元),82576,54208,26861,96695,70735,52505,26268,80833,57265,41645,59936,31439,53698,31226,53858,30583,53298,55811,
主营业务利润(万元),27425,19101,9110,30184,24015,17877,8850,23269,16278,11578,15027,9264,14531,9196,14407,8753,13730,14170,
营业利润(万元),16429,12168,5801,15299,13416,10489,4682,9060,6811,5145,3814,3574,4331,4173,3817,3457,4651,4677,
投资收益(万元),868,616,288,-483,-273,-3,-23,57,57,57,121,121,91,91,52,58,347,102,
营业外收支净额(万元),85,94,-2,-14,-121,89,0,224,236,-34,571,-2,127,-27,13658,13589,337,170,
利润总额(万元),16514,12262,5799,15285,13295,10578,4682,9283,7047,5111,4385,3572,4458,4146,17475,17046,4989,4846,
净利润(万元),14010,10371,4758,12810,10915,8744,3846,7602,5892,4216,3887,2965,3759,3456,14712,14432,4303,3841,
净利润(扣除非经常性损益后)(万元),12832,9481,4215,12969,11168,8783,3697,7483,5451,4040,3454,2818,3532,3356,3046,2922,3536,3414,
经营活动产生的现金流量净额(万元),17418,11561,4953,16545,9273,9772,3860,9528,951,-792,9976,4334,2379,2179,7068,-1602,6640,4726,
现金及现金等价物净增加额(万元),-25475,-25859,-21500,29439,103,409,4750,500,-1464,-308,-86,-1921,-6805,-4736,8580,-481,1544,-1468,
总资产(万元),125897,112906,116036,111297,67334,--,70384,57904,--,54490,47734,44330,46940,48778,51125,47540,37180,36729,
流动资产(万元),76288,64898,69924,72533,36115,--,42670,31418,--,29368,22237,19286,22938,27066,30131,30512,20869,21308,
总负债(万元),35276,26118,30583,36468,32662,--,42781,28117,--,28089,21498,18898,22791,24932,27735,24396,25002,24333,
流动负债(万元),33361,24194,29540,35418,31603,--,41683,27010,--,26943,20372,17632,21513,24277,27070,23949,24669,24052,
股东权益不含少数股东权益(万元),90622,86788,85453,74828,34672,--,27603,29787,--,26401,26236,25432,24149,23846,23390,23143,12178,12374,
净资产收益率加权(%),16.94,12.39,5.74,36.75,34.22,25.83,12.13,27.47,21.52,15.24,15.52,11.48,16.33,14.63,87.01,81.72,38.59,31.58,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
