报告日期,2005-03-31,2004-12-31,2003-12-31,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-0.37,-0.34,-0.21,-0.16,-0.12,-0.1,0.17,0.21,0.28,0.3,0.84,1.12,1.65,1.79,1.79,1.71,1.58,1.51,2.65,2.48,3.82,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,0,0,-0.03,0,-0.01,--,0.02,0.05,-0.17,-0.1,-0.1,-0.11,0.18,0.03,--,--,--,--,--,--,--,
主营业务收入(万元),0,0,--,0,0,46,534,359,239,783,2551,5733,3092,7901,5189,13811,5374,14809,5892,5820,6173,5774,2884,2636,
主营业务利润(万元),0,0,--,0,0,-86,83,43,-4,225,1317,2171,955,4837,2783,9835,3885,7711,2532,734,3557,1837,223,348,
营业利润(万元),-717,-2979,-2811,-1364,-629,-9169,-3015,-2311,--,-9424,-3117,-8416,-3758,30,190,7285,1910,7732,0,744,0,2707,1252,337,
投资收益(万元),-124,-502,-498,-250,-124,-7683,-356,-254,--,-567,-51,-735,-101,4202,2207,-25,-5,676,467,5389,3582,1080,995,0,
营业外收支净额(万元),--,--,110,-234,0,-761,-1,-1,-1,-15433,-4823,-9195,0,-29,0,--,0,0,310,0,645,0,0,0,
利润总额(万元),-841,-3482,-3200,-1848,-753,-17613,-3372,-2567,-753,-25424,-7991,-18328,-3850,4504,2766,8564,1914,8648,3308,6126,7782,3677,2161,256,
净利润(万元),-841,-3482,-3200,-1848,-753,-17583,-3351,-2543,-737,-25386,-6356,-16938,-3919,3501,2155,5961,1177,5800,2317,5432,6287,2918,1830,188,
净利润(扣除非经常性损益后)(万元),--,-3432,-2811,-1589,0,-16746,-3300,-2515,--,-9904,-1533,-16722,0,-973,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-9,3,-1,-1,-0,-723,0,-283,--,681,1423,-4970,-3005,-2920,-3234,5090,758,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),--,3,-1,-1,0,-29,0,-292,--,-1303,-367,-5506,-5570,-2639,1459,899,-396,--,--,--,--,--,--,--,
总资产(万元),32684,33031,34582,35328,35719,36033,59731,58092,58454,58876,74334,80375,87783,95921,86311,77707,68396,69245,64868,48750,42849,28795,23493,18736,
流动资产(万元),--,527,680,731,0,0,--,--,15781,0,0,0,0,0,45719,37695,32800,38578,45150,30250,29430,15372,11662,9331,
总负债(万元),--,42852,40548,39942,--,38800,54528,51706,--,49923,50048,47993,39820,44007,34246,27697,22453,25457,24297,11060,18672,11141,8851,6032,
流动负债(万元),--,42852,40548,39942,0,0,--,--,50101,0,0,0,0,0,31713,25197,21536,24342,23489,10154,16717,9190,6603,3779,
股东权益不含少数股东权益(万元),-10663,-9821,-5966,-4614,-3519,-2766,4872,6110,8047,8653,24202,32296,47782,51702,51650,49495,45751,43575,40349,37674,24159,17636,14622,12704,
净资产收益率加权(%),--,0,--,0,0,0,0,0,--,-120.15,-21.92,-40.27,0,0,--,12.81,--,--,--,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
