报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
基本每股收益(元),2.41,1.42,0.58,2.6,2.04,1.1,1.17,1.77,--,
每股净资产(元),9.99,--,8.14,8.17,--,6.67,5.55,2.71,2.8,
每股经营活动产生的现金流量净额(元),--,--,0.15,3.61,--,-0.05,1.47,1.52,2.02,
主营业务收入(万元),194486,114138,51411,239109,191865,118511,138848,126539,69632,
主营业务利润(万元),74250,43876,20606,82899,65315,36987,49440,48155,26060,
营业利润(万元),34039,19216,7889,35745,28031,15285,15001,16458,8132,
投资收益(万元),18,-173,-69,-201,149,90,63,142,26,
营业外收支净额(万元),-53,-39,-18,-107,-107,-23,-125,-21,-116,
利润总额(万元),33985,19177,7871,35638,27924,15262,14876,16438,8016,
净利润(万元),27168,16026,6535,29269,22946,12384,11251,11584,5635,
净利润(扣除非经常性损益后)(万元),27709,16043,6049,29201,22546,12315,10657,17392,5151,
经营活动产生的现金流量净额(万元),13646,2635,1675,40732,14028,-533,16622,14622,10144,
现金及现金等价物净增加额(万元),3889,-13248,-18745,30005,12618,6971,6648,-2371,1686,
总资产(万元),192409,168896,149458,155623,--,149151,110367,80159,64387,
流动资产(万元),127577,105015,89825,97669,--,98458,72956,47662,39186,
总负债(万元),79534,67547,57652,63547,--,73964,47775,54065,50371,
流动负债(万元),57840,51134,41333,47155,--,67145,41557,46050,41385,
股东权益不含少数股东权益(万元),112616,101063,91497,91747,--,74849,62294,25901,12812,
净资产收益率加权(%),41.81,16.06,6.88,38.01,31.04,18.06,35.52,66.07,57.48,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
