报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2012-09-30,
基本每股收益(元),1.34,0.82,0.57,2.23,1.62,0.99,0.51,1.97,1.39,0.83,0.42,1.86,1.46,0.86,0.45,1.79,1.36,0.84,0.38,1.35,1,0.9,0.71,
每股净资产(元),10.18,9.66,13.27,12.98,12.22,11.87,11.32,10.75,10.25,9.69,9.57,9.2,8.93,--,--,7.76,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),2.29,4.09,0.49,-16.52,-16.75,-10.55,-9.91,9.02,2.35,7.15,3.46,29.78,19.15,--,--,21.05,14.93,--,--,7.58,1.9,4.12,--,
主营业务收入(万元),1082009,676414,353194,1264528,912453,604164,323227,1247702,897595,568122,289318,1015945,706365,437059,219214,770519,560526,362218,169834,574299,382179,346892,250712,
主营业务利润(万元),479402,281712,147540,553110,411716,247537,133941,512469,370515,219620,111267,419746,310429,176771,90670,389250,299328,182850,80814,297175,221989,202084,165010,
营业利润(万元),479402,281712,147540,553110,411716,247537,133941,512469,370515,219620,111267,419746,310429,176771,90670,389250,299328,182850,80814,297175,221989,202084,165010,
投资收益(万元),122090,77777,43924,24012,16308,8112,3592,10943,2333,-372,2927,33049,33869,15496,10370,17831,12045,9781,6217,7810,-14444,524,65990,
营业外收支净额(万元),572,340,103,1430,520,600,1,200,-740,-620,533,5492,185,82,223,3243,-33,-1,-334,2504,1242,412,-337,
利润总额(万元),479974,282052,147643,554539,412236,248137,133942,512669,369775,218999,111800,425238,310613,176853,90893,392493,299296,182849,80481,299679,223231,202496,164673,
净利润(万元),430642,265293,130363,513728,373357,227843,115986,453068,318720,190207,96693,365432,269809,154312,80877,322181,245100,150787,67478,243574,180379,162518,127960,
净利润(扣除非经常性损益后)(万元),429072,264457,130121,508899,372831,227364,115986,446239,316325,190290,96297,362726,269716,154268,80723,320769,245219,150849,67734,242247,179668,--,--,
经营活动产生的现金流量净额(万元),736466,1316644,112623,-3797548,-3849021,-2425785,-2278360,2074147,541160,1643366,795582,6846113,3551220,3382479,1138374,3785346,2685630,2233220,812580,1364183,341137,741374,419459,
现金及现金等价物净增加额(万元),809893,1249522,751591,-804376,13448,-584861,-1000657,501390,706680,2064342,-7378,631670,-136098,1008714,-230751,-288437,-506310,-398399,-353835,242773,-675878,367061,-192151,
总资产(万元),55271835,54830658,52666242,50332632,49196011,47736642,46032840,46410636,43293214,41419137,39240065,37225319,32731974,28492689,24835757,23819655,--,18587458,--,15609953,12254912,10571938,10015181,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
总负债(万元),51374802,51118090,49020643,46748305,46289207,44912115,43336622,43847635,40848365,39105834,36953487,35025349,30594814,26938767,23341024,22406267,--,17373466,--,14538832,11459108,9898572,9376646,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股东权益不含少数股东权益(万元),3773901,3606579,3549508,3482952,2808532,2728953,2602973,2471239,2355147,2226510,2199703,2113723,2053270,1535988,1476426,1395406,--,1197990,--,1054950,791183,669234,634235,
净资产收益率加权(%),13.81,8.66,4.37,18.88,14.12,8.76,4.57,19.76,14.24,8.69,4.48,21.67,17.24,10.53,5.63,26.37,20.84,--,--,26.44,24.91,27.26,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
