报告日期,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),1.1,0.73,0.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),6.44,6.08,5.94,5.19,4.98,4.57,4.54,3.94,3.19,2.74,2.44,1.76,1.7,2.41,1.89,1.57,1.37,1.07,0.82,0.73,0.73,0.72,0.63,0.71,1.43,1.78,2.3,2.33,2.66,2.56,2.03,1.96,1.86,2.03,1.9,1.83,1.19,1.09,
每股经营活动产生的现金流量净额(元),-1.15,-1.47,-0.56,-5.35,0,--,0,-0.74,0,0,0,7.31,0,0,0,10.13,0,0,0,1.03,0,0.03,--,0.54,0.06,0.2,-0.05,0.06,--,0.38,-0.1,--,--,--,--,--,--,--,
主营业务收入(万元),811603,530586,251056,1115421,836757,549769,280790,802543,549167,352786,167208,444399,309547,179828,79350,204611,133271,82302,37424,110439,72937,45920,7764,48954,15156,35876,21445,78599,43021,93077,51281,104234,41864,86258,38107,84010,60427,60051,
主营业务利润(万元),102142,69001,32331,145183,95117,63232,33666,144340,105157,69228,28831,76110,57031,27405,10308,41063,28049,17603,7373,17653,11710,8268,1698,404,-572,-105,4691,14612,9521,17171,9111,6187,3129,6221,2406,5514,6472,4798,
营业利润(万元),53189,35485,19728,76461,57589,38378,26646,93890,71042,50721,24083,48782,40901,19991,6749,16835,13473,7095,1714,1636,-244,-2,-1782,-21223,-6377,-12146,-346,476,2176,1052,2254,6404,0,6444,2515,5531,6755,5355,
投资收益(万元),1069,732,603,-14772,184,3,-1,773,531,545,226,-169,-261,-403,-3,347,-48,5,42,28,-37,-58,0,-83,-11,-532,-300,396,737,-421,55,181,89,150,22,222,340,142,
营业外收支净额(万元),--,--,58,-1010,0,--,0,1426,0,0,0,-125,0,0,0,-236,0,-77,-48,180,397,-14,0,3283,0,319,0,-63,0,0,0,0,-140,0,--,--,--,--,
利润总额(万元),53185,35478,19786,60783,56808,37340,26663,96101,73293,51374,24386,42140,40677,19582,6743,16967,13363,7043,1709,1844,116,-74,-1768,-18022,-6392,-11726,-727,809,2878,646,2174,6344,3239,6352,272,7182,6541,5344,
净利润(万元),44228,29487,16594,45241,46395,30482,22115,80842,59550,42039,20454,34948,34894,17715,6688,16765,13314,7039,1712,1714,88,-95,-1769,-18060,-6381,-11810,-768,679,2193,181,1475,4310,2176,4288,1522,6147,5560,4543,
净利润(扣除非经常性损益后)(万元),0,29478,--,60858,0,31377,0,79229,0,41730,0,34894,0,17720,0,15992,0,7158,0,1511,-88,-80,--,-21342,-6370,-12739,-768,679,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-46214,-59056,-22488,-214848,-179312,-99325,-47290,-29730,-56510,-24353,-15737,293612,192438,152566,99776,213965,112925,38072,12766,21772,0,601,--,11397,1226,4179,-1058,1188,--,8127,-2170,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-13140,-41146,-23943,-222682,-200210,-115608,-51466,-51716,-74586,-40211,-18201,241300,154386,116850,72709,172246,82844,18808,4586,24557,0,2139,--,9210,2024,2333,-2913,3394,--,-6471,-6515,--,--,--,--,--,--,--,
总资产(万元),1061514,948106,918389,905603,986630,1031463,1111647,1112167,1196901,1124930,1067439,915079,863091,758865,664348,502779,352750,249159,215409,182749,180703,160338,132952,130082,129953,125581,138445,141825,164903,179137,179624,174626,167727,149242,126795,105336,93852,87699,
流动资产(万元),952188,856852,830453,831349,910630,958609,1038288,1041243,1137746,1067856,1016066,866355,818836,716985,627541,465531,318729,215019,181510,--,--,--,98518,0,0,82222,0,94728,116088,128725,133728,128698,121683,106433,96260,75766,75079,70481,
总负债(万元),796427,698132,673728,691529,783710,845762,926846,951772,1067396,1013866,968307,842852,794666,707647,624147,469510,323773,226450,198079,166368,164370,144181,118920,114280,99172,87388,89263,91893,108091,124522,136799,133277,128512,112203,86606,66669,68772,64587,
流动负债(万元),770467,672716,651695,677204,758328,819857,900035,928925,1053925,1001647,956276,824169,782756,695737,618395,463759,317346,221199,193750,--,--,--,112730,0,0,62022,0,62882,90466,115039,128335,115485,108736,94621,77493,56818,60494,58956,
股东权益不含少数股东权益(万元),258617,243875,238247,208224,199851,183336,182323,158213,127890,110094,97809,70672,68163,50983,40002,33125,28842,22567,17232,15520,15450,15267,13327,15096,30106,37553,48555,49323,56198,54004,42824,41350,39215,37039,40189,38667,25080,23111,
净资产收益率加权(%),0,12.43,--,25.63,0,17.78,0,68.73,0,42.8,0,76.35,0,42.08,0,70.13,0,0,0,11.79,0,0,--,-75.36,-19.16,-27.2,0,0,0,0.34,0,0,0,0,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
