报告日期,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,
基本每股收益(元),-0.17,-0.11,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-3.43,-3.46,-3.36,-3.25,-0.98,-0.86,-0.74,-0.6,0.22,0.33,0.46,0.57,2.65,2.69,2.65,1.24,2.54,2.54,2.42,1.76,2.38,2.34,2.26,2.17,2.03,2.01,1.89,-0.43,-0.5,1.09,1.22,2.55,2.62,2.98,2.95,2.82,2.73,
每股经营活动产生的现金流量净额(元),0,0,0,0.01,0,0,0,-0.03,0,0,0,0.07,0,--,0,-0.41,0,0,0,-0.54,0,0.02,--,0.09,--,-0.24,0.98,1.61,0.13,--,-0.38,--,--,--,--,--,--,
主营业务收入(万元),182,121,61,417,122,0,0,328,313,295,11,7,9757,7296,5206,5,9703,7277,3654,1279,9684,7023,3641,11506,8408,6656,19437,12043,4951,3194,8461,5514,19902,7822,14594,7584,18902,
主营业务利润(万元),88,53,44,175,42,0,0,59,63,58,5,-10,4338,3213,1669,-177,3623,2915,1379,432,4019,2939,1310,4577,3611,3082,4825,2437,-626,337,-1291,690,-168,31,274,12,326,
营业利润(万元),-1890,-1139,10,639,-4134,-2803,-1468,-9226,-3674,-2488,-1199,-6600,2136,1764,910,-5811,1631,1566,754,-4467,2016,1643,738,2000,1752,1483,2018,422,-5514,-930,-6760,-576,1034,0,314,112,335,
投资收益(万元),0,0,0,0,0,0,0,0,0,0,0,0,-382,-382,-2,0,0,0,0,0,0,0,0,0,0,0,-1077,0,0,0,26,28,23,18,889,176,323,
营业外收支净额(万元),--,-1,0,6747,0,0,0,-6225,0,0,0,-853,0,-3,0,-7,0,-0,0,0,-0,-0,0,1271,0,0,-8,0,7,0,--,0,0,46,0,--,--,
利润总额(万元),-1890,-1139,10,639,-4135,-2803,-1468,-15452,-3674,-2489,-1199,-7454,1751,1379,891,-5819,1628,1565,752,-4470,2016,1643,738,3271,1747,1478,944,435,-5459,-866,-6638,-430,2697,180,1811,499,1038,
净利润(万元),-1890,-1139,10,638,-4135,-2803,-1468,-11093,-3674,-2489,-1199,-7133,1176,928,522,-5523,1149,1059,765,-4495,2016,1643,738,3271,1747,1478,944,435,-5459,-866,-6638,-430,2292,153,1538,424,902,
净利润(扣除非经常性损益后)(万元),0,-0,--,-4900,0,-2803,0,-4868,0,-2488,0,-7987,0,1274,0,0,0,1028,0,0,2016,1643,--,2000,--,1478,875,435,0,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-21,26,31,143,148,148,146,-299,32,42,-25,761,6939,5435,3780,-4283,1023,1868,2902,-5721,0,-5298,--,921,--,-2516,6483,10617,867,--,-2540,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-21,26,31,4,-10,9,7,-1001,32,42,-25,1053,7508,5076,3358,-2489,6160,3234,2878,-1222,0,-1545,--,-4411,--,-3380,2798,2456,4667,--,-1379,--,--,--,--,--,--,
总资产(万元),47673,48092,47731,47671,53491,54158,54679,55241,59947,60526,61032,61633,89786,85804,90888,64776,68620,68620,69914,63407,60709,56837,54479,56458,57964,62168,59221,39961,36890,31061,33667,39391,39181,36382,32456,27891,22919,
流动资产(万元),979,1398,1037,977,14218,14325,14287,14290,12754,12758,12690,12715,34352,29839,34482,13458,12012,12012,--,7113,0,--,4994,0,9666,0,0,0,0,11806,14275,20997,21301,19558,16115,12496,8883,
总负债(万元),83886,83555,83244,81994,63436,62770,61957,61052,53980,53373,52595,51991,57877,53437,57792,47676,37505,37505,39275,40495,35595,32097,30646,33433,--,40948,46738,42806,40170,23889,25630,22533,21893,21233,17460,13583,9036,
流动负债(万元),83886,83555,83244,81994,63436,62770,61957,61052,53980,53373,52595,51991,57877,53437,57792,47676,37505,37505,--,40495,0,--,17370,0,19037,0,0,0,0,23810,25552,17494,17392,18400,14627,10513,6311,
股东权益不含少数股东权益(万元),-36214,-35463,-35513,-34323,-10451,-9119,-7785,-6316,2323,3509,4794,5998,27992,28436,28030,13131,26882,26882,26416,18647,25114,24741,23833,23025,21489,21220,12483,-2845,-3280,7171,8037,16859,17289,15149,14997,14308,13883,
净资产收益率加权(%),0,0,--,0,0,0,0,0,0,-52.35,0,-74.58,0,3.31,0,-34.77,0,0,0,-21.56,0,0,--,17.31,--,11.18,10.67,0,0,--,-58.43,--,--,--,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
