报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
基本每股收益(元),0.1,0.08,0.04,0.21,0.17,0.1,0.05,0.21,0.17,0.11,0.11,
每股净资产(元),--,1.44,--,1.36,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,0.11,--,0.21,--,0.05,--,0.15,0.24,0.11,0.27,
主营业务收入(万元),49804,32593,16482,82719,64536,41875,21722,77927,67713,61858,63213,
主营业务利润(万元),17746,11881,5812,30997,23841,15428,7729,30813,22144,15414,16717,
营业利润(万元),9318,6852,3332,19625,15655,9456,4502,19109,14080,8398,8233,
投资收益(万元),85,--,--,--,--,--,--,64,431,102,--,
营业外收支净额(万元),333,317,268,55,22,-6,20,90,132,175,92,
利润总额(万元),9651,7169,3599,19679,15677,9450,4522,19199,14212,8574,8325,
净利润(万元),8104,6067,3062,16978,13321,8022,3847,16464,12229,7435,7226,
净利润(扣除非经常性损益后)(万元),7748,5797,2834,16936,13306,8027,3830,16335,11752,7201,7147,
经营活动产生的现金流量净额(万元),12655,8997,7161,16592,9771,4170,1478,11588,18993,5917,14358,
现金及现金等价物净增加额(万元),27982,21254,14471,-998,-8592,-15888,7619,-10564,36430,-7176,5380,
总资产(万元),188370,150879,139679,128388,--,117454,--,120449,105313,80986,84450,
流动资产(万元),128715,100673,97732,87425,--,79169,--,86488,76971,52794,54010,
总负债(万元),48151,37464,29269,21040,--,19062,--,21192,17949,11357,15800,
流动负债(万元),47772,37074,28867,20627,--,18905,--,21026,17949,11357,15800,
股东权益不含少数股东权益(万元),140219,113415,110411,107348,--,98392,--,99257,87364,69628,68649,
净资产收益率加权(%),6.82,5.5,2.81,16.8,13.32,8.12,3.8,17.87,15.49,10.59,10.36,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
