报告日期,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.93,2.07,0.82,1.1,0.32,0.74,0.55,0.61,--,--,--,
每股净资产(元),8.91,7.98,6.73,6.05,5.28,4.96,4.21,3.73,22.67,17.33,13.82,
每股经营活动产生的现金流量净额(元),0.54,2.44,1,2.08,0.71,0.45,1.58,0.85,6.75,2.06,3.59,
主营业务收入(万元),54378,124471,54279,111753,50235,89685,90142,44955,90941,62486,55374,
主营业务利润(万元),17106,39826,17027,28745,11152,20927,23039,11273,20665,13696,12733,
营业利润(万元),9765,22231,8692,11816,3264,7900,5936,5337,7921,4443,5050,
投资收益(万元),162,246,74,5,5,35,25,9,61,84,8,
营业外收支净额(万元),-25,-31,-26,-72,163,146,342,142,66,129,-29,
利润总额(万元),9740,22200,8666,11744,3427,8045,6278,5479,7986,4571,5021,
净利润(万元),8346,18612,7357,9866,2912,6687,4571,4609,6725,3757,4185,
净利润(扣除非经常性损益后)(万元),7803,18250,7223,9619,2772,6541,8745,4499,6675,3652,4211,
经营活动产生的现金流量净额(万元),4863,21967,8984,18702,6433,4036,14217,7647,8442,2580,4130,
现金及现金等价物净增加额(万元),-1048,10134,2321,8222,4591,-3804,2892,3434,-1812,-2171,4907,
总资产(万元),91295,96197,84735,76226,71401,64753,59873,56094,48070,30203,25391,
流动资产(万元),38943,49312,40549,34931,32701,28335,27420,26984,26050,20941,20472,
总负债(万元),11116,24366,24168,21764,23882,20132,21957,22546,19732,8546,9512,
流动负债(万元),10664,23875,23639,21197,23298,19510,21259,21871,19041,8486,9452,
股东权益不含少数股东权益(万元),80179,71832,60567,54462,47520,44621,37916,33548,28338,21656,15879,
净资产收益率加权(%),10.98,29.62,12.84,19.91,6.32,16.21,13.91,15.04,26.88,19.21,49.93,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
