报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
基本每股收益(元),3.89,3.78,3.69,1.17,0.84,0.62,0.36,0.82,0.63,0.47,0.26,1.17,0.67,0.45,0.3,2.25,1.37,0.98,0.35,1.99,1.27,1.1,0.93,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.18,--,6.41,4.42,3.15,2.05,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.09,--,1.47,0.41,0.84,0.49,--,
主营业务收入(万元),73173,56472,39851,54142,39629,28429,15874,46009,31780,22769,11047,61027,42860,28906,16613,73538,45838,31542,14366,64166,43609,37335,30076,19094,
主营业务利润(万元),43498,34186,24994,32067,22573,15926,8771,26285,17952,12808,6280,37982,25512,17840,9899,45373,28774,19810,8964,39988,25208,21362,15797,11943,
营业利润(万元),82068,78949,75492,20967,16439,12426,7314,14018,11610,8687,3355,18199,8712,6793,5457,27108,15768,11155,4845,24607,14947,13912,10821,8322,
投资收益(万元),56925,56565,56237,7332,4051,2934,1425,3595,2623,1930,1047,1475,895,568,64,673,556,338,60,331,107,7,463,-176,
营业外收支净额(万元),-21,-21,-16,36,-1,-1,-1,316,-5,-1,1320,3328,3215,1427,86,3706,2715,2030,143,2639,2416,1417,2494,-25,
利润总额(万元),82048,78928,75476,21003,16437,12425,7312,14335,11604,8686,4675,21527,11927,8220,5543,30815,18483,13186,4988,27246,17362,15330,13314,9155,
净利润(万元),74389,72335,69665,18783,13508,9976,5713,13110,10086,7594,4171,18692,10690,7256,4724,27037,16475,11812,4168,23846,15291,13196,11200,7979,
净利润(扣除非经常性损益后)(万元),17918,16788,13171,13297,9881,6740,3950,9407,7185,5463,2971,16751,9367,6534,4625,25989,15569,11336,4040,23353,14766,12960,8953,--,
经营活动产生的现金流量净额(万元),34725,17685,852,22782,11991,10466,5728,14655,14734,9067,8726,16010,7432,10314,7570,21327,11781,13056,125,17596,4889,10101,5910,7372,
现金及现金等价物净增加额(万元),-8196,-3270,-7154,13479,-4818,-1849,-5448,-728,2295,5449,1437,-130196,-105747,-85225,-21652,121856,922,3347,-17866,13555,224,802,-2825,6527,
总资产(万元),497464,498330,486757,286643,281868,278417,280445,276373,269047,265072,267057,266398,253235,252717,253489,254408,--,105254,--,94243,68476,46499,42234,66116,
流动资产(万元),209898,210355,198550,132590,129388,126615,228520,227725,221661,219367,223550,223671,216431,217472,224237,225990,--,82639,--,79676,55075,39161,35579,45359,
总负债(万元),61509,68318,54958,17059,15582,15804,17625,19837,15597,14168,15768,19389,16425,19341,19941,25583,--,19083,--,17303,15382,8696,17627,11196,
流动负债(万元),59951,66625,53042,16947,15407,15633,17249,19611,15405,13947,15504,19082,16090,18961,19544,25127,--,18582,--,16992,15182,8696,17627,11126,
股东权益不含少数股东权益(万元),431313,425562,427750,266774,263063,259603,260265,254477,251378,248810,249082,244810,236811,233376,233548,228824,--,86171,--,76940,53094,37803,24607,54919,
净资产收益率加权(%),18.57,18.2,17.64,7.2,5.23,3.87,2.22,5.26,4.07,3.06,1.69,7.9,4.59,3.13,2.04,30.54,19.74,14.48,5.27,36.68,33.65,42.29,28.48,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
