报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2012-06-30,
基本每股收益(元),1.15,0.75,0.46,1.56,1.31,0.86,0.56,1.96,1.49,1,0.65,2.61,2.02,--,0.67,2.47,--,2.46,2.21,1.77,0.91,
每股净资产(元),10.79,10.37,13.37,12.93,12.62,12.15,16.85,16.27,15.91,15.47,19.96,19.28,19.13,--,17.77,17.1,--,--,--,--,9.17,
每股经营活动产生的现金流量净额(元),--,3.59,--,-1.99,--,-7.3,--,-7.78,--,-9.21,--,28.45,--,--,--,--,--,--,--,--,3.45,
主营业务收入(万元),3788130,2515059,1301544,4388782,3162971,1974982,915551,3312500,2442660,1539367,818512,3440881,2641922,1796827,928838,3315913,2441943,2809756,2146749,1728997,843989,
主营业务利润(万元),1829686,1200476,561699,1908432,1524842,992988,461063,1598572,1193292,805111,412755,1621321,1240932,877799,437407,1591822,1218688,1406860,1155853,911598,459665,
营业利润(万元),1829686,1200476,561699,1908432,1524842,992988,461063,1598572,1193292,805111,412755,1621321,1240932,877799,437407,1591822,1218688,1406860,1155853,911598,459665,
投资收益(万元),857899,592700,273283,790613,668201,448572,227585,963652,706537,405017,189192,164850,134093,45140,-12511,143952,119620,5136,15745,11867,13352,
营业外收支净额(万元),13916,6380,2064,16755,13642,7744,3886,9674,11589,7594,2732,10617,12185,7423,4930,13331,7881,7571,2806,7663,2337,
利润总额(万元),1843602,1206856,563763,1925187,1538484,1000732,464949,1608246,1204881,812705,415487,1631937,1253118,885222,442337,1605153,1226569,1414431,1158660,919261,462002,
净利润(万元),1635916,1071357,501950,1803404,1427644,937175,439827,1532850,1165757,779586,387442,1430827,1091143,731518,363627,1300237,990945,1137646,934242,750890,384286,
净利润(扣除非经常性损益后)(万元),1622524,1064785,500178,1788721,1415039,931129,436747,1523551,1157392,774282,385407,1423521,1082666,--,360054,1291422,--,1132725,932983,--,382628,
经营活动产生的现金流量净额(万元),-1254733,5102851,322539,-2173299,-8180306,-7978007,-8259577,-6076729,-8661358,-7186855,-2351344,17084591,10491976,9429028,2662974,6014308,3020490,10604127,12953370,387917,1461980,
现金及现金等价物净增加额(万元),-3125143,-1311020,-702688,32884,-1784961,-304152,441349,111803,-1221621,9431,3100894,-1811708,-1514558,-307540,-5099606,-3958219,-7413338,5805302,879229,-1023246,2310653,
总资产(万元),218755938,216474427,206152244,202777240,195832827,191872504,183747429,180776694,175999893,171141574,178234734,175537110,165092414,161812893,152837757,144914049,140709967,118745220,97772241,81690395,71793998,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
总负债(万元),201375540,199698167,189490909,186600379,179991877,176554732,168553513,166032554,163538072,159017539,166205746,163915249,154710565,151840703,143188925,135630609,131769908,111309324,92140243,77463234,67909883,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股东权益不含少数股东权益(万元),17328427,16725177,16610632,16127655,15791867,15269274,15144843,14698514,12418519,12078213,11983755,11576922,10335274,9927282,9604698,9239050,8897629,7397034,5595483,4195398,3852731,
净资产收益率加权(%),11.06,7.31,3.5,12.67,10.73,7.11,3.4,12.63,9.68,6.51,3.29,14.35,11.15,--,3.86,15.67,--,18.44,20.51,19.53,10.41,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
