报告日期,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1992-06-30,
基本每股收益(元),1,0.65,0.29,0.85,0.9,0.68,0.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),5.4,5.05,4.73,4.45,4.47,4.19,4.15,3.7,3.51,3.45,3.21,2.9,2.7,2.5,2.28,2.14,2.09,2,1.94,1.9,1.89,1.85,1.76,1.72,1.68,1.67,1.63,1.64,1.66,1.73,1.69,1.55,1.61,1.59,1.73,1.71,1.74,1.73,1.55,1.54,1.53,1.59,1.6,1.79,1.64,1.46,0,
每股经营活动产生的现金流量净额(元),-0.15,-0.24,-0.17,0.13,-0.06,0.07,-0.03,0.12,0,0,0,0.11,0,0,0,0.25,0,0,0,0.1,0,0,0,1.14,0,0.16,--,0.43,0.15,0.2,-0.15,0.38,--,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),230016,154590,70928,291988,210704,141778,65771,229159,170654,123433,42481,181275,133496,85235,35882,129438,87290,52420,23789,81222,56526,36735,16639,252511,173988,120119,52985,259294,111011,236501,116108,166590,76349,150526,74491,157826,79611,172520,74613,146182,70991,143093,67186,138424,69013,--,44647,
主营业务利润(万元),33279,22283,11887,37751,29101,19953,10838,29855,21718,14481,6553,23886,19142,12137,5909,22638,18204,12125,6257,16401,13891,10088,4803,33033,25181,17437,9002,42726,20866,44165,21724,25064,12011,22170,12192,-4432,-613,-2132,-721,255,4164,8616,5982,13383,8556,--,-35532,
营业利润(万元),52050,33511,15360,45225,47574,36126,18038,-2381,-930,-1140,-224,-112,-445,-1064,-1381,-1007,-1486,-2002,-469,-1621,23,823,-401,-447,-2702,-2036,-1547,-2549,784,2313,-986,-3318,-1641,-6126,-273,-1087,0,-617,0,1671,0,0,6022,13596,8814,--,0,
投资收益(万元),48259,31331,12869,44206,43558,32620,15020,57652,46233,30081,16567,44044,33800,20007,8717,14547,12382,8297,2588,10606,8231,5308,1614,5497,4768,3322,822,6030,3665,4969,3353,4894,1846,1729,330,1118,232,1004,191,510,212,649,0,1387,451,--,0,
营业外收支净额(万元),--,--,--,--,--,--,0,68,0,0,0,40,0,0,0,842,0,0,0,-74,-6,-15,16,296,193,295,0,904,813,4313,0,1841,0,0,0,0,35,0,344,0,-2594,-4624,0,0,--,--,--,
利润总额(万元),51955,33475,15367,45317,47596,36135,18038,55342,45271,28921,16318,44009,33435,19038,7375,14382,11555,6954,2121,8910,8249,6115,1229,5418,2323,1623,-400,4742,5323,12180,7057,3606,457,1420,495,1109,456,1071,446,2939,2158,6560,4718,10288,7294,--,4583,
净利润(万元),51956,33628,15272,44066,46569,35348,17484,54993,44595,28637,16177,42932,33172,18905,7281,13537,11176,6690,2056,8357,7730,5651,1174,5199,2465,1901,-268,4037,5363,10618,6233,2970,485,1076,425,917,340,845,351,2387,1840,5374,4010,8843,6200,--,3071,
净利润(扣除非经常性损益后)(万元),0,33654,--,43256,0,35101,--,52761,0,27152,0,42861,0,19160,0,12494,0,6130,0,8047,0,5666,0,5352,2866,15648,--,2776,4489,5689,1888,474,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,
经营活动产生的现金流量净额(万元),-7831,-12324,-8679,6857,-3003,3650,-1243,6304,790,2094,2639,5856,1869,-2134,-6051,12841,4343,4731,-242,5187,1626,366,454,58963,0,29781,--,22238,7541,10547,-7879,19823,--,3258,--,--,--,--,--,--,--,--,--,--,--,--,--,
