报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,
基本每股收益(元),-0.03,-0.02,0,-0.02,-0.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,0.44,0.46,0.44,0.46,0.88,0.88,0.77,1.02,1.03,1.06,1.55,1.59,1.58,1.57,1.54,1.52,1.51,1.49,1.4,1.95,1.86,1.73,1.72,1.62,1.38,1.42,1.72,1.68,1.59,1.59,1.7,1.66,1.6,1.73,1.59,1.51,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0,-0.05,0,0,0,0.02,0,0,0,-0.34,0,-0.12,--,0.56,0.03,-0.88,-0.32,-0.9,--,-0.73,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),0,0,7420,0,4144,4445,13529,9284,6204,2693,13896,11319,7616,3267,25006,17389,13513,7904,39387,20998,34632,14356,21422,10161,10881,5039,16182,6274,15741,4519,33364,17732,66592,42892,47132,15226,--,
主营业务利润(万元),-38,-26,3846,-241,2210,242,1079,269,282,-79,227,1132,1350,433,2633,2148,1510,1146,4454,2719,3087,945,1191,461,370,159,-633,-30,550,-401,180,99,174,490,-238,273,--,
营业利润(万元),-2224,-2010,155,-1965,-2157,-235,-963,-1330,-539,-666,-4683,162,852,279,1754,1521,901,734,2562,831,4016,1305,-389,-195,-1756,-768,-169,0,854,0,277,0,0,562,367,304,--,
投资收益(万元),--,--,--,--,--,337,1435,-134,-158,30,-3344,-102,23,30,434,470,494,53,1506,1189,495,743,3144,1710,4863,317,441,227,285,394,862,350,626,296,745,302,--,
营业外收支净额(万元),-9,-11,-130,-125,-16053,0,572,0,515,0,-3,-107,0,0,69,-11,-4,0,210,0,185,0,10,0,0,0,0,-26,0,9,0,20,94,0,238,--,--,
利润总额(万元),-2233,-2021,25,-2090,-18211,102,1050,-951,-182,-626,-8028,-46,873,308,2262,1992,1394,788,4279,2243,4763,2054,2847,1538,3065,-464,313,368,1205,104,1137,516,1510,861,1350,602,--,
净利润(万元),-2341,-1980,29,-2118,-19313,27,475,-1333,-603,-574,-7721,-356,430,134,1393,899,720,351,2493,1216,2501,1496,2432,1285,2508,-490,166,356,1012,59,744,438,1334,794,1350,512,--,
净利润(扣除非经常性损益后)(万元),-3512,-2760,-924,-2578,94,0,-969,0,-874,0,-4388,0,374,0,678,508,328,--,2142,820,2484,1496,282,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
经营活动产生的现金流量净额(万元),6452,1484,3511,-748,-1181,29,-866,-233,-287,-265,330,1577,420,238,-5819,0,-2079,--,9710,449,-11022,-3971,-11195,--,-9017,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),1026,515,-1430,-1277,1932,-1,-338,-314,-353,-331,-148,89,19,-1,-5747,0,811,--,4765,4469,-96,-524,648,--,-808,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),61846,66421,69152,69127,73280,57522,57330,59331,61852,64869,64602,73592,73798,75364,82251,103601,104320,96957,94256,99021,128536,71342,63408,54554,43459,36994,35544,39041,33994,33768,35675,28646,33598,29456,33261,20070,20765,
流动资产(万元),27005,31211,33543,33652,37365,35867,34894,40057,41611,44045,43665,46151,45895,--,41456,--,--,49736,0,0,0,0,0,41774,31927,24604,23117,26664,21559,22144,23517,15381,21210,18597,22620,10709,11585,
总负债(万元),22740,26954,27706,29828,31862,35388,35181,39256,37281,40633,39740,38968,38371,40278,47361,65748,66520,59597,57406,62050,85675,41988,36748,28534,19592,18865,16926,20362,15563,16360,18325,11130,16492,12891,17019,9902,11109,
流动负债(万元),22065,26279,27031,29153,31187,35370,35163,39238,37262,40614,39722,38949,38353,--,47343,--,--,59561,0,0,0,0,0,28379,19467,18740,16796,20132,15322,16206,18171,11130,16492,12887,17012,9890,11092,
股东权益不含少数股东权益(万元),39105,39467,41447,39299,41418,15261,15240,13366,17753,17782,18356,26847,27633,27337,27203,26710,26531,26162,25811,24352,24205,23019,21464,21347,20063,17064,17555,17745,17389,16435,16377,17516,17106,16566,16242,10168,9656,
净资产收益率加权(%),-5.81,-4.89,0.07,-5.25,247.2,0,3.17,0,-3.34,0,-34.75,0,0,0,5.25,0,0,--,10.15,5.12,10.82,0,0,--,--,--,--,--,0,0,0,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
