报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.11,0.09,0.03,0.08,0.07,0.01,0,0.1,0.05,0.02,0,0.12,0.05,0.02,-0.01,0.1,2.61,0.03,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,0.59,--,--,0.37,-2.2,-2.54,--,--,0.1,0.12,0.13,0.87,0.87,0.88,0.9,1.03,1.04,1.03,1.03,1.55,1.51,1.7,2.15,2.25,2.45,2.68,2.27,3.2,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.05,--,--,--,--,0,0,-0.01,0,0,0,0.24,0,0.45,--,-0.33,0.07,-0.26,-0.38,0.91,--,-0.2,-0.09,--,--,--,--,--,
主营业务收入(万元),43103,26824,12081,49327,33592,19375,8879,35411,23069,13181,4847,38189,21187,12924,4322,29823,19587,12378,36,--,0,203,95,502,433,273,185,1818,2298,1917,1731,18416,10039,20105,38156,69061,76130,25540,7030,15636,7423,15853,11587,10420,
主营业务利润(万元),16259,10325,4979,20345,14151,7990,3706,13704,8654,5200,1959,13768,7667,4807,1510,11337,7541,4756,26,--,0,-27,-33,-1717,-132,-123,-99,-1585,591,550,722,8563,5184,6017,16182,33418,25053,13004,3032,5308,2416,7610,4196,3591,
营业利润(万元),4272,2987,1027,3980,2762,736,174,4266,2230,991,95,5074,1723,839,-323,3451,1771,870,23,--,0,-1392,-405,-43687,-2218,-1965,-1090,-15906,-2241,-1322,--,410,3177,88,14542,27827,23876,9505,1779,5308,0,5545,4510,3865,
投资收益(万元),1125,1304,136,1,--,--,--,32,--,--,--,--,--,--,--,215,215,215,--,--,--,0,0,-179,0,0,0,-30,2336,2336,0,-13,14,0,1,-1,0,-3,0,0,0,0,0,0,
营业外收支净额(万元),41,50,15,151,131,35,21,44,43,31,13,48,39,3,-10,69,57267,3,3,--,--,0,0,-3902,0,0,0,5476,3,1,1,-35,0,-10,0,-932,0,0,0,0,591,--,--,--,
利润总额(万元),4313,3037,1042,4130,2893,772,195,4310,2272,1022,108,5122,1761,842,-333,3520,59038,873,26,--,0,-1382,-415,-47739,-2243,-2002,-1127,-10443,104,1018,--,378,3196,4574,17882,33140,26915,20833,8471,6023,3007,5709,4840,4316,
净利润(万元),3864,2949,865,2752,2202,454,95,3412,1818,773,77,3646,1397,637,-276,2456,58426,499,26,--,0,-1305,-399,-45501,-2004,-1807,-1000,-9374,290,1022,58,-616,1987,4079,15342,27845,23326,17645,7785,4903,2500,4501,4264,3925,
净利润(扣除非经常性损益后)(万元),2544,1590,717,2578,2088,428,77,3369,1805,769,75,3619,1362,632,-270,2176,--,--,23,--,--,-1315,0,-13948,0,-1765,0,-14866,-2055,-1315,--,-581,1987,4088,0,27845,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-157,-1975,-311,2524,-37,-1727,-1925,6533,905,803,311,3195,-3594,-2267,-2935,185,-1024,-2348,79,0,0,14,-10,-500,-799,-762,0,13795,0,25452,--,-18587,3965,-14332,-21289,34215,--,-5096,-1733,--,--,--,--,--,
现金及现金等价物净增加额(万元),1755,490,-1550,-817,-766,-3609,-2431,2642,3602,2310,850,-6083,-8188,-4680,-4045,6918,-1909,-3097,79,0,0,12,-12,-2245,0,-2129,0,-104,0,27682,--,-12700,11975,-15647,-9466,21070,--,5724,-1676,--,--,--,--,--,
总资产(万元),54923,50723,42910,43998,45106,40294,41052,43761,35992,32938,30486,31368,30514,31179,31492,32636,24387,27286,937,270,270,91330,91614,91754,125956,128806,128941,130025,139269,136329,137513,138438,177626,166857,173563,136912,145552,100954,70564,61126,55568,29297,28196,25166,
流动资产(万元),44049,41443,33345,34268,35235,31051,31753,34411,32941,30184,29490,30328,29304,29974,30554,31715,23357,26223,937,270,270,70124,70125,70142,103085,105283,--,0,0,--,101253,--,0,0,0,0,99151,75661,45905,36454,42259,16875,16713,14240,
总负债(万元),16748,13537,10342,12155,14022,11572,12849,15526,9615,7487,5684,6557,8177,9617,17404,18206,11105,86226,72906,72043,72079,84070,83387,83112,73648,76091,--,75446,--,72777,--,75752,84690,76738,72409,51499,55750,34814,14504,12862,12630,9760,11514,14179,
流动负债(万元),16688,13472,10274,12082,13909,11546,12821,15496,9615,7487,5684,6557,8177,9617,17404,18206,11105,84412,71092,70229,70265,64342,63659,63384,48341,50784,--,0,0,--,44664,--,0,0,0,0,51493,30559,10976,9334,8095,5768,7782,11736,
股东权益不含少数股东权益(万元),35738,34664,30074,29319,28776,26878,26392,26401,24858,23853,23192,23126,20821,20050,11263,11547,10460,-62387,-71969,-71773,-71809,5915,6821,7220,49053,49388,50057,51056,58384,59116,58152,58094,87440,85453,96178,80930,84952,61626,51766,43980,39327,16153,13906,10928,
净资产收益率加权(%),11.83,9.33,2.91,9.88,7.98,1.7,0.36,13.78,7.58,3.29,0.33,20.26,9.38,4.99,-2.42,23.91,456.77,--,0,--,--,-4.58,0,-156.15,0,-3.6,0,-17.55,0.5,1.74,--,-1.05,2.27,4.92,0,0,--,33.42,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
