报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),-0.17,-0.09,-0.11,0.14,0.02,-0.15,-0.07,0.81,0.35,0.15,0.01,0.57,0.26,0.07,-0.08,0.38,0.33,0.23,0.21,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3,--,--,2.53,1.96,1.63,1.54,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.13,--,--,0.31,-0.03,0.05,0.02,
主营业务收入(万元),16232,10602,1795,65094,50940,14659,4980,79826,47445,32638,12248,53969,34998,20515,4321,40356,28845,22459,18500,
主营业务利润(万元),5511,3754,671,14452,10611,4042,2045,21613,11704,7076,2424,11682,7116,4298,1212,8783,7889,5605,5470,
营业利润(万元),-3598,-1897,-2164,2263,-236,-3110,-652,9300,3574,1607,186,4537,2157,742,-654,2709,2558,1205,1365,
投资收益(万元),413,504,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-63,
营业外收支净额(万元),-29,-26,0,-10,-6,-4,-4,-11,426,154,37,330,64,40,40,515,231,683,410,
利润总额(万元),-3627,-1923,-2163,2253,-242,-3115,-656,9288,4000,1761,224,4867,2220,782,-614,3224,2790,1889,1775,
净利润(万元),-2850,-1410,-1816,2245,354,-2449,-687,8067,3546,1495,147,4260,1913,553,-577,2842,2454,1693,1580,
净利润(扣除非经常性损益后)(万元),-3597,-2060,-1816,1503,-224,-2838,-1075,7627,3282,1240,23,3243,1431,334,-716,2150,1984,888,1051,
经营活动产生的现金流量净额(万元),-1568,-158,1233,-4855,-12369,-13177,-7087,-7937,-13332,-10863,-3153,3142,-971,-1634,-6929,2294,-197,412,164,
现金及现金等价物净增加额(万元),-5460,-2157,16,3372,-4601,-8418,-4133,-8934,-11332,-11440,-6205,12204,-1594,-2504,-5817,2535,-1864,-226,1586,
总资产(万元),89158,92443,96188,108315,107879,103256,101406,102070,84675,72172,64203,68773,56614,--,--,49663,41634,28109,22583,
流动资产(万元),69502,70035,76851,89946,85201,85340,84169,85072,79112,67413,59525,64156,51147,--,--,45693,39459,26487,20884,
总负债(万元),51994,53986,58115,68877,70740,68934,64068,64045,51171,40718,33564,38304,37631,--,--,32442,26965,15894,11061,
流动负债(万元),51161,53070,57040,67742,69321,67753,62770,62582,49890,39475,32211,37110,36664,--,--,31713,25981,14980,10153,
股东权益不含少数股东权益(万元),37293,38538,37985,39447,37179,34376,37338,38025,33505,31454,30486,30338,18874,--,--,17132,14669,12215,11522,
净资产收益率加权(%),-9.4,-3.64,-4.69,5.88,-0.59,-6.66,-2.85,23.65,10.26,4.81,0.08,22.11,10.58,1.92,-4.25,17.85,18.25,13.78,14.73,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
