报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.8,0.24,0.87,0.36,-0.05,0.72,0.64,0.39,0.4,0.61,0.68,0.54,
每股净资产(元),--,8.05,7.81,--,6.87,6.93,6.22,5.58,4.72,4.32,3.71,3,
每股经营活动产生的现金流量净额(元),--,0.56,1.68,--,-0.56,2.24,1.76,0.92,0.76,1.73,-0.98,0.46,
主营业务收入(万元),107542,66785,134559,90095,55810,128914,97864,84881,93549,81691,58475,40445,
主营业务利润(万元),25783,14277,29932,18718,7805,29406,24711,19443,18718,18644,14457,9824,
营业利润(万元),7577,2487,7491,3236,-597,7437,5303,2556,2495,4516,4386,3830,
投资收益(万元),13,13,199,18,16,5,34,39,-31,--,--,--,
营业外收支净额(万元),192,198,111,9,46,-522,1209,1028,928,731,1902,888,
利润总额(万元),7769,2686,7602,3245,-551,6915,6511,3584,3423,5248,6288,4718,
净利润(万元),7040,2137,7655,3161,-462,6315,5582,3086,3064,4691,5238,4028,
净利润(扣除非经常性损益后)(万元),5253,956,5730,--,-1658,5338,4911,2467,2328,4057,3566,3323,
经营活动产生的现金流量净额(万元),2320,4912,14752,899,-4914,19671,15380,8083,5906,13370,-7582,3484,
现金及现金等价物净增加额(万元),-21193,-12161,13328,-2473,-4501,5219,-1879,421,-5953,6562,7322,4948,
总资产(万元),186732,182762,186481,--,170314,175796,172364,158471,152467,125181,92515,57094,
流动资产(万元),91468,91495,98119,--,83313,89468,85511,76340,73079,77086,55879,30115,
总负债(万元),111178,112150,118002,--,109993,114955,117867,109583,116009,91788,63806,34625,
流动负债(万元),93499,85258,90681,--,89768,100886,95255,87882,93892,81777,63793,32619,
股东权益不含少数股东权益(万元),75495,70552,68413,--,60243,60714,54497,48889,36457,33393,28710,22470,
净资产收益率加权(%),9.78,3.08,11.86,5.07,-0.76,10.96,10.8,8.07,8.77,15.11,19.74,23.75,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
