报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
基本每股收益(元),1.6,0.97,0.48,1.64,1.17,0.47,0.21,2.01,1.33,0.97,-0.02,1.87,0.78,--,
每股净资产(元),--,--,--,--,--,--,--,12.63,--,11.58,--,8.42,0.89,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,1.2,--,-0.32,--,1.15,0.47,--,
主营业务收入(万元),3285571,2026384,998186,2961127,1913592,935958,371164,1999686,1197090,629470,145439,1487899,570288,86679,
主营业务利润(万元),935279,591921,277908,953780,588398,289265,120121,716077,422890,233607,54472,639297,216405,22305,
营业利润(万元),444628,281255,132113,416848,307173,121579,53989,483202,329320,232866,-1274,321212,104559,1638,
投资收益(万元),-6262,-4589,1680,18440,6943,5984,2797,134431,134411,124599,8517,7608,146,1612,
营业外收支净额(万元),1141,-758,129,3634,1170,488,112,1608,901,415,4311,18809,5444,4605,
利润总额(万元),445769,280497,132242,420481,308342,122067,54101,484810,330221,233282,3037,340021,110003,6243,
净利润(万元),346431,210244,104723,338704,237850,91095,41335,387795,257051,185694,-1169,285182,93065,5443,
净利润(扣除非经常性损益后)(万元),296455,181854,91570,312831,198509,69724,26907,237568,--,55644,-12932,278645,88010,1310,
经营活动产生的现金流量净额(万元),1032493,727630,497685,1131627,560343,105833,-326983,234075,-173336,-61964,19373,210913,66453,-13890,
现金及现金等价物净增加额(万元),1938197,564219,259623,-110125,-192762,-168339,-100674,362390,114648,-85628,-100222,64966,46229,4820,
总资产(万元),9631136,8988863,8410127,7388370,6379061,5544399,4782324,4966289,--,4088362,--,2858831,867296,287511,
流动资产(万元),6868900,6388188,6052070,5391142,4517359,3769116,3065151,3303310,--,2668938,--,2176132,550447,189266,
总负债(万元),5582184,5182274,4710240,3868353,2926255,2261977,2084202,2319165,--,1772946,--,1279720,717463,253970,
流动负债(万元),4386421,4225097,3859716,3108494,2182545,1604785,1493171,1789005,--,1436764,--,1018282,534929,93628,
股东权益不含少数股东权益(万元),3694391,3457749,3422639,3293828,3230130,3081886,2513782,2470144,--,2263430,--,1548865,125367,25688,
净资产收益率加权(%),9.87,6.15,3.12,11.75,8.61,3.63,1.66,18.99,--,10.79,-0.07,69.55,130.37,23.72,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
