报告日期,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),-0.02,-0.37,-0.02,0.08,-0.03,-0.44,-0.02,-0.24,-0.03,-0.04,-0.03,-0.04,-0.03,0.27,-0.02,-0.04,-0.04,-0.05,-0.01,-2.44,-0.03,-0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-7.12,-7.09,-6.74,-6.73,-6.83,-6.81,-6.39,-6.37,-6.16,-6.13,-6.12,-6.09,-6.08,-6.05,-6.34,-6.32,-6.32,-6.28,-6.57,-6.56,-3.74,-3.71,-3.18,-3.12,-3.08,-0.37,-0.33,-0.31,-0.25,1.12,1.15,1.17,1.2,1.58,1.6,1.59,1.57,1.6,1.53,1.29,1.27,3.37,3.35,3.13,3.15,3.15,2.85,2.41,3.48,3.99,3.73,3.56,2.83,1,--,--,
每股经营活动产生的现金流量净额(元),--,--,0,--,--,--,0,--,--,--,0,--,0,--,-0.17,--,0,0,-0.01,--,0,--,0,0,-0.03,--,0,0,-0.09,--,-0.24,0,-2.34,0,0.73,--,1.73,0.72,0.13,-0.07,0.9,-0.11,-0.08,0.21,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),1678,2329,1577,2428,1458,2270,1051,2221,442,2908,1208,2900,733,2579,1029,2279,1196,2718,898,1104,151,432,715,90,2750,6034,3688,885,12360,8512,7122,2230,21245,8859,5827,6537,22290,11039,28780,7437,21528,8820,26228,3922,41063,32487,18069,7830,47107,21096,41321,19290,22618,21357,17678,6715,
主营业务利润(万元),180,103,266,421,170,642,241,422,66,800,-11,659,82,792,195,409,102,663,284,487,49,185,94,29,266,1911,1052,231,3130,1866,1411,561,2991,2254,1536,1346,6980,3925,10069,2787,7249,3049,6305,1113,4254,4332,-9266,-8804,4407,2159,4047,2039,4559,2786,2050,1671,
营业利润(万元),-389,-5950,-259,1478,-400,-7079,-313,-3736,-450,-1105,-501,-1480,-496,-413,-368,-1102,-535,-290,-218,-14607,-534,-838,-1175,-581,-12841,-1914,-1319,-966,-23339,-1084,-524,-352,-4743,89,402,416,1242,379,4106,13,1712,300,1599,-66,4297,0,-9134,0,4431,0,0,2040,4336,2880,2201,1875,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,-12063,-176,-135,-77,-653,-67,-102,-92,-1062,-67,-70,-155,712,693,253,621,69,135,948,92,52,-123,705,336,465,331,407,412,-83,0,0,0,
营业外收支净额(万元),26,-24,2,-85,2,-70,7,-125,2,503,46,853,-4,4845,-15,436,-192,-599,11,-25461,26,-1122,0,0,-21654,31,0,0,-336,-23,0,2,-242,233,201,0,-140,0,-1,0,64,0,0,0,0,-69,0,0,0,12,380,0,0,--,--,--,
利润总额(万元),-363,-5974,-256,1393,-398,-7149,-306,-3861,-448,-602,-456,-627,-500,4432,-383,-666,-728,-889,-207,-40069,-508,-1960,-1550,-581,-46558,-2065,-1365,-1088,-24328,-1174,-612,-443,-6046,255,532,461,2216,956,4358,607,2651,494,2551,33,3662,4111,-8318,-8418,5048,2518,4866,2626,4527,3080,2757,2137,
净利润(万元),-400,-6027,-287,1326,-420,-7186,-332,-3965,-469,-699,-494,-632,-505,4432,-382,-670,-730,-889,-207,-40069,-508,-1960,-1550,-581,-46581,-2076,-1378,-1071,-23794,-1320,-769,-482,-5867,74,387,277,1598,771,4029,359,1815,163,2549,28,3660,3836,-8318,-8418,4291,2140,4136,2232,3104,2618,2344,1817,
净利润(扣除非经常性损益后)(万元),-426,-6004,-290,1410,-422,-7117,-338,-3841,-471,-1202,-539,-1485,-501,-414,-366,-1106,-537,-290,-218,-14607,-534,-838,-1175,0,-25147,--,-1333,0,-23323,--,-764,0,-6072,-158,182,--,624,310,3873,104,1232,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
经营活动产生的现金流量净额(万元),-2,-12,-0,-5,-7,12,1,4,-0,6,10,-12,13,-2879,-2865,-24,5,-19,-87,45,21,-1230,15,22,-468,-105,-76,-312,-1399,-2653,-3883,-3506,-38403,0,11954,--,28438,11752,2105,-1170,6589,-1161,-857,2336,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-2,-3,-0,-6,-7,14,2,5,-0,6,10,-7,18,-2878,-2865,-77,5,-72,-86,103,35,-1233,-57,-22,-492,--,-325,-518,-11238,-10336,-6657,-9770,-25070,0,-507,--,31655,-2036,-2559,1863,6410,-3506,-1335,2338,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),1974,2187,1481,1583,1378,946,502,352,467,714,942,812,1110,1348,1617,4432,5540,5563,6399,6519,8883,9341,19150,19090,19571,67632,67643,68240,69095,91164,96015,97190,98486,112715,103949,119357,118663,113082,109574,98679,91749,128089,107605,108984,105159,107990,94707,96970,100168,104736,93456,91922,56185,32971,30578,28634,
流动资产(万元),1964,2177,1471,1573,1370,936,494,340,458,701,931,799,1099,1331,1336,4143,4619,4621,5439,5538,7087,7509,17004,16913,17345,--,43886,44744,45178,65291,70007,--,0,--,--,102052,100676,0,0,0,0,94534,87804,83974,89458,94725,84989,88345,91522,93033,81743,75224,43194,30202,29022,27419,
总负债(万元),118917,118731,112285,112099,113640,112788,105489,105008,101626,101404,101427,100804,100974,100708,105789,108223,109391,108684,114332,114244,70274,70224,71321,70292,70192,--,72913,73211,72979,72041,76391,77302,78141,85982,76908,88119,90299,85573,83219,76818,70282,90622,70862,74683,70649,73504,63487,70529,72311,72790,63650,63438,38878,20728,19676,19922,
